id,heartbeat_signals,label
115,"-0.682195405233256,-0.6687073021127432,-0.6373309010022883,-0.5884353947482142,-0.5265322419652891,-0.46024668815904146,-0.3989956599683717,-0.34898942833170477,-0.3117509969629282,-0.2857043379621578,-0.2685455310570548,-0.2583708607461448,-0.25352672475542093,-0.2522786254114191,-0.25266472990116995,-0.2523290002829288,-0.24800699492471168,-0.235028654362468,-0.2078053454292368,-0.16175456788193454,-0.09595777195805777,-0.01442306111643088,0.07588587348056208,0.1690380617835734,0.2625235331452602,0.35567572146476323,0.4459846560452627,0.5275193668868896,0.5933161628272616,0.6393669403580686,0.6665689595796955,0.6794763801161547,0.6835497847096272,0.6831233791761155,0.6807812626243388,0.6777539781638673,0.6745201452947427,0.6712265202544874,0.6679262034180136,0.6646258865815398,0.6613255697615585,0.6580252529250856,0.6547249360886118,0.6514179274889065,0.6480511266850844,0.6444497959812772,0.6400538748834661,0.6333513218400499,0.6209251374573856,0.5965180155004557,0.5509094143997331,0.47381542384089936,0.3579197962354135,0.2033069719630829,0.01940344845194275,-0.17699299735548557,-0.3662603647941163,-0.5302967014789282,-0.6550905690798325,-0.7319811170239134,-0.7586639398984794,-0.7401130425304023,-0.6884766900862749,-0.620730487109336,-0.5540055020473211,-0.5005607631331142,-0.46512903266769,-0.4459689651347025,-0.43814850165722774,-0.43668981515449623,-0.4380247456698543,-0.43984522911387014,-0.4401342306377529,-0.43603953631618175,-0.4231985997635661,-0.3962696129179406,-0.35117703563884284,-0.28825415101792995,-0.2140864698265208,-0.13991878861862084,-0.07699590399770795,-0.0319033267351001,-0.004974339872984679,0.00786659667963363,0.01193330949337934,0.01150690397636378,0.009164787408092678,0.006137502947621165,0.0029036700949891525,-0.0003899549617587539,-0.0036902717982334465,-0.006990588618213778,-0.010290905454686694,-0.01359122229115961,-0.01689153911114083,-0.020191855947614634,-0.023464191292756453,-0.02662710410311142,-0.029405787815330875,-0.03101375072318202",1
99,"-0.012875933332727574,-0.021031925301386145,-0.02981784764614781,-0.037039967181613564,-0.040974563120906415,-0.03776468374585959,-0.030451157982659238,-0.02212167531558734,-0.016915125163737943,-0.013873238196026899,0.003399919346404434,0.03384698094290567,0.07225899983341741,0.12481480391020863,0.19296966842713004,0.259699788072643,0.3069468015765695,0.33833654998200724,0.3575713433079819,0.35892823128329426,0.33681653065767925,0.29793531866476447,0.25113904304895507,0.18121539301445083,0.08823472605200111,0.006074228251218922,-0.04350016995034588,-0.06162693963144267,-0.06799823254940984,-0.07230321719841143,-0.07199517979578729,-0.06638521904794964,-0.05486055765901304,-0.03834081197287653,-0.018794090362764165,0.004057686384489889,0.02114425626284208,0.026868186053827486,0.008804790003180879,-0.020998186552325798,-0.05556043725371351,-0.08584653336729556,-0.10411412142536197,-0.11370538057963522,-0.1259038209401307,-0.14624323282372298,-0.18099074835512532,-0.23049929019561313,-0.28438524988730185,-0.32420780988872805,-0.36002579860764894,-0.3956439964508069,-0.4212432309009194,-0.4321115755735675,-0.4164449018547531,-0.38442685770975327,-0.34420492926598234,-0.2916995556596343,-0.21849391005316826,-0.1278745132178995,-0.02970231828469802,0.06549804819416949,0.12622587907692218,0.144513050122984,0.14037582917367247,0.12279734666793618,0.08496342790306455,0.029442521155386703,-0.027978666943219765,-0.06651454973519699,-0.07820656644961765,-0.06564939591408214,-0.046102398798821276,-0.03199672065764719,-0.008572214311299398,0.024210914509382342,0.05231024135313905,0.0747148322118027,0.09404075519759242,0.107768203055982,0.11170685744173509,0.11255879726361995,0.11385222220725955,0.10918563202870146,0.09056936655307435,0.07593816640224649,0.06865925511641296,0.06337953938303342,0.06055739078478217,0.0629223864393052,0.0713880222541664,0.0796388592137508,0.07546079510518822,0.07068014749483453,0.06628289717299513,0.06091240347098126,0.06433670909206707,0.07468759838927647,0.07970344171431426,0.07684443861834389",1
154,"-0.3281982192995679,-0.3119097184403271,-0.29067483660621,-0.24524097005387932,-0.14550961219358033,-0.1507176053597083,-0.1998425657571204,-0.2750596016971888,-0.21404474030548454,-0.1623834597724208,-0.21836206612455392,-0.3156956963196075,-0.41293129445018323,-0.47533323750553197,-0.48312866321427483,-0.44511073118480743,-0.3430193053864352,-0.2010781639276532,-0.05330481537966553,0.0684404383700511,0.17225682704461642,0.24674316199198587,0.3122917350763379,0.4232225404670257,0.5610546212159673,0.7575625661021974,0.9579226973195734,1.131072908257192,1.2286723781669437,1.242276229752697,1.0973537176509736,0.8473657161786399,0.6509443724727713,-0.02109599636736309,-0.9734062040466338,-1.5742666148968374,-1.4926289804842907,-0.6334916166900432,-0.22268041642674638,-0.5207459868231366,-0.9869469150638135,-1.349003891997511,-1.2645114991575959,-0.9600618001411405,-0.5662116753648516,-0.2077822637291249,0.1423589739458252,0.4730228512689316,0.7176220032076541,0.8157691807090948,0.8287616047789166,0.8667975449462462,0.8397677456169188,0.8530501874991365,0.9192215394308689,0.9832196961563711,0.9827121809613772,0.9394090352909388,0.9407355459064928,0.961794161493603,0.8787924914639378,0.7811439826682893,0.6622090555768136,0.5057878852289349,0.3068990426016689,0.1433898405698929,-0.030801079225063255,-0.1766534925696809,-0.25091649315963616,-0.3087233383445814,-0.4201933837126435,-0.5470084698437164,-0.6401410269014741,-0.7443353301919814,-0.851140498333615,-0.9070086412052328,-0.8992843038397343,-0.8541788425112837,-0.7308802801908939,-0.5838975662356215,-0.4658415172437105,-0.36519956885562155,-0.2526350286820236,-0.16212678112331597,-0.10860659376403992,-0.04175047086146677,0.029687082581384916,0.09725392108491332,0.177316073545554,0.25478643479352403,0.24809436561193865,0.18404513922666882,0.10896648849543117,0.05060460344827683,0.025908741742205643,0.002453229304813287,-0.009076187948240777,-0.02905605131170702,-0.028594708343967157,0.04221360815795566",2
277,"0.5215614525948651,0.5197851881713651,0.5180089237478651,0.5162326593246587,0.5144563949011587,0.5126801304776587,0.5109038660544523,0.5091276016309525,0.5073513372074525,0.5055750727842461,0.5037988083607461,0.5020225439372463,0.4983677976782171,0.38545804879619555,0.06553697003878256,-0.004489830452287569,-0.006858778179666569,-0.008635042603166332,-0.010411307026372996,-0.012187571449872758,-0.014222853989099171,-0.05180707843852267,-0.2808023794947359,-0.4925422371404672,-0.5209345472648436,-0.5228596793587948,-0.5371966942992069,-0.7598181958065287,-1.0094715339447142,-1.0299150580490304,-1.0298479982713755,-0.9204907782363541,-0.6041222283259409,-0.5376479566812838,-0.5388315378009045,-0.5406078022244045,-0.5421520349978779,-0.5032964788529868,-0.21720146362490117,-0.05390364116236468,-0.049492995197972456,-0.051265388764816844,-0.05304165318802351,-0.05481791761152327,-0.056594182035023366,-0.05837044645822981,-0.0605292154895512,-0.10120507780219906,-0.31680853567613515,-0.365471251365495,-0.11057343187601099,-0.06930035579565491,-0.07080429742214228,-0.07258056184564227,-0.0743568262688486,-0.07613309069234869,-0.07783188681587105,-0.052677909087310515,0.21784216561543504,0.4085595290099294,0.4148204295345873,0.3753029451079116,0.08067690205412736,-0.0830669036894684,0.006877242066093803,0.3071087691916939,0.4022367219979516,0.4025517362268261,0.4007754718033261,0.3989992073801197,0.3972229429566198,0.39544667853311993,0.39367041410991327,0.3918941496864134,0.3901033638944043,0.3757663489542855,0.15322231574664819,-0.06950078023977013,0.18235203478245254,0.3730342405419851,0.37945521117862235,0.3776840342992945,0.37483344192390367,0.28454147128671603,-0.09013187769306819,-0.4885339340238522,-0.6280238054397552,-0.6329735522411184,-0.6347352952961093,-0.623950809202697,-0.4048818365417884,-0.1587810272506026,-0.14189003199328615,-0.1417526569457081,-0.032395436910686415,0.2839731129997266,0.35044738464438374,0.3492638035247629,0.3474875391012629,0.34571127467805646",3
236,"-0.0773364101068158,-0.07179617493212709,-0.06571014893657334,-0.058210588699522,-0.04698510230764785,-0.0324265776311875,-0.021774188175799014,-0.01944584619234524,-0.01888301339415943,-0.013704705737178968,-0.006417901644316548,-0.009095735625568868,-0.02474641875846606,-0.02916070378023916,-0.01801437102609782,-0.008807324741304634,-0.0038127083426598984,0.0036237425917614585,0.01102377916053221,0.013644215960253336,0.01776607657260476,0.025718903412886074,0.02637780922965527,0.016544744635696662,0.011233865340359306,0.01676301159607696,0.026140132994270093,0.03430548005904133,0.04384946300174386,0.051021537486373614,0.05460410844275598,0.06469884733894815,0.08393921282983463,0.09784036234513305,0.10049955573480884,0.10481981830290443,0.11300401101635194,0.11516451291557894,0.11829980848398103,0.12410589569478858,0.12911592560398322,0.13874178738996112,0.1582923355021032,0.18567683479272246,0.21026298224444562,0.2305430065527575,0.2565746005303863,0.27617448048050885,0.2710517451053561,0.24778226052543506,0.21995313494130497,0.18777543108417782,0.11169452790064194,0.0068431315632250245,-0.06911013727197685,-0.10845492883363678,-0.12489789901612086,-0.2066448953401856,-0.36439042765080665,-0.44719946418645656,-0.402752234819535,-0.2641714090738774,-0.057098612307634244,0.13804004880696297,0.19369549260694052,0.08022019921080925,-0.12678387088196236,-0.3031574632885041,-0.3928527357965754,-0.4223730689972208,-0.4584523165584776,-0.49414762307711724,-0.4273120171356768,-0.24483165808346652,-0.13176016021793358,-0.1309436966818338,-0.1357929776772661,-0.1224217380805408,-0.12259129873593538,-0.1212163646691467,-0.12185073757235892,-0.12719486044406908,-0.13470416831926557,-0.12617887895966784,-0.0790353834149502,-0.018641962375279597,0.01586752503163874,0.023681089179485026,0.03374282156015368,0.055763873427133015,0.08160517049094995,0.10957783277986,0.1438739985847035,0.17342743489918488,0.1879169707041976,0.19462081806164905,0.20360236280129046,0.2088499969430066,0.19497424180119,0.16838434755184029",1
159,"0.010120352318757464,-0.0010321669912704001,-0.00872793096083907,-0.01977635144125517,-0.03737232479518299,-0.08454264193929673,-0.15207473632214996,-0.218340888470259,-0.28777434296465554,-0.34548811340396157,-0.35174199965243935,-0.3004495283533968,-0.2357488181654671,-0.16348445843279613,-0.09384418506542963,-0.02396336139931521,0.052546490557668635,0.12289763350862648,0.1762721607893195,0.22752822274356732,0.2852822526002199,0.36087364560850194,0.4279014257947063,0.47444758041212787,0.49766103707775144,0.48496000318474297,0.41499676284866266,0.3188383524277725,0.27816398481537896,0.2708929298824397,0.1986448418357501,0.10716408220619528,0.059966926170519075,0.019878458899350693,-0.00946884906436618,-0.02891091950918212,-0.06003689166485482,-0.10350687979125861,-0.11994535003148482,-0.1076098780728929,-0.07687496859109388,-0.05028368632323166,-0.04977587290928587,-0.0905044656863297,-0.18039538733171973,-0.31224951636827913,-0.46182458918881664,-0.5510808471917809,-0.5729601243613688,-0.5554922058367039,-0.522773559629047,-0.45997305205673533,-0.3892513819755349,-0.33377836774124614,-0.2724236107431477,-0.20322048245842123,-0.13706059863557452,-0.0650188916870495,-0.014178082827185301,0.026951441153677952,0.07388527972443582,0.11359335918468785,0.15476840170367065,0.2360671365237566,0.34662757676544553,0.4333506363809794,0.503815645846982,0.5440638295646665,0.5344379690286496,0.4584117742145659,0.39072952036426145,0.3498556877398615,0.33340495833440076,0.32153553218846526,0.2628103011413836,0.18087238689647017,0.11987939772439771,0.06126473685887743,0.01709874366778147,0.013276585873285784,0.003946636339994314,-0.03473851030182684,-0.09760831461434694,-0.17362192429042295,-0.21363792425449368,-0.19865976247482253,-0.1663683212759538,-0.15769666910009678,-0.17247642684510217,-0.18949444001484222,-0.21065516106973264,-0.22103638780516938,-0.20721044493197788,-0.16878558774617275,-0.13640168463054397,-0.12540677432889902,-0.11316411102995444,-0.07920944741612818,-0.040463270935464174,0.00027472254575439115",2
67,"-1.914297887321352,-1.8873617042159403,-1.8219701837500106,-1.57676133959902,-1.1309516428777608,-0.5710850260394287,0.05776414724835832,0.7001326704660629,1.2860953061361542,1.8332617784777332,2.265579046653997,2.599484663525309,2.960930736201436,3.2820906534814025,3.426693912056134,3.464373043621209,3.489941861034427,3.519600565772233,3.575322672936516,3.1726759756562943,1.006922063974102,-0.9633449182143208,-1.3414892248341137,-1.3331992228350917,-1.308017138992691,-1.2827551080332287,-1.2574930770727362,-1.2322310461122445,-1.2069690151527832,-1.1817069841922925,-1.1564449532318,-1.1311829222723369,-1.1059208913118461,-1.0806588603513545,-1.0553968293918923,-1.0301347984313998,-1.0048727674709081,-0.9796107365114477,-0.9543487055509561,-0.9290866745904636,-0.9038246436310013,-0.8785626126705097,-0.853300581710019,-0.8280385507505568,-0.8027765197900643,-0.7775144888295726,-0.7522524578701113,-0.7269904269096206,-0.7017283959491281,-0.6764663649896658,-0.6512043340291742,-0.6259423030686817,-0.6006802721092204,-0.5754182411487279,-0.5501562101882371,-0.5248941792287758,-0.4996321482682833,-0.47437011730779166,-0.44910808634832944,-0.4238460553878387,-0.3985840244273462,-0.37332199346788486,-0.34805996250739235,-0.32279793154690073,-0.2975359005874403,-0.2722738696269469,-0.24701183866645615,-0.22174980770699393,-0.1964877767465023,-0.1712257457860098,-0.14596371482654846,-0.12070168386605595,-0.09543965290556522,-0.07017762194610389,-0.044915590985611376,-0.019653560025119754,0.005608470934342469,0.030870501894833202,0.05613253285532571,0.08139456381478705,0.10665659477527867,0.1319186257357703,0.1571806566952325,0.18244268765572413,0.20770471861621664,0.23296674957567798,0.2582287805361696,0.2834908114966612,0.30875284245612256,0.33401487341661507,0.3592769043771058,0.384538935336568,0.4098009662970614,0.43506299725755215,0.4603250282170135,0.485587059177506,0.5108490901379967,0.536111121097459,0.5613731520579506,0.5866351830184422",0
10,"0.03444856922147871,0.018702466047010535,-0.001397040304570496,0.0031487612667659426,0.031460959142685485,0.051797552667366964,0.05462194445900237,0.051817178960475996,0.044749655290657664,0.03894949027004424,0.03899123558369122,0.07141499518732208,0.13950408537683162,0.2369975084214554,0.32039131792519826,0.383576930111994,0.45437508786937775,0.5372792298676208,0.5984991522760922,0.6220355917068905,0.6183884740673913,0.5850894285567176,0.5178145921047017,0.4603315420406908,0.4415229301280137,0.43439067681773613,0.4256979062283073,0.4106226904079584,0.36824085317896804,0.3216814867412925,0.27812534442543,0.24476743509487636,0.21907794349269638,0.2002322490895178,0.1964236244079468,0.20879935913762127,0.22698763015924572,0.24033716460364934,0.25662165775067886,0.27255367842980305,0.29118053062932325,0.30659738927263486,0.2963889588950643,0.2825325752786602,0.27263702329473116,0.24065488972300675,0.18493626545357184,0.07960482973633387,-0.031159994694041016,-0.0875980986704275,-0.20188229869827473,-0.3791482424951467,-0.5969482321185373,-0.8196463582051263,-1.015755643391754,-1.159378993778768,-1.270376936712086,-1.360590161871243,-1.43806532268924,-1.4998548262421447,-1.5419047424146177,-1.5768703864724751,-1.6053047065173704,-1.6318181125421594,-1.6755190575379706,-1.721631746277404,-1.7411162253976615,-1.7013430784519523,-1.5724033966357005,-1.3335183494944634,-1.0111569556249356,-0.6785021348528719,-0.38904437976255646,-0.16299904923954506,0.005327172673625535,0.14100733759095568,0.24936007577810143,0.32804762161107537,0.38197863448058683,0.42454952037761573,0.460583555609746,0.4815865886984789,0.4956842822825621,0.5187080254523923,0.5588047037372459,0.5956113673394299,0.6192004550369208,0.6283877839242595,0.6276748900174112,0.6110817485558384,0.5997539757518935,0.5934737258540725,0.5967748828915154,0.576346304276165,0.5479163595372804,0.5303185909815642,0.5181083043590919,0.5130323203743283,0.5231892516226027,0.5469005851399966",0
328,"-0.13531037853958452,-0.13463921157769201,-0.13396804461558978,-0.13286425664319843,-0.1072941661446169,0.08201613748672087,0.30667378843962423,0.22122308497995818,-0.03883188787931324,-0.12492630449302802,-0.12857874203770076,-0.12792754195729875,-0.12725637499519651,-0.12653686628523153,-0.1188313022351083,-0.008143077792034076,0.25832849653572754,0.3690167209788019,0.376722285028925,0.37700917272860096,0.3527814161540142,0.16470860047934316,-0.06859265359444026,-0.07983639044067259,0.10146162350895882,0.16022900959496283,-0.03608309430137224,-0.11305949672729132,-0.11649773672111872,-0.11584653664071673,-0.11517369673368293,-0.11302867472780351,-0.06296887100251959,0.1727609310787997,0.362177753622397,0.3876995023731158,0.38176889325748614,0.27242300273840664,0.0072937623346397695,-0.10205212818423004,-0.10841535831035842,-0.10779253309632866,-0.10712136613422643,-0.10645019917233386,-0.10577903221023163,-0.1051078652481294,-0.10443669828623689,-0.1037655313241346,-0.10309436436203243,-0.1024231974001398,-0.10175203043803763,-0.1010808634759354,-0.10040969651404283,-0.0997385295519406,-0.09906736258983842,-0.0983961956279458,-0.09772502866584362,-0.09705386170374139,-0.09638269474184882,-0.09571152777974665,-0.09504036081764436,-0.09436919385575185,-0.09369802689364962,-0.09302685993154738,-0.09235569296965476,-0.091732867755625,-0.0980960978815438,-0.20744198840062322,-0.47255126192269004,-0.5775735479349945,-0.4971695215403744,-0.234346701460984,-0.09816502731414148,-0.08642170922383298,-0.08564402334926155,-0.08497285638715932,-0.08386906841497768,-0.058298977916186434,0.1311378115093207,0.3711912180969957,0.508018278343028,0.7715483556716443,0.8721194610652578,0.6701834414840911,0.4463161574710309,0.2758645755502325,0.01352080810414047,-0.07257528145450579,-0.07622771899917856,-0.07557651891877656,-0.07490535195667428,-0.07423418499478177,-0.07356301803267953,-0.0728918510705773,-0.07222068410868468,-0.0715495171465825,-0.07087835018448027,-0.0702071832225877,-0.06953601626048547,-0.06843222828809417",3
340,"-0.07212505209459409,-0.07034692891004314,-0.06856880572549186,-0.06679068254094091,-0.06501255935638973,-0.06323443617183856,-0.06215269960299471,-0.1028275737661361,-0.1704402495761858,-0.10741041423730269,-0.0550027292416405,-0.05256569706453197,-0.0507875738799808,-0.04900945069542963,-0.047231327510878676,-0.045453204326327504,-0.04367508114177633,-0.04189695795722505,-0.040118834772673986,-0.03803373653569525,0.009543717331900986,0.2990391774918373,0.46175784976339274,0.4687706658534605,0.4705499043346326,0.4723280275191838,0.47410615070373485,0.4755958598814266,0.4143012336270431,0.08377196375414142,-0.01779655593549395,-0.01700323337350963,-0.015225110188958457,-0.013446987004407395,-0.011668863819856112,-0.00989074063530505,-0.008112617450753989,-0.006335609562823832,-0.012078715087266845,-0.22076423229970912,-0.48383732559550485,-0.49920869027353165,-0.49743056708898026,-0.47850295604185156,-0.21187361637695357,0.00036814720459080706,0.009667499098136276,0.011446737579308353,0.01322486076385947,0.015002983948410476,0.01678110713296165,0.018559230317512877,0.020337353502063883,0.022115476686615,0.023822587262853318,-0.009151508126603182,-0.31556493548240866,-0.46495397954855966,-0.31200868911330654,-0.002039015388398721,0.03449132637016013,0.03634046216302404,0.03811858534757505,0.03989670853212622,0.04167483171667745,0.043452954901228455,0.0474029625388191,0.17897708124682057,0.4981935890376077,0.5503527519605109,0.552343570823984,0.5540506814002224,0.5210765860107657,0.21466315865496027,0.062332861243450596,0.03643833405637588,-0.2502469966024078,-0.430455513161381,-0.43343144369960707,-0.4316533205150559,-0.4298751973305047,-0.42806484631390535,-0.4015230982710388,-0.11128263653977397,0.06680592588877401,-0.10921509062137916,-0.39201628061419663,-0.4126221852851385,-0.2289095183877945,0.06133205864009163,0.08787380668295816,0.08968415769955744,0.09146228088410867,0.09324040406865979,0.09501852725321085,0.09679665043776185,0.09857477362231314,0.10035289680686425,0.10213101999141537,0.10390914317596643",3
