id,heartbeat_signals,label
94,"0.006574015078164852,0.006456711837989487,0.006207007522428129,0.0058484206696819,0.005406343966969318,0.004902848806961818,0.004355069331656525,0.003776176043236351,0.003177090732793375,0.0025677167266495854,0.0019573904728325264,0.0013547827329366963,0.0007675532735157142,0.00020205115942426022,-0.00033682266684802176,-0.0008455270793112923,-0.0013215829571750493,-0.0017631574291584878,-0.0021686535933981566,-0.0025364156529926046,-0.0028646107767126006,-0.003151289922762174,-0.003394585002024275,-0.0035929807486733967,-0.0037456016125373692,-0.003852465746628314,-0.0039146713368881925,-0.00393449147455166,-0.0039153648471244445,-0.0038617843053408984,-0.003779101725384787,-0.0036732794946481573,-0.003550620619007072,-0.003417498541538347,-0.0032800902812647748,-0.0031441041617540078,-0.003014494860166389,-0.0028951752410879966,-0.0027887581618025042,-0.0026963757421506612,-0.002617615697552478,-0.0025505841074189295,-0.0024920640323783105,-0.002437711240103252,-0.0023822307098934487,-0.002319513032374987,-0.0022427628635470764,-0.002144695413591982,-0.0020178851855978397,-0.001855313879878584,-0.0016510931190970857,-0.0014012582130763784,-0.0011044731326652624,-0.000762479588761425,-0.00038017148258467914,3.4734114535667215e-05,0.0004723581223987916,0.0009215083840063143,0.0013705500059791875,0.001808159283763433,0.0022238827779436088,0.002608486319075176,0.00295412571928326,0.0032543958687723806,0.0035043190258683132,0.00370031942806201,0.003840206051635986,0.003923157198953753,0.003949679754311944,0.003921511386767135,0.003841446591490827,0.003713090049950407,0.003540564456763512,0.003328216514786153,0.003080369593286142,0.0028011658622068697,0.00249452725676233,0.0021642451598009316,0.0018141858165664354,0.0014485746505003838,0.0010723016419081077,0.0006911786932656122,0.00031208314417117966,-5.70610719356629e-05,-0.00040748520821047574,-0.0007299491379168799,-0.001015246104780071,-0.001254775010920861,-0.0014411005569289204,-0.0015684161866207635,-0.0016328360667943603,-0.0016325121595921616,-0.0015675817279375143,-0.001440199147752022,-0.0012551026703929852,-0.0010212182306972573,-0.0007543932510754303,-0.0004800668827202592,-0.0002331197905861282,-5.210234303007488e-05",2
6,"-0.006700577223709647,-0.0054735270432189065,-0.004100163450280858,-0.0027611745309270574,-0.0015447761606710575,-0.0004896670326024477,0.0003806812475100063,0.0010550344061253103,0.0015387226377829855,0.0018527153523117956,0.0020240187738242987,0.0020710381157835744,0.001992924463506851,0.0017707151240813346,0.001380320534185575,0.0008090391446862188,6.548351106849815e-05,-0.0008206752685946395,-0.0018051720925522652,-0.002836470790198664,-0.00386183042244137,-0.00483293270921048,-0.005711343747727193,-0.006470082892777063,-0.007086807544461893,-0.007531416935427249,-0.0077580219053825505,-0.007708861094521957,-0.007329556784504421,-0.006588746961544212,-0.0054932167560932665,-0.004092686714937566,-0.002473753667557199,-0.0007452114444481683,0.0009834140532132274,0.0026266344301391076,0.004141034471028204,0.005523206289815397,0.0067846626688934375,0.00791997511354059,0.008892590432614034,0.009648608452945018,0.010145502138943607,0.010373013222717775,0.010353154576961954,0.010123336172103148,0.009716701404138828,0.009151421882789501,0.008431865824134022,0.007557136541937792,0.006529053299170862,0.005354085008370424,0.004042158283455555,0.0026103345860122307,0.0010928880152984988,-0.0004499976790459659,-0.0019325769599338738,-0.003253932043572272,-0.004314723596831493,-0.0050354483511183545,-0.00537157309322045,-0.005321177644746156,-0.00492235419396847,-0.004242511032087171,-0.003365413250526972,-0.0023795896857894405,-0.0013683291144839238,-0.000401274466386381,0.000471736226620445,0.001223452754429477,0.0018467914733655277,0.002346924844860654,0.0027317431631981304,0.00300689706991486,0.003177908858905898,0.0032545030107438144,0.0032503661939056183,0.0031783629262733815,0.0030477788097831304,0.002867035121129513,0.0026465790395917566,0.002394784516013493,0.002107658477277896,0.0017615564612436518,0.0013179419884365995,0.000739892490396743,1.0747155998469538e-05,-0.0008546808422116303,-0.0018097924256899045,-0.0027859696833638647,-0.0037084743954345356,-0.0045107452153858585,-0.0051399681967925215,-0.005554238328236982,-0.005718511798907366,-0.005605737484869477,-0.005204445819472436,-0.004531081390475089,-0.003647747442558469,-0.0026771634508693243",0
18,"0.0045944084850351175,0.0034149880142377853,0.0017024683037911714,-6.766121359014221e-05,-0.0016514752146044032,-0.0029443453035797873,-0.003893684219326232,-0.0044754192619764765,-0.00468964923052706,-0.004558839040845086,-0.004125611573075005,-0.003449168439071393,-0.002600570442768735,-0.0016575452107483457,-0.0006992852538711958,0.00019899493922448386,0.000974081255691317,0.0015870135801048235,0.002033728816349445,0.0023430251670060187,0.002559327792678978,0.00272202638354635,0.0028551356474606493,0.0029688115362587197,0.003063359469846816,0.0031286990918184543,0.003142073614686325,0.003070699700503887,0.0028804403428077663,0.002544827925468063,0.0020491358101502044,0.0013901458263276822,0.0005766335615788876,-0.0003656613107194673,-0.0013866814606915412,-0.0024099769797247816,-0.0033422532691274043,-0.004091811295358738,-0.004585675194039851,-0.004777896007660765,-0.004650214197066127,-0.004210430618366345,-0.0034907930825891498,-0.0025451683593376018,-0.0014443961253176596,-0.00027052894830514873,0.0008906819956404632,0.0019601478525776983,0.0028766754898787994,0.0036051244866781573,0.0041398021996350565,0.0045030695966259415,0.004737572099612564,0.004891191975458398,0.0049996379401093805,0.005076024143472857,0.005111893837986159,0.005084165575003574,0.00496003911573073,0.004699239145020684,0.004259577369472467,0.0036092989711660195,0.0027413782082339466,0.0016809210861792323,0.00048124004804517284,-0.0007893966787708706,-0.002065088053681663,-0.0032959595662820362,-0.004449803751225723,-0.005500609627886455,-0.006413522265427574,-0.007137406394017276,-0.00760913972209476,-0.007767531568737773,-0.007571268985832269,-0.007013776559328555,-0.006130164459031029,-0.004994789178115688,-0.0037091674018929766,-0.002382261631850291,-0.0011095374347407372,4.1647716285453384e-05,0.001036546721510767,0.0018682031138617106,0.0025470502233222447,0.003089195247041765,0.0035058133500838196,0.0037955905620119523,0.003943212760861847,0.0039247068426355725,0.0037167800574540166,0.003307475068609733,0.0027063846342390008,0.0019503507348508364,0.0010996386619428478,0.00022399565226471907,-0.0006155548305608605,-0.0013780437737818119,-0.0020310330652897335,-0.0025155015468403263",0
182,"4.34017660669043,4.279340987281779,4.20654242932147,4.111879447513271,3.9990748233380486,3.8702613345513326,3.7224709400838036,3.5748609721268316,3.430090963754363,3.2786539361535305,3.0961415951649265,2.82797688226899,2.4312363604906158,1.7507415299972893,0.8759628317505008,0.09596577973222953,-0.5038015989858495,-1.0464936705712047,-1.55669428545621,-1.9727254310484765,-2.3424599815619374,-2.6765054527032435,-2.9286817480055367,-3.0963230566988065,-3.248419944379534,-3.4004619235700897,-3.5058469622697324,-3.543245538024581,-3.5483054020662275,-3.535561466470053,-3.4926940031833604,-3.3842849490642006,-3.1842075043064133,-2.961971354100605,-2.8157235277296957,-2.753076916319883,-2.701099462499351,-2.6023303121594568,-2.437796008791362,-2.1753586044996434,-1.7882127884010512,-1.3994713978626643,-1.1015310493869572,-0.8840040471968997,-0.7017571225534982,-0.5622274026953309,-0.44928666448022225,-0.34436747623746067,-0.2738548977043682,-0.2427878033604014,-0.22269143675678693,-0.19707736689378508,-0.15131087443591085,-0.08464345896344305,-0.007981668750557835,0.07136790297177464,0.140925334684459,0.18826125969863727,0.21291630387739824,0.2330094052228442,0.2596691455257407,0.2936596866940183,0.32707909341999875,0.3535797726107255,0.37365062611163835,0.385397364726189,0.3865839491763826,0.3819346078822585,0.37830739732729324,0.3864273578111561,0.4090249399276078,0.4508162369926687,0.5223782325311046,0.6065362850628204,0.6706123424832595,0.7121058788683499,0.7352251037578479,0.7506084835714872,0.7654621710553893,0.7758940138526591,0.776054708473136,0.767658672224226,0.7589042168801743,0.7533013365373089,0.7479637943483639,0.738029498177541,0.7229539100902005,0.7030665535398173,0.6804621403487894,0.654804676331723,0.6242439754380098,0.5972578511597151,0.5820925324363109,0.5743856152217841,0.5709369101102633,0.5704350920109063,0.5740124093809671,0.5855132581973836,0.590874730783681,0.5895123623917424",4
143,"-0.3389436761703716,-0.33735876203927967,-0.33786476786897435,-0.3424959315434828,-0.35126686044772865,-0.3615568954975359,-0.369813192756414,-0.3737515945884723,-0.37321294832369567,-0.369708434241784,-0.3654853708860433,-0.36243143008042916,-0.3610529344098583,-0.36045937130309463,-0.3597222742532947,-0.3591828604504752,-0.36016991837236817,-0.3635231265762531,-0.3685469146282408,-0.37331738042970597,-0.37577081745031443,-0.37455708912842656,-0.36934383063782406,-0.3607170217576488,-0.3497973037525067,-0.33793720637892327,-0.3264722844433572,-0.31584898451025967,-0.30453713019524686,-0.28927190296122807,-0.2668083932413332,-0.2357635646611282,-0.19731719392411917,-0.15451474458264042,-0.11059936394161328,-0.06723870148107002,-0.02355046882834369,0.023705056679223124,0.07915180422468829,0.1477408228217869,0.2339179375382542,0.3408832632480025,0.4698052599783605,0.6182724094545107,0.7777606146405279,0.9330496196614283,1.0668265762187834,1.1674331454137787,1.2339843598767566,1.2745747886529804,1.298783383608881,1.3117582813006126,1.3150206118157424,1.3099283854428914,1.2979569682442385,1.2787638612075258,1.2497822604713353,1.207566886362448,1.1494453187807028,1.075035516570082,0.9868981316332056,0.8892634682938895,0.785449108666431,0.6762958680948591,0.5612978193465268,0.44076426487467113,0.31621117548356814,0.18932485817723332,0.06137042962837107,-0.06640630057194151,-0.19176794952583132,-0.31114102260579846,-0.420229612740483,-0.5137228401587229,-0.5846392794720272,-0.6269485065872309,-0.6409828787549817,-0.6352849089561697,-0.6211102132418431,-0.604851533659283,-0.5863833533017434,-0.5637356120995879,-0.5378494251885222,-0.5127435174650972,-0.49212393918770203,-0.47682677245265964,-0.46507107799472397,-0.45403921580722456,-0.44173782574231235,-0.4284150859978656,-0.41625855149324753,-0.40767571355459653,-0.4033247218850308,-0.4012299456799757,-0.39844952279244045,-0.39379321144608626,-0.388133386397318,-0.3825544455788394,-0.37744731202336235,-0.37323392730614774",1
168,"0.046277302611122964,0.040704565541028026,0.03256442453312241,0.02358622294446556,0.014600242348144766,0.005781863597513304,-0.0035983377205651736,-0.014637039905048024,-0.02770206879445216,-0.040312001962578066,-0.04890443210482285,-0.05225510034209128,-0.050536227686672174,-0.04451172463674023,-0.0361047379337293,-0.02741601767575732,-0.020188022161310215,-0.015863269312380746,-0.014712535252514564,-0.015503468523964906,-0.016104249643180538,-0.01410602064412823,-0.00886153117446489,-0.0018865592383411033,0.005560758114944345,0.01303708154046198,0.019632493989797405,0.024489968869126966,0.028320944153026342,0.03254986603946554,0.03731885824057461,0.041748453280629816,0.045729975820375746,0.04954556492950405,0.05220136091254507,0.052157434590536775,0.04899759871334089,0.043519967997183495,0.03729143605324256,0.0319754382634201,0.02799799707115523,0.024242845357613306,0.018672579641797582,0.009599698730376891,-0.0033552552020889963,-0.019002681588765735,-0.033613137301083215,-0.043514028127470405,-0.04808520470367452,-0.04779362779522432,-0.04317213981520863,-0.03597684379613945,-0.029171172892592852,-0.025743423104536988,-0.026633676692155373,-0.03005200216083393,-0.033068632734459556,-0.03363677097039158,-0.0317710050844844,-0.028552006757372152,-0.025591092317871,-0.024051237881073804,-0.022303125551945444,-0.017417175078026394,-0.008645990583415909,0.0025948208116150125,0.014136549380435983,0.023634533846712494,0.029119987025410857,0.029783595748814912,0.02706511586995646,0.02361123327790292,0.02105669428929947,0.020220259259236022,0.021809379445182003,0.025528425024015425,0.030031268289213788,0.03419141040120785,0.03758069883890952,0.039398574768444564,0.037523342491896886,0.029938010744286415,0.016963381567818295,0.0006991766272174717,-0.016103782538911,-0.02949814146501518,-0.0364634890647237,-0.036780256035071096,-0.031587559664953926,-0.022879151800016612,-0.013094657785315305,-0.004512927710986405,0.0006734210089198965,0.0014713617494588917,-0.0012407489194703782,-0.004740123427534038,-0.005827959407025688,-0.004214974043928208,-0.0022722390781667566,-0.0015665985577972448",1
113,"0.001541617158493002,0.0014002997994409343,0.001182325396003419,0.0009054395635057118,0.0005885172263802481,0.00024751227712052973,-0.00010581743947805922,-0.00046322500697450544,-0.0008187540948870926,-0.0011678552224474413,-0.0015069690033022408,-0.0018333488864309515,-0.0021449194726921236,-0.002440041004366702,-0.0027172159135265724,-0.0029747867572430704,-0.00321067603402175,-0.0034222114912013865,-0.0036060633965693915,-0.0037583039243155245,-0.0038745818650369017,-0.003950388862445631,-0.003981380788835125,-0.0039637149182011125,-0.0038943714281448917,-0.003771441480909358,-0.0035943745275001347,-0.00336417741513529,-0.003083548116454681,-0.002756915783287555,-0.002390356752081494,-0.0019913689396953947,-0.0015685121962584238,-0.0011309505686465625,-0.0006879538297388348,-0.0002484223312682471,0.00017951184066115553,0.0005887804339133954,0.0009735766846097997,0.0013294862969577513,0.0016535898672227177,0.0019445579601686871,0.002202727009888314,0.0024301125127730687,0.0026303041957009103,0.00280820495386162,0.002969614916479353,0.0031207060747675854,0.003267461809291671,0.0034151575553172213,0.0035679354965742587,0.0037284915660637623,0.003897865670910921,0.004075319083614391,0.004258296176866735,0.0044424875386126945,0.004622020963833847,0.004789797254670637,0.004937963349391467,0.005058488200339089,0.005143787417277532,0.005187333545674088,0.005184187326175069,0.005131389698969809,0.005028166527807947,0.004875920723110706,0.004678017738331076,0.004439401817931031,0.004166101759080238,0.003864690829183899,0.003541757351284154,0.0032034272204758095,0.002854965251691075,0.0025004737343410285,0.002142704323310981,0.0017829995677003836,0.0014213766645962654,0.0010567537612083781,0.0006872986226045368,0.00031085656543164766,-7.460141954003865e-05,-0.00047057046379013825,-0.0008776879785585938,-0.0012955118577224027,-0.0017223913877835624,-0.0021554060662289515,-0.0025903505686956964,-0.0030217634860794547,-0.0034430220129593805,-0.003846538811977992,-0.004224090642618087,-0.004567300143180953,-0.004868234328559224,-0.005120151734954646,-0.005318498762432958,-0.005462284312189935,-0.005555781616126829,-0.005609892105351576,-0.005641762044145585,-0.005671292085336767",2
54,"-0.00926176821628033,-0.007477326472075774,-0.005621095346172278,-0.0038406034548689183,-0.0022282110992066784,-0.000849521280553045,0.00022870643347649988,0.0009303235683881805,0.0011747544707393365,0.000893058987374018,5.090752182101976e-05,-0.0013278817977284696,-0.0031443515317962634,-0.005221951011185499,-0.007324793004943042,-0.009196558825168344,-0.010610721763751885,-0.011414415256468247,-0.011547800279897547,-0.011032373864809597,-0.009938882436606011,-0.008354333634209565,-0.006362296738444795,-0.004040129832263539,-0.0014688513923137858,0.0012545186367509675,0.004013400742007067,0.006680575324509497,0.009134630783344089,0.011277882247449855,0.01305170569165992,0.014443860019823784,0.015481916918161698,0.016211979533058418,0.016668885233685482,0.016849432791858465,0.01670197858562872,0.016140446184541357,0.015078748136552633,0.013469672589015547,0.011328717936866184,0.008732311121127045,0.005795716586851851,0.002647215341914033,-0.0005855381039123753,-0.003773114373701647,-0.00677538753198581,-0.009438520421168106,-0.011603433917857675,-0.013124016067978417,-0.0138900524119141,-0.013849706040951815,-0.013026114501090369,-0.011520359783158907,-0.009495406888255342,-0.007146446995173417,-0.004669963465523286,-0.0022390855108112007,1.4493949025307096e-05,0.0020132067294046374,0.0037369478752200536,0.005209177225842465,0.006467531258107284,0.007537750286919609,0.008430275034451595,0.009157358741458399,0.009747737311540217,0.010238479559600222,0.010647587972613781,0.010951821263762263,0.011089536072418249,0.010983341924457601,0.010562268577308687,0.009773204064248309,0.00858574535618517,0.006994033473350703,0.005015325098994938,0.002689658760783642,8.561219056757441e-05,-0.0026929187540402078,-0.00550847089108597,-0.008200933277974998,-0.010601206022921805,-0.012545520004221822,-0.013893456935572646,-0.014549166925789558,-0.014479559144155552,-0.013723515864862978,-0.01238880847766688,-0.010633476868608716,-0.00863152670036027,-0.006533824063463589,-0.004443580454854712,-0.0024158039586504865,-0.00046938957146935856,0.0014029618346651507,0.003225594335881654,0.005021966180931425,0.006791041684752086,0.008498169018820279",0
95,"0.0019366706477434437,0.001889228334657267,0.0017993987618837859,0.001682861768956212,0.0015558108004603555,0.0014309694467561918,0.0013161761435390162,0.0012149082104701558,0.0011274740701562869,0.0010520074964375792,0.000985036823917984,0.0009217630564459234,0.0008562274033604989,0.0007815312237752781,0.0006901487855948685,0.0005743516765411294,0.00042673841484086594,0.00024083907182481656,1.1748201303785066e-05,-0.0002632780580062444,-0.0005843381091362176,-0.000948591342174343,-0.001350210292783427,-0.0017805927997607274,-0.0022288014417680135,-0.002682162452131265,-0.003126945147713056,-0.0035490553555613813,-0.003934700788347845,-0.004271007741793842,-0.004546576900913535,-0.004751961133646676,-0.004880038550682142,-0.0049262514652334555,-0.0048886933609043615,-0.004768049887824977,-0.004567425596050667,-0.004292100901671592,-0.003949254676766822,-0.0035476613821530667,-0.003097344835453597,-0.002609162685971722,-0.002094314261381014,-0.0015638001357396458,-0.0010278944717724836,-0.0004957031532994427,2.5133838104707262e-05,0.0005285701307704005,0.0010101196982302274,0.0014666934425724976,0.0018963405409962997,0.002297922629075022,0.0026707449448655773,0.003014177695175979,0.003327321279011697,0.003608786733721503,0.0038566599311626315,0.004068684410328982,0.0042426388419351535,0.0043768211077062635,0.004470507672595714,0.004524254062117372,0.004539943732151441,0.004520564527371429,0.004469768949278585,0.004391330294858442,0.004288624491223525,0.004164245486288409,0.0040198124998017115,0.0038559701857500683,0.0036725377542710103,0.00346874252624102,0.0032434776407159194,0.0029955434739826203,0.0027238555145698284,0.0024276199692889744,0.0021064906710884235,0.0017607271106343525,0.0013913711218900282,0.001000445449894971,0.0005911525348882285,0.00016802640273361202,-0.00026302096690128396,-0.0006948063648223868,-0.001119152399040646,-0.001527314364461796,-0.0019105038652573736,-0.002260436089186413,-0.002569822079695472,-0.0028327359304327615,-0.0030448103600670406,-0.003203275497368374,-0.0033068656311780464,-0.00335578671606801,-0.0033520667834838203,-0.00330064450108275,-0.0032112704207373777,-0.003100402287630921,-0.0029911787760367736,-0.002909507671831457",2
267,"-0.06056365767396499,-0.061890399600897705,-0.06843469389741919,-0.0914953043458877,-0.12266848840227107,-0.15750427567810266,-0.19293003120286245,-0.2294645240785994,-0.2600810429407907,-0.28478406775865805,-0.30777636470071723,-0.3233547628243171,-0.3475905307228102,-0.374711629559322,-0.3810590951882914,-0.37394992707629826,-0.3547219968952695,-0.3344834620146008,-0.3051947524007379,-0.28520949458038414,-0.28565575182045455,-0.27554064232709474,-0.2603120139192634,-0.24061867264498082,-0.2183647928523723,-0.1909504057734438,-0.15357355250720794,-0.0929261093799485,-0.033169599702103536,0.035243710351701374,0.13150800134024299,0.2314448457226701,0.31083161904473977,0.35760570046320916,0.37927267307315415,0.3806050668097303,0.4039100886245506,0.44025802180599993,0.4855463128209445,0.528036286588544,0.545307875329903,0.5530545399564184,0.5727815899277451,0.5661549967145103,0.5568700568222462,0.5579903663082251,0.577894388636558,0.614205660181935,0.6654984565245856,0.720447756204105,0.7553887632152854,0.7719849450457634,0.761734012546754,0.7165385248971523,0.6336532481377772,0.535589993193613,0.42601559460171434,0.2844820902560261,0.10800609372865688,-0.0698135533370462,-0.22842827717062086,-0.3581936955819667,-0.4301430572662265,-0.4555735881221934,-0.44358442045881874,-0.42148519560896613,-0.4010186238575847,-0.37682940585409164,-0.3602013424828079,-0.35084459267493484,-0.34094834422384535,-0.33963038050709426,-0.33610292262122266,-0.3240979779572102,-0.30497437358726476,-0.2752263270929588,-0.2517452683915151,-0.23284772812565036,-0.21392089326828523,-0.19483451333485924,-0.1714345587777515,-0.15504025759554696,-0.13098122044586924,-0.11702983905519049,-0.1132464553991841,-0.11274090519057967,-0.11137570028303678,-0.10970091553506467,-0.10493418446610159,-0.0946141495517866,-0.06980144784013931,-0.04871762079506281,-0.03143365929063746,-0.017494439095507852,-0.0006532317408678434,0.012583599927397882,0.02472261227458139,0.036525183919358994,0.04362377084876323,0.043306663211984286",3
