id,heartbeat_signals,label
31,"-0.00012747415382252658,-0.00031934390518734146,-0.000791173250069388,-0.001534867923240535,-0.002128127311493866,-0.002549583146600143,-0.0031547277612964386,-0.0037605661526691203,-0.003946659261365171,-0.003843267252006788,-0.003913538848805964,-0.0042591822714744265,-0.004746954300410111,-0.005388815674628122,-0.005803458672385686,-0.005469986900380364,-0.004590515142721907,-0.003778042025113393,-0.003555690322919358,-0.004077160746942254,-0.004846099759013678,-0.005226855607082803,-0.0051361361985343135,-0.004932697592643531,-0.004939792602788762,-0.005248466121979101,-0.005693655054452629,-0.00601908750141239,-0.006266840969681831,-0.006618247802444188,-0.007220174036566274,-0.007862073215182619,-0.00816675891616242,-0.008384201959177773,-0.00886146653449893,-0.009261582324944728,-0.009292320840333823,-0.009287495564311188,-0.009510849001958033,-0.009621619540883808,-0.00918472320615521,-0.008309516769426872,-0.0075385889880106305,-0.007139907331191797,-0.006682432873607813,-0.005808011592238871,-0.0048309860432089735,-0.004073363450227352,-0.003298654924450861,-0.0014339742133662181,0.00335136335100944,0.011933402159464701,0.02252919303305262,0.031503303580196096,0.03619512591610041,0.03667619205060074,0.034807533409364766,0.03240353816450092,0.03001615777307015,0.027215817348984317,0.024171260832538843,0.021734988266125577,0.020080319963070192,0.01877667413830264,0.01773537668070141,0.016969867293569252,0.016235678533451592,0.015365518378466225,0.014232013718568137,0.013075605139980073,0.01248879264551428,0.012513673670623227,0.01264472091322888,0.012471789309867365,0.01204411226709462,0.01174418781590214,0.011683197332664486,0.011373856855780962,0.010235772841397317,0.008139364947017114,0.005101716294738434,0.0010098314089754812,-0.0037489579547151375,-0.008018729148582093,-0.010805272008649391,-0.012053980230177563,-0.012613616329169408,-0.013362196036935392,-0.014310558836369003,-0.015055470606111843,-0.01584650849995839,-0.017155848661708384,-0.018703854012056265,-0.02008380696064882,-0.02145739526754159,-0.022965212542392976,-0.024383315610005507,-0.025022170171330183,-0.023243249405617228,-0.019194088192488468",3
394,"1.105063708540241,1.0742620760106507,0.976817315593003,0.7252828517962258,0.3129949888056882,-0.11060229425043677,-0.40688655680330066,-0.6042390240535349,-0.7981038996971161,-1.026173041859728,-1.274627767080624,-1.5190069801153951,-1.7247261369529912,-1.8456024383521754,-1.8666764124272759,-1.8172184485042329,-1.7278805679488625,-1.6120237964029003,-1.4776472116950092,-1.3330206976252776,-1.1843324238717654,-1.0332914498275965,-0.8752072267016882,-0.6999902447121473,-0.4983206839403995,-0.2682923502994359,-0.012801240023004257,0.2633159591749606,0.5399876699291992,0.7814587212850959,0.9638393551830787,1.0891468672953226,1.1732735078132281,1.2293987638694084,1.2618098818368682,1.2702663971962138,1.2577543937744224,1.2327931152547842,1.2030242225177152,1.1699622477842544,1.1321083124893405,1.0893582405450375,1.0431852695570003,0.9958299536367967,0.9500242830750412,0.9070981617209539,0.8656171416326244,0.8232401454831653,0.7797545636493703,0.73717157395141,0.6963171328290472,0.6555783506977937,0.6134901397930923,0.5704820645754621,0.5281684232572978,0.48804672691560613,0.45020619290138386,0.41325382677393485,0.3759951898832776,0.33840441854192405,0.3014301226683982,0.2666073762986658,0.2344962841492948,0.20381876762298662,0.1729340695336219,0.1411687821321843,0.10889722050313205,0.07727864913874466,0.04748368914416984,0.01998352667832476,-0.004926842868508308,-0.027557614501051764,-0.049963456867335165,-0.0741583400337626,-0.09958579946771995,-0.12378522201016773,-0.14507715701556978,-0.16434327082535471,-0.18368852609364705,-0.2038420824425763,-0.2242675350742016,-0.2448456172563802,-0.2658336743830847,-0.2871990810045433,-0.30917648411971066,-0.3325062077995769,-0.3573879521467691,-0.38313982454298084,-0.40888158707643985,-0.43377757840218123,-0.45739946234587414,-0.4800880540441227,-0.5025139084363253,-0.5252170514054693,-0.5486897168749769,-0.573120930090038,-0.5979802529682248,-0.6223670893054032,-0.6449464329297339,-0.6649429979657296",4
188,"-0.03055268331115618,-0.031480969539210965,-0.032997559588580125,-0.034523816416966155,-0.03564084340832446,-0.036207694080599456,-0.03628131728861961,-0.03597637203037632,-0.035384223903628206,-0.03456409458915467,-0.03356082203491452,-0.03240768399780411,-0.031123263326586215,-0.029716347835477927,-0.02819208642903237,-0.02657359837282809,-0.02488176312753619,-0.02312728744481482,-0.02128660159070464,-0.019313719080300995,-0.017140412100944205,-0.014706017393257526,-0.011963882975143947,-0.00889215066067335,-0.005461778828334318,-0.0016265577635266038,0.0026731302832853077,0.007445036570871047,0.012602487016757868,0.017943526400134524,0.02319884661447759,0.028077372810804663,0.032331597223124786,0.035791017133813385,0.03840295917690671,0.040227256336776124,0.04142229785065468,0.04218940436209882,0.0427333929150113,0.04321016960194635,0.04370632637167868,0.0442184505519433,0.04468442086106915,0.045017212774980636,0.045159869319000276,0.0450877508498089,0.044794406691587546,0.04424378097068797,0.043362939070472326,0.0420484201124781,0.040220096040232495,0.03786634199793862,0.03509150998573146,0.032094695503059795,0.029111528286169044,0.02631555453410618,0.023779894447374647,0.02148529020952039,0.01938773375042735,0.017446623190360444,0.015630661884264346,0.013881084126536977,0.012113940406647997,0.010241959370751619,0.008232373938630133,0.006116811484240148,0.003974456620573191,0.0018752959036317102,-0.00013163042876322695,-0.002012343854043183,-0.0037146847751805823,-0.005189182145702603,-0.006419718814423367,-0.007464574649995254,-0.008430429554401944,-0.009426282623088575,-0.010499570043608436,-0.011633993987351099,-0.012775457336729246,-0.013893207391825244,-0.014993738926066952,-0.016108731844163074,-0.017241126539984872,-0.01835445747611436,-0.019383435842172142,-0.020282547287767738,-0.021034092736122875,-0.02164645435694043,-0.022123189076312055,-0.022468780627170573,-0.022692667721814136,-0.022833394801793805,-0.022940671250149564,-0.02309430613194581,-0.02338212380046173,-0.02393755664784955,-0.024875745586263306,-0.026215132802023117,-0.027721207741381954,-0.028933939630459815",1
239,"-0.025877915169131627,-0.02388154555931593,-0.020817979139273662,-0.017714642852460688,-0.01529171272196167,-0.01377042256530367,-0.013041257584960081,-0.012908725794130577,-0.013214756750706658,-0.013839118629949049,-0.01466898519610807,-0.015593084790122558,-0.016503795691591966,-0.01729653794669342,-0.017888561487498705,-0.01821807151570204,-0.01828501612730754,-0.018123324724701212,-0.01777918125385808,-0.01724477297444646,-0.016467584739304292,-0.015365982889912838,-0.013909727122701665,-0.012147579406589448,-0.010233823888895266,-0.008368123229689495,-0.0067441168581281186,-0.005450910011225357,-0.004439476891680616,-0.003491203894117001,-0.0022801788846728566,-0.00044012625435890795,0.0023131118668386075,0.006121440089532554,0.010932098987398137,0.01653703481963148,0.02260831458548751,0.028784936477009665,0.03471581545320035,0.04013024820756603,0.04484580804042507,0.048787127006721887,0.05193977464245836,0.0543269720050876,0.05593208341997094,0.05664834940120472,0.05620842578028565,0.05423067807442941,0.050335158111592726,0.04435667307632274,0.036471453664688264,0.027225427245162,0.01737891432449523,0.007719912165250753,-0.0011211577968167075,-0.008697919764544149,-0.014694193044092974,-0.01879563429223874,-0.020668981984115653,-0.020019525680326,-0.016756035011081916,-0.011089156865048688,-0.0035606817882937736,0.005078643555555096,0.013999724372653899,0.02243262941045382,0.02970109066330634,0.03524660062802237,0.038607030886277816,0.0394483794540712,0.03758078981002394,0.03302083296223701,0.026006915823016896,0.017015836976404963,0.0066960404981205035,-0.004197660339410214,-0.014919496504116392,-0.02480559864655918,-0.03335995105131512,-0.04026343222835238,-0.045375982541829174,-0.04867409587579247,-0.0502227991020448,-0.05012619215109254,-0.048523945845391825,-0.04555188491397655,-0.041341272568162224,-0.03600729019853571,-0.029712222587325643,-0.022711206999542377,-0.015407988833768815,-0.008309738195650507,-0.0019492316853376712,0.0032061083361534792,0.006824717660988799,0.008720268205016812,0.008899324799907127,0.007645154103958329,0.005633408666344597,0.0038482647840051842",2
356,"-0.02877589458955418,-0.031195034646779182,-0.03424264208826447,-0.035671084870032496,-0.035409850031777435,-0.03415541187907141,-0.03238761220458017,-0.030378654331850996,-0.028189664995537184,-0.025609146846744743,-0.022371719531986856,-0.018461121283150528,-0.013986620415320325,-0.008783542787742335,-0.0023568918170265435,0.00577530608538869,0.015812470735082365,0.02748995377220019,0.03976855980336956,0.05087487246377527,0.05915675084498419,0.06403087859681451,0.06604313938209959,0.06623841267083093,0.06566085066394446,0.06516175392337169,0.06525416823130357,0.06605719786065405,0.06739319301294415,0.06881727000474518,0.06960174741652904,0.0689723203253773,0.06646182386222126,0.06187158495073687,0.05484750429752529,0.044713012457746296,0.03104766316069875,0.01463085222993217,-0.00235314155268522,-0.017414187176057333,-0.029144163629304443,-0.03752232344772244,-0.043206202921564865,-0.046842712746675785,-0.04894557427145364,-0.05013149707961781,-0.05123620648430072,-0.0529808110571269,-0.05537213957881931,-0.057539761160420116,-0.05840890190820767,-0.05754137288557411,-0.0551937591156556,-0.051802213895629556,-0.047751776325220305,-0.043412814880604736,-0.03903216355806145,-0.034744747179220825,-0.030844982507325577,-0.02778821423540931,-0.025807599807827264,-0.02469999298226208,-0.023999953106808095,-0.023196235773886312,-0.021803856030009353,-0.019459984912232192,-0.016045838756656966,-0.011685003620246714,-0.006722399483936797,-0.0017576566734866517,0.0024026253043103185,0.004880262726439044,0.004997709760580546,0.002821656383326751,-0.000540395444026398,-0.003551461917238319,-0.005176730504327848,-0.00521287683526428,-0.004093385400921121,-0.0024906857593281206,-0.0008800895682447157,0.0005933311485235016,0.0019709108112363483,0.003402092156472969,0.005055345446509013,0.006916228827981638,0.008779937172841631,0.010437149105012922,0.011730517744458172,0.012604329203266804,0.013289756415242326,0.014282268221111727,0.016027848388554616,0.018664919794703527,0.02197159005617319,0.02547766830665718,0.028668728217960085,0.031138432060187016,0.03273760660490037,0.03377650588404671",0
507,"0.9615308036802355,0.9461957007957279,0.9326022880531248,0.9213836059576802,0.9114722858602107,0.9024174748176224,0.8940703861461067,0.8857458826440645,0.8769236660979401,0.8678197573809661,0.8588268507836821,0.8501719173015587,0.8415438632000186,0.8293938005795556,0.7987864035451948,0.7030156677372268,0.46006877491446374,0.03902372006252319,-0.4453077731773314,-0.8252968816239896,-1.039689910752971,-1.1320348808632494,-1.162633911242927,-1.1653297725935068,-1.1542899087432592,-1.1409127538946748,-1.135535281024989,-1.1408870716916786,-1.1529899969600348,-1.1675650437389034,-1.1832360903694945,-1.2009293460116144,-1.2229552203928558,-1.2502845704970587,-1.2722387790960568,-1.2635521895973678,-1.2078430646073546,-1.114033866881702,-1.0011688311233233,-0.8800195439579559,-0.7523243600907741,-0.6190066949432644,-0.48403254530665807,-0.35311509295599275,-0.23050077608058928,-0.1155014082308653,-0.00433979800838924,0.1061270163871545,0.218096279314679,0.32739739296768267,0.42085605909160234,0.48872907525637765,0.5341733006933544,0.5667858815124146,0.5916482828411185,0.6091467501572074,0.6222200781078262,0.6349714539611978,0.6454859899303053,0.6470731890560615,0.6362346033851564,0.6151957890699782,0.5873320090884634,0.5548889623116458,0.5209788730672564,0.48905129005119097,0.46014986241152755,0.43280353299561247,0.40511391899623583,0.3762827958801114,0.34702580374455705,0.31930028625600504,0.2946739072540382,0.2721105989132281,0.24909577434845742,0.22472609929127585,0.19984453604920538,0.17526520398721201,0.1513313154941217,0.12822571100053493,0.10584303065865475,0.08365820333217389,0.06111365878109143,0.038429443401589714,0.01676511096290123,-0.0029125325859814533,-0.020736795724141,-0.03743729423299125,-0.05331594462167222,-0.06821238530481366,-0.08265370085875012,-0.09836632090183295,-0.11654176076156297,-0.13626194350146859,-0.15590956194310368,-0.17476393259966672,-0.19288547267837758,-0.21060787871573183,-0.22767692978780518,-0.24330610089217863",4
491,"0.9411229061944076,0.9236946363275634,0.9029923160830771,0.880286224498143,0.8573310183418843,0.8348488774323561,0.8126328329802674,0.7900380802749105,0.766330616072978,0.7419080059559819,0.7180182870460484,0.6946924898037528,0.6700398403701955,0.6421328628775123,0.6113585763028678,0.5801515328715934,0.5504996703035806,0.5219572695412082,0.4873064618979165,0.4137809075570922,0.21785591487709932,-0.18469456436272802,-0.7442439427518963,-1.2883044136317228,-1.7059905434986016,-1.9908506541677866,-2.1424383504985767,-2.164851754023748,-2.103254817584368,-2.006224956385017,-1.8962104224459355,-1.7811058461506275,-1.6651462034842623,-1.5494297135433848,-1.4320785724497664,-1.312343389914715,-1.1922552590414264,-1.070025366595146,-0.9354657786860103,-0.7764728770107625,-0.5862097840456042,-0.3698155954966157,-0.15097658055119734,0.0439050435696593,0.2098119457302563,0.35284566713061233,0.4708985555254871,0.5608128950339426,0.6304644956372927,0.6903455116805436,0.7373972185385549,0.7589717429003751,0.7521663352013064,0.7289368739559993,0.7033363777216682,0.6813885039640546,0.6629236456140986,0.646451895084929,0.6302856748030248,0.612982498891411,0.5941667207589894,0.5742451764579493,0.5533562744297116,0.5312472300318505,0.5080445934365775,0.4837254883717439,0.4576598018822764,0.4297146608196103,0.40073183488356334,0.37182492964032243,0.34386102070036484,0.3172411387789752,0.2913136247426712,0.2644708363730033,0.23649589644789704,0.20928617300868013,0.18398262308998492,0.15983530018890835,0.13600673935295648,0.11233534030085368,0.08858979483652796,0.06429082488824578,0.039290386576352754,0.014071200429540298,-0.010781098201803396,-0.035152107094444385,-0.05898010346393434,-0.08200544638747892,-0.1043245354069336,-0.12605749171285469,-0.14694991861443474,-0.16717336086294848,-0.18716831823937252,-0.20679019858459857,-0.2258038550058531,-0.24448529458906282,-0.26314636860217483,-0.2813898000358371,-0.2979232282657732,-0.3121713076353049",4
229,"-0.01571761204396338,-0.015610979642813327,-0.01559697887599909,-0.01546047027226588,-0.01505751469248967,-0.01437576768594473,-0.013514864982790364,-0.01262765311893832,-0.011864030381027069,-0.011328667154050176,-0.011056729692794032,-0.011011128630045608,-0.011104465537348451,-0.01123024395839567,-0.011290156152786113,-0.011222045325298968,-0.011026906323589936,-0.010788307152292897,-0.010651969073854295,-0.010773774791196289,-0.011253807079878608,-0.012097434494069526,-0.013197825644619354,-0.014340512699261565,-0.015215336788545919,-0.015450611144044335,-0.014662984141521895,-0.012522953829724681,-0.008823055174048966,-0.003562190457520653,0.0029784930651447494,0.01020760232338852,0.01730649755930369,0.023414024726368277,0.02784681527115601,0.030240720906996477,0.030574097749140217,0.029086661309142503,0.026168294831611483,0.022259491543432874,0.01779511536492767,0.013184969579526307,0.008821150621222407,0.005067420686482638,0.0022155773588627414,0.0004160380337740466,-0.0003457974746494674,-0.00020624720508777283,0.0006728837402493748,0.002177481058330266,0.004265431206507242,0.006942638163333625,0.010227612091351257,0.014111086152266028,0.018527637874924452,0.023325829808832466,0.028251086544283155,0.03293814028878228,0.03694837020270364,0.03985159701106972,0.04135046455047692,0.04138703189631432,0.040188035280002365,0.038197876067744885,0.03592408059214902,0.033743848543346666,0.031781958316469905,0.029904673284978867,0.02782537054259282,0.025221683256855087,0.021806184983929278,0.01733000797873324,0.011593610786937103,0.004502776692193511,-0.0038234722090575435,-0.012965571472509096,-0.022190692129877676,-0.030560808830758956,-0.03713729911609348,-0.04123122581880051,-0.04258675455552485,-0.04142599241345063,-0.038328984124490706,-0.03403784854507641,-0.02927805852359855,-0.024659328708648176,-0.02062906093351491,-0.01744953562770979,-0.015181517446299253,-0.013699883883194597,-0.01274249859172466,-0.011991539597360767,-0.01113699025264242,-0.010007658107879569,-0.008611001990848799,-0.00723076619635038,-0.006293503247810139,-0.006159893198511179,-0.006747294216819022,-0.0074841664864289115",2
73,"-0.16517126086376088,-0.1628900906719034,-0.15895006756984043,-0.15322124615293706,-0.1458387386175047,-0.13719785597485373,-0.12776258996313788,-0.11785044735354559,-0.10751099189427252,-0.09651279666121096,-0.08442170685216333,-0.07073995866122296,-0.05508767499482301,-0.037382360806983844,-0.017957710009095476,0.0023956671061221013,0.02254274635203342,0.041206625395196005,0.05724633056824322,0.06986810463772528,0.07875624138798375,0.08405482002205933,0.08626909698130104,0.08608148961647713,0.08419195561753559,0.08118643154696031,0.0775042968641379,0.07343892549885207,0.06918918545560634,0.06488995672551633,0.060657239633266746,0.05658626358435438,0.052749444605690435,0.0491648734891246,0.04581546439945976,0.0426737986708588,0.039752108766481234,0.03709148577337559,0.03474083279469019,0.032720089426996224,0.031040597123133673,0.02971302296515556,0.028755186071809963,0.028151445635846192,0.027848774617941816,0.02775708450759712,0.02778672742945293,0.027847277243385496,0.027861776781381103,0.02776561945522381,0.027540500080510455,0.027214198419100347,0.0268638886024746,0.026590067434280315,0.026527889084199605,0.02684763037493393,0.027764466422863857,0.029487563642227016,0.03216463482067354,0.0358075586557286,0.040284453460319405,0.04533234140878219,0.050621255100414514,0.05579917650413227,0.06056636476617688,0.06472113957517961,0.06819786601188246,0.07102772029873723,0.07328230247924661,0.07499060069800322,0.07611009019178262,0.07650349178542039,0.07596090892275358,0.07420560992732698,0.07092990048295252,0.06581143963082853,0.05856000732776086,0.04893432029066011,0.036761822538370445,0.0219227875865301,0.004401100837479036,-0.015593083081134468,-0.03740281345390359,-0.059788439978825395,-0.08099379156498593,-0.09912363755155211,-0.11264617797542445,-0.12081654449194358,-0.12376911993604248,-0.12231703941986359,-0.11756995387400071,-0.11061555971345569,-0.10233020858056993,-0.09335623838528057,-0.08414018394341344,-0.07501303890987013,-0.06627034026334415,-0.058290848698180686,-0.05161073605024126,-0.04689083119341518",3
468,"0.9059258685935241,0.8797794141043129,0.8487435360900658,0.8174199361869584,0.7885647462169153,0.7646224745378675,0.7425314198789297,0.6876468853340842,0.5001943605241999,0.08804583280350231,-0.4582465764716932,-0.9144506719919572,-1.1711678979038287,-1.2705747273311303,-1.2887459776826726,-1.2836796277895868,-1.290038724528265,-1.3236016338406182,-1.3926976222087912,-1.489354971451481,-1.56882978738789,-1.5834960026794258,-1.5345333945989341,-1.4518522662150684,-1.3533756637847116,-1.2400116003187835,-1.1047226447823892,-0.9400370815732506,-0.7421008252518606,-0.5044004642592131,-0.21183027017500866,0.1343048279940837,0.48163960441611964,0.7552818480603849,0.9266448763482406,1.0221429791061918,1.0761868980718452,1.1026570588403954,1.1010782818892992,1.0718200553542427,1.0245535112776203,0.9743004390517024,0.9307667421430724,0.8948920772001298,0.8634044817418557,0.8337531311293669,0.8055708455241308,0.778931333750147,0.7532235862428369,0.7276669281936872,0.7016071567449488,0.6742674656087796,0.6449763214093216,0.6139540952084264,0.5826423013235188,0.5525269813699982,0.5233222553464019,0.4933106027665155,0.46231373043367363,0.43225549050827505,0.4036696057082756,0.37458296461407037,0.343928025845752,0.31277924327676776,0.28208059792502793,0.25140469600613324,0.22019982137514593,0.1888482981014069,0.15778071642532332,0.12718326609793584,0.09763543375407024,0.06970874191175497,0.04328818158590242,0.017927850536822554,-0.006721500190712382,-0.031005838540250574,-0.05515072809979943,-0.07907197397708465,-0.10255914397584814,-0.12561558700192377,-0.14861071225561417,-0.17179190522696652,-0.19479659206794653,-0.21743926984103334,-0.24013963205396865,-0.2631309394991096,-0.2862306995215964,-0.30911029826997793,-0.3316607447393287,-0.3541688169581187,-0.37733588920035865,-0.40168538232728984,-0.42665059197852473,-0.45098518289651407,-0.4737794293511465,-0.49511314297993203,-0.515941991131728,-0.5372110457219137,-0.5594259462643354,-0.5814064081945312",4
