id,heartbeat_signals,label
19,"0.04224085854094312,0.04417415727511108,0.04468877518488222,0.0429595993652107,0.04032144443052576,0.037867886867820805,0.03594369850925638,0.03433972401183758,0.03267217884151933,0.030676398225724363,0.028530206109557605,0.026769113777044183,0.025802300885188697,0.025433122041081224,0.024865021809402397,0.02356718271388695,0.021720988021943593,0.019348989645962808,0.015457634180346808,0.007941803237078791,-0.0055762726959083546,-0.025811523635385566,-0.050354321777646864,-0.07480979324557568,-0.09512511473585074,-0.10838221570493574,-0.11334790513824411,-0.11192051961332261,-0.10822715823860037,-0.10541943362531585,-0.10416532975801869,-0.10346079203088211,-0.10194070402103969,-0.09836062402092989,-0.0921312186844486,-0.08400490802865514,-0.07441784567679845,-0.06156125170503156,-0.043234430267644834,-0.019941561877378264,0.005233919413189405,0.02874354951232113,0.047887603000264116,0.061438536185850434,0.06962769239943736,0.07341757786804484,0.07384827135695544,0.07202823147650371,0.06909711479775914,0.06574690993268843,0.06204503252934576,0.057754480543932785,0.05279327836932241,0.047450950664299725,0.042347408760824226,0.03801596793149477,0.03444239986199673,0.03144796088326784,0.028919709680152256,0.02662879344500238,0.024358769249524966,0.022115808925884255,0.02002653822999277,0.0182097841931939,0.016766118480412533,0.015473442390232708,0.014040058428929886,0.012668259656026474,0.011535541903282882,0.010304194148732234,0.008720350079714348,0.007053452044102797,0.005507195131252787,0.004023371659825523,0.0025698909714726445,0.0012217035824577853,8.162403975613955e-05,-0.0008522555491036073,-0.0017157178363531294,-0.0027586280073313794,-0.004068694609575546,-0.0053864179003156615,-0.006291637464063163,-0.0068207667140854295,-0.007301937445463803,-0.007755506767820608,-0.008104738284720064,-0.008444564953958213,-0.008925365925642765,-0.009394217668113533,-0.009752360754342822,-0.010200253127412094,-0.010846151891257583,-0.01161026610093936,-0.012333020341580273,-0.012898572173360134,-0.013392881962206867,-0.014238170895244455,-0.015841673741093514,-0.017785850806174595",2
185,"-0.08898827687823621,-0.08857153466602044,-0.08747272569141787,-0.08637246595126988,-0.08576058437818032,-0.08578537129526162,-0.08633971615006877,-0.08722903252088884,-0.0882863832672777,-0.08940288424862722,-0.09051368603042467,-0.09158272963182215,-0.09259266810990066,-0.09354084060575643,-0.09444483030398723,-0.09531677876292313,-0.09615423842707352,-0.09690382319589844,-0.0974711652964054,-0.09771552352293364,-0.09745360113327498,-0.09638388664127415,-0.09399081572993132,-0.08943019692217524,-0.0815276917762042,-0.06891409100659143,-0.05037827703391909,-0.025321384854082002,0.00580797401382524,0.04136844561649661,0.07875293819047463,0.11497970282794945,0.14736666697679196,0.17407140270229124,0.19428299813496686,0.20812298635753057,0.2163212962046706,0.2198719935035407,0.21973072982955655,0.2166600747048711,0.2111728430766566,0.20359284176641113,0.19413859523445037,0.18304577018698642,0.1706401897773089,0.15738102487057307,0.14380518265087372,0.1304455928049438,0.11771380540747853,0.10584537571945271,0.09487812495585513,0.08471678562267249,0.07520997600529397,0.06624999338163243,0.05779707713923482,0.04987056450693772,0.04248495622064333,0.03562472342149135,0.029217423568915518,0.02315199301995291,0.017288595257395442,0.011514306901767968,0.005775638167791017,0.00010511053183345775,-0.005421257755276715,-0.010715703956507089,-0.015720926321784595,-0.020403402025922168,-0.024760813660470754,-0.02879699976809516,-0.032518780071909975,-0.0359195208708154,-0.03902086213904235,-0.041901851244444094,-0.04471036921763233,-0.0475695921398015,-0.05047476279236643,-0.05323265762756549,-0.0555548663476684,-0.05720577866693016,-0.058141045372876704,-0.05850561442141236,-0.05855740589390937,-0.05853487741550137,-0.05858839530879836,-0.05874436714311351,-0.058931683985610106,-0.05899205519837267,-0.05872246175507037,-0.05791188575964712,-0.05642836332659279,-0.054277679104326376,-0.05163922250651834,-0.0488381155090197,-0.04626634585688713,-0.04429301642373637,-0.04316718226227939,-0.042944445782646196,-0.04344328027493358,-0.044302907320567464",3
370,"-0.006678966474998771,-0.007078057074128341,-0.0076290585197339444,-0.008321224834690555,-0.009140380210013066,-0.010067224165783317,-0.011077854851888946,-0.012148158155803612,-0.013254603909558349,-0.01437112781733485,-0.015469812380621673,-0.016523560546457983,-0.017505732037844002,-0.018387003598083207,-0.019135219161917183,-0.01971853126161638,-0.020107029187586112,-0.02027118679349177,-0.0201845650501713,-0.01982879285616812,-0.019196509628130243,-0.018289485957307727,-0.017119460441837153,-0.0157105147304355,-0.014097378636660829,-0.012319907431985022,-0.010420299811669476,-0.00844202735130306,-0.006427214181906615,-0.004410576261667909,-0.002417239589007858,-0.0004643928218214244,0.001439163957485723,0.003295194319150041,0.0051140086685977915,0.006908764938853007,0.008691622894012652,0.010472814722857993,0.012257301815866928,0.014040088284302865,0.015805833200374986,0.017534168189933363,0.019202044924369444,0.020785851929115085,0.022264656653266657,0.023626374555476726,0.024868644793825556,0.025995641351530985,0.02701642466222276,0.027944978607654214,0.02879724700893327,0.02958539649519598,0.030315652833102058,0.030989483149977293,0.03160217824491468,0.032139049947348286,0.032575107478476584,0.03287882523050861,0.03301308797802455,0.03293530415097773,0.03260058780229169,0.031968977309887625,0.031008992887886666,0.02969873183610644,0.028028869782699972,0.02600700672965489,0.02365742876153798,0.021017203598710732,0.01813351622074194,0.015063642695284485,0.011870412476599035,0.008615862207090708,0.005358705759216986,0.002154357523606598,-0.0009471653578017047,-0.003904910086868829,-0.006686536159234202,-0.009265488487581741,-0.0116212787810972,-0.01374237705188619,-0.015625416079040333,-0.017270441555579552,-0.01868471295288121,-0.019885469732049965,-0.020890535443525426,-0.021716064553653214,-0.022380323162232152,-0.022900662464817145,-0.023284936471409168,-0.023530083311566696,-0.023629217453401297,-0.023575103816521115,-0.02335851883194895,-0.02297564796260393,-0.022441912636731898,-0.021797583480735183,-0.0211027483314149,-0.020433771114105936,-0.019880827092192077,-0.019534378475271397",1
24,"0.04306623253774242,0.03955138386877345,0.036280310539425605,0.03472239046955721,0.03410656827595396,0.03361402767627195,0.03295980183049835,0.03213809318038689,0.031446265507644434,0.030828839105134995,0.02975882233819587,0.028356887827485033,0.027202153906101686,0.026421708161521215,0.025738051946477547,0.025005572307527767,0.024270504315553547,0.023355006344794406,0.02203880555655579,0.020653053085893328,0.019567865144733677,0.01850294478915308,0.0172627171490934,0.015949555818690002,0.014604040857495292,0.013400195233193683,0.01241290675456077,0.011567879545927598,0.010792398326522748,0.00970749557708258,0.007891949113852138,0.005021759000945571,0.0003925307322380292,-0.007338846790384337,-0.020669113354739227,-0.04216410879692868,-0.07078972834109991,-0.10065356154726927,-0.12526067589764855,-0.14167978895944955,-0.1500518553283198,-0.15208940684296826,-0.1503097272175737,-0.1466592321696192,-0.14205630891764473,-0.13696754904769903,-0.13117150682727602,-0.12319137553106153,-0.11053262221301076,-0.090428091195635,-0.06117371650010835,-0.02422463002306037,0.014358525605849628,0.046302028424414596,0.06640799858474355,0.07492132974257817,0.07573544590021945,0.0731303628573774,0.06943564209943627,0.06534177198931942,0.06139615468142309,0.05786836825253262,0.054483646918572645,0.051257356305681165,0.048284099148975725,0.04519464812074582,0.04165571357807928,0.037895675509311756,0.034406048570531714,0.031243594839269376,0.028259010842021703,0.025369280568070446,0.02247881201791007,0.019890951337733588,0.017996051033557562,0.016468719688372813,0.014800904139282853,0.013005288240718185,0.01141982461986276,0.010316852039090628,0.009531660501151569,0.008699421616630051,0.007816962866907688,0.007009766527966976,0.006010404483609236,0.0045050757115195,0.0028077408930466327,0.0015600530407637384,0.0009646568121608502,0.0008024112517529131,0.000640919866342779,0.00011189658680884479,-0.0006042177308917401,-0.0012076913962384764,-0.0015704302494946656,-0.0014843112223690384,-0.001080683462009166,-0.0010201961859445524,-0.00160932869776435,-0.00238508819312154",2
433,"-0.007607616768206982,-0.008164117234219476,-0.00886672456011535,-0.009389875596015174,-0.009598962709573639,-0.009485437594087168,-0.009153753289423902,-0.008819349434956394,-0.008605992189832642,-0.008382254701107233,-0.007977451561502868,-0.007499914142016659,-0.007226469941375047,-0.00724184823848277,-0.007389164755889938,-0.007468986925665555,-0.007315395752936035,-0.006815031729808088,-0.006001111343822918,-0.005080294073128974,-0.004288984168417179,-0.003671030516946616,-0.0030091623243201915,-0.0020508130320531504,-0.0007881965890587234,0.0005598702939686451,0.00181034741035338,0.002963910322640803,0.004124709538003105,0.005353548545837666,0.006602959557483898,0.007794908478243948,0.008926717449786403,0.010021691164842597,0.011022275857164171,0.011819040500240408,0.012346187395827282,0.012606044098172398,0.012651977037231046,0.01258222849034861,0.012521677150646782,0.01255863057665775,0.01267397844561928,0.01277278581885638,0.0127922425830935,0.0126933457136401,0.012355250220316916,0.011604598281920342,0.010426446381720161,0.00910078182891215,0.008014266642112036,0.007289540027227176,0.0066814454308025545,0.005926425630900803,0.005114277196936995,0.00452626565813441,0.0042045196904497845,0.003970048266148274,0.003787734930695244,0.0038003143473645945,0.003978792831549782,0.00395786075657957,0.003365970415238062,0.0022080299858159985,0.0007927256800912413,-0.0005646781096948494,-0.001644017651681956,-0.0023347691664361153,-0.002692312053439838,-0.0028588988763550705,-0.002894600235708436,-0.0028192899971345303,-0.0027643450239819706,-0.0028954663278805415,-0.003235366451698987,-0.003680946136275662,-0.004113376303072042,-0.004412497832025852,-0.0044440324824614325,-0.004161667677540254,-0.0037323893801047836,-0.0034356839359363928,-0.003417953535777951,-0.0036623881498927674,-0.004135722673248812,-0.004780644172470705,-0.005392410684186694,-0.005684645863601012,-0.005554495552752586,-0.005200462182250357,-0.0049202667046478465,-0.00485907800661442,-0.004970741940720738,-0.005144389287817727,-0.0053023014455833295,-0.0053772445467609314,-0.005219995517263362,-0.0045851145544781174,-0.0033852226168722688,-0.002129016382246718",0
245,"-0.1677952606527951,-0.1696554213018573,-0.17205469476202495,-0.174470868084824,-0.17654552701629733,-0.17817622000679773,-0.17941716277440817,-0.18033836943504866,-0.18095000585631227,-0.18120421590920655,-0.18101520524052298,-0.18024324334086808,-0.1786328113849613,-0.17573096532643118,-0.17080951137256578,-0.16284237958234793,-0.15051632219064748,-0.13239159156561536,-0.10723305734276412,-0.07453063848837727,-0.03494687919567524,0.009547663189665101,0.056050676494498075,0.10141874812409735,0.14297299500242666,0.17886229723322672,0.2080569414752445,0.23007136688868263,0.24470057375100024,0.25189811935275347,0.2518682537852404,0.24520761523035245,0.23298457537922507,0.21663261520673055,0.1977537773806461,0.1778883363872748,0.15837208068231018,0.14024708835392985,0.12426101118359217,0.11089206434921334,0.10042018341579367,0.09295137134634807,0.08841186622868208,0.08648431020958985,0.08660157529655593,0.08799427724705838,0.08982715153816723,0.0913230938473818,0.09188707639082566,0.09116405052094428,0.08906998140177397,0.0857369794087221,0.08143992901887703,0.0764949296546365,0.07121250439005594,0.06585953162683023,0.060660182307602006,0.0557751785816043,0.05130708282068441,0.0472943249338279,0.043743016812016366,0.04063296607729955,0.03792986958424943,0.03555595781927667,0.03339613008619641,0.031302266660272415,0.029131521968307372,0.026745352546692525,0.02401707114188839,0.020814309778578233,0.01701692029970292,0.012519639499929125,0.007265542003685843,0.0012488073927410803,-0.005477238224121328,-0.012838297808165477,-0.02074757170565894,-0.029112259419094066,-0.037796283225465965,-0.046625333302809435,-0.05539359038711361,-0.06390478791632642,-0.07197185753447038,-0.07942679942079073,-0.08611028738237636,-0.09189528967759503,-0.09667617233718778,-0.1003610030818381,-0.10283015251100686,-0.10395384709593125,-0.10363907908910863,-0.10193431398270208,-0.09906635668394387,-0.09546163143669151,-0.09164490796335528,-0.0881951354025694,-0.08561250851523755,-0.08421996278637478,-0.08398356103791271,-0.08454317254871607",3
253,"-0.10483589321999887,-0.10579857299791558,-0.10703300511167847,-0.10801527994983223,-0.10842508767663793,-0.10822440708828779,-0.10751203068923762,-0.10632165644238414,-0.10449390250139903,-0.10165531639915676,-0.09728942128964276,-0.09087177423806585,-0.082046228096908,-0.07078213056976458,-0.05743200905310929,-0.04267767509488063,-0.027334250118228556,-0.012149359022460074,0.0023772301447794256,0.016066617889944734,0.02907896329840636,0.04181358377428501,0.054736093938360625,0.06811785340086082,0.08183791425630722,0.09529337324181736,0.10750790531079016,0.11734584806674653,0.12380781664332544,0.12627081134401383,0.12464816904880457,0.11936903708005181,0.11124680541405871,0.1012621347659495,0.09039849422181298,0.07951753199628597,0.06931231968807258,0.06026439389402058,0.052646755724866795,0.046526066192244,0.041810849983600074,0.03828576478062917,0.035674832193490616,0.03368063479596857,0.032049189446130055,0.030591720521214685,0.029199787220973467,0.0278096482860085,0.026395762192261966,0.024955407176837682,0.023523839790675752,0.02214681321148585,0.020869011150720845,0.019706730343768325,0.01866863214448687,0.017757892380295903,0.016990476215622774,0.016365697583548833,0.01585154702473028,0.015354861310251197,0.014754849086427144,0.013942116131151636,0.012879112093785033,0.011585814162661301,0.010107245535335874,0.008453838157906929,0.006610289479270781,0.004559761863433584,0.0023378824746683458,2.9017766620551e-05,-0.0022474048686470516,-0.0043885466431106135,-0.006315627463046397,-0.007983831941327783,-0.00935761073769371,-0.010422736838354707,-0.011187263837835824,-0.011706565237640854,-0.012065860462739424,-0.012370132237216426,-0.012704300379520594,-0.013136668721362967,-0.013725518598798364,-0.014564449900832697,-0.015781939926104084,-0.017519505471590317,-0.019854427516222344,-0.022763431447134296,-0.026113107132640447,-0.029724530193087795,-0.03342158133456753,-0.037081279460317196,-0.04062475825714949,-0.04406285280993552,-0.04747512801307395,-0.05102932643986793,-0.05484457188293562,-0.05885848473272775,-0.06264857123936679,-0.06551673055537893",3
263,"-0.004879556522718265,-0.005158982093254889,-0.005694637909048825,-0.006416736702828427,-0.0072326967759741775,-0.008047792043082848,-0.008779419339750114,-0.009359339953076293,-0.009739735744636373,-0.009900056256058692,-0.009844536778334391,-0.009590037861033365,-0.009160269233562134,-0.008586865689175244,-0.007905334094354066,-0.0071448338629586244,-0.006326236513753018,-0.005468727895711116,-0.00459011270924109,-0.0037012592749161924,-0.0028078173973626816,-0.0019188434250200156,-0.0010447568332928592,-0.00019316048328683194,0.0006272219749093519,0.0014069275729188951,0.0021396920643061146,0.0028238056202426406,0.0034598159529218783,0.0040499523144136435,0.004599318959676642,0.005114814331120814,0.005601235388809182,0.00605951775786788,0.00648864089416943,0.0068868335323293076,0.007249906522032223,0.007572649793304367,0.007852675301910673,0.00809252644838599,0.008297021506613073,0.008472770956791241,0.008628617866328472,0.008774676289971924,0.008917600267677489,0.009058704290803098,0.009195398922186342,0.009322444046210805,0.009429370579928681,0.00950263380711347,0.009528633217416947,0.009497404837604376,0.009400470702542685,0.009232226302964663,0.008992960710168744,0.008689564192558244,0.00833244083516941,0.007933773890103392,0.00750867743613489,0.007072712080708463,0.006637398182895063,0.006207267792782724,0.005781025420728059,0.00535169412761001,0.004905322984365981,0.004422669898426608,0.003884763133255753,0.003276875373766419,0.002589071977283912,0.001817572500030458,0.0009681602707453107,5.7002337529393765e-05,-0.0008940784607155486,-0.0018597544446552136,-0.00281108481679309,-0.0037173488384801834,-0.004550904138554919,-0.005289350924665662,-0.005914065713781155,-0.006410520649131113,-0.006771706758581526,-0.0069980471424930385,-0.007094601664963854,-0.007069458079495931,-0.006937969663102318,-0.006721464974842585,-0.0064428667335686834,-0.006125552380792258,-0.005796489248851677,-0.005484696710849751,-0.005215383832754092,-0.0050077533400753535,-0.004877074398405505,-0.004832612822459725,-0.00487193843812065,-0.004980574893794575,-0.0051369675994744,-0.005314947043717072,-0.005483200348694046,-0.005610301713486844",1
139,"-0.08874896282145872,-0.08939520550469449,-0.09016535916774349,-0.0909189939466768,-0.09152539464090714,-0.09187011312916371,-0.0918125524934843,-0.09111319032300602,-0.08935510620980336,-0.08587726860568679,-0.07976396611446834,-0.06995927486359543,-0.05554906922565217,-0.036147547883972675,-0.012220774114595323,0.01483933582107011,0.042966611276504474,0.069896837413154,0.09366923665524574,0.11296441655178502,0.12720253102235246,0.13643162667976172,0.14110912838780998,0.1418766827876916,0.13940304973301876,0.13430189817565708,0.12711100770702854,0.11830046748732614,0.10829848284129096,0.09751339390802405,0.08633958989112722,0.07513774671584061,0.06420118888331217,0.05372232217310402,0.04378187364199182,0.03435879552272747,0.025367127299402492,0.01670671947869029,0.008323120166974785,0.0002531911234820994,-0.007369268116375616,-0.014361458014635953,-0.020562746667095566,-0.025886914113400494,-0.0303268867101687,-0.03393007073902965,-0.03677019400921455,-0.038933539125936334,-0.04051027550088293,-0.041587422018656284,-0.04223976655992978,-0.042523862820994074,-0.042476437228323394,-0.04212393011849358,-0.04149649312947867,-0.040635759431013385,-0.039588834506739334,-0.03839266354918247,-0.03706021000990323,-0.03557585182220213,-0.033893583055766285,-0.03195132041176907,-0.029705633795987008,-0.027178225492097696,-0.024474436704227887,-0.021755632989847506,-0.019177495889997842,-0.016840736497198305,-0.014775573226638805,-0.012958892600330674,-0.01133985047335695,-0.009866628962448054,-0.008503832262084288,-0.007236921955877107,-0.0060621043847189915,-0.004973575412147713,-0.00396168740888625,-0.0030228694113773047,-0.0021589447860111965,-0.0013532941485684402,-0.0005392037588346499,0.00040080030971900715,0.0015902272487328117,0.003091679346906795,0.004866669501419785,0.006786889812696928,0.008690724226008917,0.010445388833434044,0.011977646259641372,0.01325313106716719,0.014217137873486219,0.014732281717401707,0.014555486582490174,0.013398764024624588,0.011048527457309887,0.007524428132773764,0.003160446712044185,-0.0014239815033204595,-0.005494191721537978,-0.008392630360750108",3
184,"-0.04557451494632975,-0.04788766877337436,-0.05072342193948459,-0.05361056666260494,-0.056195319815235456,-0.05833057889940524,-0.060026581635314435,-0.06137047276944635,-0.062478465461014265,-0.06347270832114132,-0.06446594810192469,-0.06554667956324861,-0.06676626550894105,-0.06812590372070276,-0.06956483969210209,-0.07098625783119467,-0.07229116724972445,-0.07343676310587127,-0.07445665141795133,-0.0754539215825401,-0.0765366354635923,-0.07776775467399227,-0.07913454920206842,-0.08057468182318522,-0.08199096975385473,-0.08326246373257934,-0.08422319346797474,-0.08465479302382434,-0.0842452000053196,-0.08253082272176715,-0.07880470018687616,-0.07209210931786442,-0.0612399951710037,-0.04518624952727418,-0.02332967869942687,0.00410559731249871,0.03592032026299487,0.07008879407810209,0.10419816357006098,0.13596504761242595,0.16365673949451734,0.1862765259932265,0.20354959294833705,0.21575031244138185,0.223482503767362,0.22745367467297176,0.22832271469893434,0.2266015499388836,0.22263501050516715,0.21661953225094488,0.20868169097996672,0.19895973692732616,0.18767563797347786,0.17513835988040843,0.1617133572716662,0.1477566056371295,0.13357818467784738,0.11941733003603072,0.10545782765531667,0.09184007132157408,0.07869001441720369,0.06612917869545244,0.054283736595658605,0.04325406394340764,0.03308362925852726,0.023725910470648315,0.015056766051087689,0.006895124399376756,-0.0009584954601115081,-0.008697531579684836,-0.01645895858199596,-0.024277376532495787,-0.03204317457321859,-0.039530049565347614,-0.04646669362717093,-0.052646868795779955,-0.05799144095545389,-0.06255516002228897,-0.0664568277646636,-0.06980584531863954,-0.07264559670770554,-0.07496739358040189,-0.0767447366064935,-0.07797940432177264,-0.0787065275603604,-0.07899175614371268,-0.07891272988739284,-0.07856008748563914,-0.07802126525224212,-0.07736774664736584,-0.07662612049514511,-0.07578177742702313,-0.07480638626233566,-0.07366788907316407,-0.07234783363953651,-0.0707921216193152,-0.06895416562652759,-0.06690042155927592,-0.06500737492645903,-0.06395505437276869",3
