id,heartbeat_signals,label
494,"-0.046059479181495826,-0.0454531907448533,-0.044983938507665626,-0.04453629654001172,-0.04392989785752005,-0.04333529151870118,-0.042963852396134844,-0.04267646435625337,-0.042192174017935236,-0.0415732867676928,-0.040878362786441,-0.04003483589257274,-0.03924841964233233,-0.038724248716094554,-0.038325242398909734,-0.0378544004352157,-0.0374186149745097,-0.037066703064761335,-0.036552090405813795,-0.03569915413094926,-0.034566375259226616,-0.03354820377713418,-0.032960181468505066,-0.03240752944322251,-0.0314711191781109,-0.030332527633220342,-0.029407570307155816,-0.028965546055059473,-0.02865891336730563,-0.028011386426119368,-0.027328533303896063,-0.027158704309770562,-0.027343516844847565,-0.02720883563679792,-0.026510152080409966,-0.02507237030036473,-0.0215599812171548,-0.013800197250875772,-0.0005392991265676661,0.01713021065443325,0.037215264964785805,0.05912396916882695,0.08258330469902031,0.10566409994768242,0.12511991293392993,0.13837563902615396,0.1454629701652711,0.1485984599820405,0.14987792455254856,0.1498539226142891,0.14782565529076797,0.14322951957192578,0.1368670661422528,0.13026623703323315,0.12394089767259611,0.11762467571532811,0.11137628247831238,0.10512376443400867,0.09850267851407765,0.09115245965674831,0.08292423795530779,0.07417201955280717,0.06515535219664384,0.055647534977135434,0.045397415595985806,0.03472223565223357,0.024272565926159166,0.01405789258603602,0.003641049479409568,-0.00683429763243925,-0.01696435780319127,-0.02654441391154571,-0.034977770827690664,-0.0416672724292688,-0.046553369482286104,-0.04976810289640831,-0.051776502440044635,-0.053541696446827027,-0.055803654429943055,-0.05857470596565934,-0.06112994754344427,-0.06239702630748651,-0.062040010708980874,-0.06079565212135941,-0.05958607739867915,-0.05864135584838854,-0.05758492907257597,-0.05628691895065765,-0.05481922521323731,-0.05307043424409217,-0.051060888568387856,-0.048951239770563586,-0.04689705815041648,-0.0449312169805468,-0.04282654856560759,-0.04046389496411123,-0.03800352385784867,-0.03538149903138146,-0.03210792751009619,-0.028566812745172344",3
356,"-0.016001983801026687,-0.015967212138686182,-0.01560766246748746,-0.014992883500686283,-0.014215502757116527,-0.013366530733089244,-0.012521976200544238,-0.01174353081633267,-0.01107498262097828,-0.010533668479939529,-0.010115011120801709,-0.009808624268210386,-0.009604239212652355,-0.009486355693535342,-0.009436724023840881,-0.009445386356736862,-0.009509561996962956,-0.009622505711357698,-0.009772322755103258,-0.00994987234797462,-0.010148221952556158,-0.010351120718235962,-0.01053803152624122,-0.010691718724859745,-0.010792859573967029,-0.01082038511005684,-0.010755694786559356,-0.010584430421249624,-0.010292194647409603,-0.00986258213792024,-0.0092803874958311,-0.008532235812788336,-0.00760261058585171,-0.0064738726814763115,-0.0051321231298245285,-0.003570501631729006,-0.0017875491622506567,0.00021170252851721028,0.0024107873190550855,0.004781310310430997,0.007287385105391508,0.009889191111096096,0.012541030795212016,0.015193268444249008,0.01779776618132406,0.020310547041887617,0.02268959642310653,0.02489476518439032,0.02689211088954574,0.028656292807349493,0.03016710343223944,0.03140846222644905,0.03237227628800149,0.03305872624638356,0.03347149427755175,0.03361545079423489,0.033499767886297216,0.033137952464000864,0.03254406928091552,0.031732055803835924,0.030719638132468197,0.029529616568988615,0.028185790483469475,0.026711142898716178,0.025130574948594497,0.02347038460974893,0.021753009916691157,0.019994730317937248,0.01820900528916064,0.01640697157285903,0.014594387352106553,0.012770819297781622,0.010934593135918658,0.009084215837018572,0.007215346228062469,0.00532034261191916,0.0033923450770895758,0.0014266029861763063,-0.0005821579795816101,-0.0026401609590810393,-0.00474960547609421,-0.00690530979063303,-0.009099230712911188,-0.011320242320810914,-0.01354798797668505,-0.01575285885308958,-0.017903447786385973,-0.019968952915091376,-0.02191528445896751,-0.02370812918356774,-0.02532158879619073,-0.02674049667185341,-0.02795629670523686,-0.028967913236455978,-0.02978792207211345,-0.030441871641147533,-0.030960410300544527,-0.03137631159268933,-0.03172636041409943,-0.032047033161067495",1
99,"-0.013678044651093652,-0.014720983552480221,-0.015790247393353718,-0.01621091108964884,-0.015868795432696037,-0.015193552203168398,-0.014577216317412295,-0.014093007620179149,-0.01392722872219862,-0.014273398284671862,-0.01484876992468348,-0.015149676301579429,-0.015058474935589206,-0.014677308294248431,-0.014109826725929892,-0.013544147856094924,-0.01318964034464945,-0.013239139726002047,-0.013483191597403438,-0.01337550457978981,-0.012816027760800736,-0.011950151358023409,-0.010678235306699896,-0.008832883282093418,-0.006428023377931885,-0.0037293264477968047,-0.0007953692520895894,0.003580473934918227,0.012138092340505502,0.026722816366082258,0.044733838232536544,0.06029881064088022,0.06952496771554276,0.07262685079788436,0.0716246076014419,0.06810838117050927,0.06290273818589925,0.05623364967567146,0.04840528356529486,0.039790034486727355,0.030441405610909772,0.020903444534275617,0.011943177234947255,0.0037774222302503213,-0.003334681794095462,-0.008942745192522222,-0.012824198435630818,-0.015317605280652707,-0.017274779623656145,-0.019238297393951026,-0.020958154276120772,-0.022047805645132784,-0.02230094318409065,-0.02147074430810253,-0.019680505127991438,-0.017632272938544385,-0.015799720837769454,-0.014122027594006187,-0.012515928232008727,-0.010924512834658895,-0.00910461649206451,-0.00707888446236013,-0.0053870730859430505,-0.004401299965884814,-0.0038143363174970857,-0.0031308257709129483,-0.0023588345890279416,-0.0019092221407816523,-0.0020463255833868266,-0.0027373889041034105,-0.0038504806361431,-0.005183568239721603,-0.006449793786496433,-0.007382613233952506,-0.007907342872347262,-0.008241221769857893,-0.00850983783247558,-0.008438298227746,-0.007918943460826944,-0.007227264031012509,-0.006091174575264674,-0.004154400396064489,-0.0019049006898686771,0.00016657802581845904,0.0019275501051100319,0.0031260595382736067,0.0037632129856864094,0.00403102074311143,0.003913581764307977,0.0034313394292658783,0.002732387182923679,0.002070744847616518,0.0014882530024030727,0.0006904747052198512,-0.00046645418990648446,-0.0016715674840070138,-0.0025084237167832812,-0.0027103397662206208,-0.001375687806549064,0.001487928410426248",3
154,"-0.048856975232059896,-0.0498505100503111,-0.05096942055135423,-0.05201735888065029,-0.05288182048448831,-0.05356792540000177,-0.05413691461011233,-0.05463066722839205,-0.05505427332098345,-0.05540976460624425,-0.05571953562015086,-0.05600690264937136,-0.05626305164868839,-0.056443217332784734,-0.05648961070831149,-0.05635618930672193,-0.05599719443535145,-0.05533656628459632,-0.054211293525680326,-0.05230361441151854,-0.04906486221801376,-0.04370294795153151,-0.035292155220196575,-0.023043639582717157,-0.0066510567783717445,0.013436461191535631,0.03598449360405964,0.059221976882265714,0.08128733812046174,0.10066175949467993,0.1164256770906682,0.12825755164828134,0.13625568197551607,0.14070522250386164,0.14192021752285267,0.14018579932042008,0.1357865647394767,0.12905367286600478,0.12040297409842338,0.11032689622610148,0.09935737713311132,0.08800682899339374,0.07672577693385929,0.06586741149442477,0.0556664860594861,0.04622065345812332,0.03750206722948812,0.029396191130706573,0.021767674447165986,0.014513594031405619,0.007601762603185236,0.0010732889429263537,-0.0049719148870663865,-0.01041326671629772,-0.015145749870255854,-0.019116708294018014,-0.022340719656245955,-0.024896365793017683,-0.026894812846860572,-0.02845005260243183,-0.02965331155968154,-0.030572649513711858,-0.031256387158514976,-0.03174798682376778,-0.03209047670896248,-0.03232719705053455,-0.032477683014729086,-0.0325176492096545,-0.032369869594595535,-0.03193424788061483,-0.0311351103874018,-0.029969907796729367,-0.02851394776910232,-0.026893339500500324,-0.025238268886202175,-0.02365873182793743,-0.022229441764854085,-0.020988788208858855,-0.01993136347066482,-0.019015933191544487,-0.018176273898404594,-0.017344489687463716,-0.01646989748701977,-0.015540440729083005,-0.01458239408069728,-0.013643901749510468,-0.01276319870381426,-0.01195408901443773,-0.011198031628036675,-0.010451933554380899,-0.009649726931591607,-0.008717430000254711,-0.007582584031383455,-0.006198576504889308,-0.004556838271977615,-0.0027194260300100748,-0.0008304523753266402,0.0008817645308256683,0.0021540014574397137,0.0027418689709092225",3
472,"-0.03936137162865494,-0.0403431580327116,-0.04165941430817072,-0.04269013145423317,-0.04299895271744525,-0.04246040589709238,-0.04116163186972005,-0.03924433126007759,-0.036826627488411756,-0.03401160400113257,-0.0309129848811866,-0.027647752948814164,-0.024313426276778682,-0.020981174246382517,-0.0177019837074453,-0.01452069492030128,-0.011435640856590934,-0.008357885187645742,-0.005081606098416402,-0.0013408196687533236,0.0031033202742368204,0.008369021206186433,0.014433962127949174,0.02114331886583276,0.028244453620270782,0.03538620515454932,0.04213143917722195,0.04797987305188306,0.052457057414675906,0.055210299920914,0.05610769907392085,0.055260502884588,0.052993684690819054,0.049733809604524226,0.045894064388977224,0.041771244723740414,0.03753944500614545,0.03329650720864863,0.029144061428616863,0.025201864510632832,0.02158870080228456,0.018366016799327034,0.015535155543998369,0.01305611130823997,0.010901315127725186,0.00906724054514263,0.007572839589824187,0.006418644850623656,0.005572566935265366,0.004956879339521603,0.004476529883895353,0.004038830826397333,0.0035834738535567845,0.00307172879753842,0.002474894542181416,0.0017514225321437205,0.0008730226440329392,-0.00014930225470471958,-0.0012353535756396417,-0.002268655485030191,-0.0031436114866770226,-0.003826682371164014,-0.004354460047310549,-0.004801814361432455,-0.005215986220337865,-0.005600966047996481,-0.00592868460203555,-0.006193775178797434,-0.006431316714021307,-0.00671501745349995,-0.0071026858307382534,-0.007598724813870028,-0.008126346885116598,-0.008568207264818273,-0.008817606097403341,-0.008843772337926326,-0.008697373110483964,-0.008496384330956508,-0.008365791168572667,-0.008394837968905222,-0.00858907797268016,-0.008881533537949737,-0.00916252067249923,-0.009345649131722034,-0.009392756125210455,-0.0093270607717022,-0.009202624998213171,-0.00909253105545943,-0.009055007043524022,-0.009124038113804578,-0.00928561769696773,-0.009496190525900339,-0.009713040957477881,-0.009861491145389367,-0.009817378399813781,-0.009311299311563048,-0.008038376543834713,-0.005873361956136303,-0.003218000942544208,-0.0009906982962260003",0
35,"0.05021866451515797,0.04663807593711261,0.04343271141341973,0.04184409164876138,0.041252881534303565,0.04100561824650696,0.04031279846441013,0.038711238525561575,0.03648577862321414,0.03414959686394789,0.03212022614702585,0.030827703588283906,0.030460100071587143,0.03088430379501353,0.031664411382185675,0.032230082953479997,0.03251492782999843,0.032903508744419524,0.03343156511033103,0.033502820450621085,0.03272354724134294,0.03149451088188919,0.030309552920404215,0.029281291983117783,0.028393458773139063,0.027651641444403657,0.027010475342262807,0.026106694577908762,0.024507206084193572,0.021820997733305245,0.017349265504641553,0.009916620806656729,-0.0021563892493552117,-0.02060738815021737,-0.04585345980629879,-0.07539122315829405,-0.10399588677520569,-0.12652323696114903,-0.14090433370659472,-0.14811936839902928,-0.1503854177108556,-0.14977955740618368,-0.1473668081938621,-0.14328847965144537,-0.13733982669678155,-0.1300683210772733,-0.12322330578289994,-0.11808526864492308,-0.11448822549200316,-0.11139412709840707,-0.10718422270970407,-0.10009401850369606,-0.08849047268887017,-0.07087146310547057,-0.046563603213636506,-0.01648476177845601,0.01690231600354164,0.04938679317248791,0.07542961267905493,0.09133416003661256,0.09760573765630487,0.0972224925640693,0.09306182179954545,0.08704768428583881,0.08044241454703721,0.0741326971482776,0.06811742827090822,0.061878777511426356,0.055444482802902206,0.04914200707367668,0.04313891709450798,0.03770774869347873,0.032984805047695326,0.028850038599077865,0.02563256785639323,0.02366148027830149,0.022517469750274167,0.021533757241038523,0.020377600648364205,0.019165296880844215,0.017920705726351432,0.016369240789127687,0.01447661470470557,0.012685380328719187,0.011345710191747307,0.010286342902456183,0.0092558596257271,0.00787036676884209,0.005802858050822479,0.0035429396905166943,0.0017379691731862906,0.0005971922144262509,6.948086312788537e-05,-0.0003512291488449726,-0.0011298280299104763,-0.0018971503564166742,-0.002178800764889799,-0.0020044380287479457,-0.0008582139294804197,0.001243688408861715",2
274,"-0.012450415076024346,-0.012084631158176429,-0.01140760944814076,-0.010488724378807074,-0.00941918207817849,-0.008290685353296273,-0.007182371491727402,-0.006156998416494364,-0.005256614297420581,-0.0044974802443193684,-0.003874226220347249,-0.0033715836444973835,-0.002971070303125184,-0.002649518376450666,-0.0023824793538945455,-0.0021514074634832736,-0.0019446201170294497,-0.0017503944458896747,-0.001557017014877038,-0.0013583529238225533,-0.0011536469367461055,-0.0009407417238634086,-0.0007188742592946495,-0.0004913378655508893,-0.00026046229636056406,-2.5673864230968402e-05,0.00021470778141532976,0.0004639133730854894,0.0007301369822990678,0.0010246127365762525,0.0013577591503079467,0.0017376405674575934,0.002170715909827259,0.0026608191000684622,0.003205697715119471,0.003797712918396451,0.0044274964330997535,0.005084005755241816,0.005753280474210337,0.0064190339770703875,0.0070660438158697825,0.007679899346346886,0.008245183719000099,0.008745951848443595,0.009169060772773657,0.009505125422048233,0.009745423992952473,0.009883536541560128,0.009917410701513446,0.009849137935503072,0.00968183374626852,0.009419858539477022,0.009070836426111062,0.008646053027391798,0.008157451834814228,0.0076183695658467165,0.007045677068749645,0.006458665151013732,0.005875426678388029,0.005311306415766465,0.004779967262132256,0.0042917561866937515,0.003849738007567549,0.003450319906918159,0.003086115521768046,0.002746832936703303,0.0024182381396238573,0.002084325032441353,0.0017318753149210553,0.0013515582811245708,0.000936065536499997,0.00048126252201299846,-1.1576103103427826e-05,-0.000535867891104852,-0.0010831106011953973,-0.0016426958462518737,-0.0022001592172881113,-0.002738525983254775,-0.003241175553884895,-0.0036937254838050326,-0.004083295628981076,-0.004400402417849586,-0.004642998489324618,-0.004817132721338463,-0.004933983324575203,-0.00500870484232388,-0.005060639078266288,-0.005109216122680255,-0.005169919048280486,-0.005251347306403337,-0.005356736477588692,-0.005483908720315456,-0.0056248580918467905,-0.005767675289395036,-0.00590112638621762,-0.0060170820740302056,-0.006109800142808514,-0.006175770580060164,-0.006216003303433526,-0.006234284594759831",1
241,"-0.10613659553082956,-0.1076314479170708,-0.10972836465296044,-0.11201509222242739,-0.11414844816255043,-0.1159015717589154,-0.1170913950323666,-0.11749907632537966,-0.11685631379175357,-0.11488917751131611,-0.11137223458118448,-0.10616074242164636,-0.0992076405433788,-0.09058440714352076,-0.08050375509810692,-0.06934591114487665,-0.05760918724552516,-0.045792423523658254,-0.03418747991062848,-0.02268397022551688,-0.010622928032430146,0.0031960073217949803,0.020335449675744105,0.04228291255535732,0.06980546087623843,0.10222719552437548,0.13700961832880057,0.1699657203298053,0.19626649671285418,0.21189004709355777,0.214925120847436,0.2060897737011859,0.18829726975856267,0.16551173741483718,0.14150264851836536,0.11897756109124327,0.09934611094101123,0.082954504592882,0.06953646872136213,0.05859275448855927,0.04963139412185427,0.04224911866878134,0.036146330580843156,0.031082082041526293,0.026847251829597463,0.023242388604547748,0.020104877902717422,0.01732145917530936,0.014842092459378398,0.012652452351238547,0.010756650537924739,0.009146369830677042,0.007797616899267501,0.006652616070159989,0.005626715214304662,0.004604455084086884,0.003472468011674751,0.002145964295987568,0.0006123379623684533,-0.0010677763703080267,-0.0027607575217829805,-0.004287747813563086,-0.005436217132208904,-0.006009935915049641,-0.0058810569081458874,-0.0050605637019012495,-0.003701552611675818,-0.002054637556868383,-0.00036184103457020944,0.0012137116694019845,0.0026203396268494328,0.003866054979950906,0.004955460060828476,0.005817487969201229,0.006298802309868762,0.006190363448967229,0.005308608174785984,0.003549947629038208,0.0009265022624838637,-0.00246288103766798,-0.006461371355334783,-0.010888969606016624,-0.015531208582154787,-0.02014312603347765,-0.02445925398413973,-0.028261433210105186,-0.031431383553360864,-0.03398922499670673,-0.0360575653783006,-0.03781767128190222,-0.03945780754526598,-0.041169647717408,-0.04312538046498801,-0.04549377687286238,-0.04840013640815077,-0.051945154324329,-0.05612236175758267,-0.060725358900034054,-0.06518974413049572,-0.06867107178518997",3
30,"0.037974177117519825,0.03895199368043453,0.03958213518409677,0.03915942747402326,0.038254290907608623,0.037544699013916744,0.03729265125895588,0.03711248756026389,0.03641002302812586,0.03519929244929318,0.0337707804240492,0.03231996730855888,0.030957286714647314,0.029541186898235483,0.028033247828043867,0.02649501553669724,0.0250923941101336,0.023917073895620367,0.022437321929556636,0.020448245547662086,0.018388439335469894,0.01634888666385048,0.014133383647507158,0.01181146233846006,0.009238655116875744,0.005427486026002959,-0.0003544792420714926,-0.007897968017940307,-0.016980718008342957,-0.027708713530583545,-0.04010566380596178,-0.05386359716242442,-0.06842124635768299,-0.08308046556540133,-0.09682959767193838,-0.10822348585389541,-0.11592945434046417,-0.11947172433627715,-0.11898354906655959,-0.11523513262928678,-0.11055315168579821,-0.10724877100380323,-0.10498630042696205,-0.1014384509685319,-0.09485452035149369,-0.08475306572809777,-0.07052001612736489,-0.05097500204394387,-0.02544842029084178,0.0042955313402981005,0.03285582757057745,0.054133313964328675,0.06567307233152342,0.06911992766913339,0.0677150318642522,0.06420484971933976,0.05993178966291904,0.055179094180351364,0.050425636016319324,0.046318644146656145,0.042904397451084715,0.03995431383312664,0.03725274732830472,0.034411375267393414,0.03118592913407693,0.02776735479240665,0.024608305349390562,0.022033293009652233,0.020128365880196043,0.018762121352978986,0.01751249718104296,0.01614748442593812,0.014792076002085569,0.013527094900307443,0.012444021883455073,0.011468994051348547,0.010446512105498587,0.009564638849062002,0.008911361940687215,0.008220894420062158,0.007246694661605088,0.006110514383699556,0.005066940378247564,0.0042823002997152,0.0037319187772985596,0.0031636128415468145,0.002453614362734821,0.0015820143909189288,0.0007046782757462317,0.00022171658110761716,4.78366647449352e-05,-0.00033790963764576687,-0.0010678206149527109,-0.0017907528436615916,-0.002090516243587942,-0.0021768723515177973,-0.002511314018079719,-0.003406526563665302,-0.005766556491079905,-0.009338587256954245",2
70,"0.03257133588455148,0.031153165599679747,0.03015299099263502,0.029912876012975376,0.02981051208044609,0.02938091675731358,0.028982514263818884,0.028961253982107762,0.02911942872511697,0.029299511036731465,0.02927987594398833,0.028817831744859065,0.02821232569588074,0.027702679206483075,0.027148915411201083,0.02646928041201034,0.025512827429403792,0.024252370784474148,0.023090721909013526,0.022240873702431677,0.021371569879873695,0.020174246850384714,0.01884256076915207,0.017632421813392182,0.016536328169666367,0.015496618070597684,0.014348401577128647,0.01290728269449859,0.011403615514743212,0.010436051014704115,0.010018341432156144,0.00934005852560614,0.007822442378299085,0.005675007791985778,0.0031676394639596067,-6.2878170916241816e-06,-0.004439398302002143,-0.010890404527169564,-0.020446734974667494,-0.03364939991553799,-0.04928811382094593,-0.06488682240778565,-0.07871168947345379,-0.09060159120264902,-0.10073201634950496,-0.10890067709698945,-0.1149425022229002,-0.1189081824867725,-0.1212628613792346,-0.12250645961961709,-0.12220178979159108,-0.11976060561561212,-0.11545311968904054,-0.10976464895500711,-0.10367935025749521,-0.09960854866997321,-0.09985026700604117,-0.10301827689048107,-0.10211137260880149,-0.08855016388780307,-0.059913906999979255,-0.022732771442359356,0.01325890521488017,0.043224953405042024,0.06838397321390184,0.09041496166052727,0.10768887299947459,0.11701890395217973,0.11782641042333908,0.11322559124007776,0.10718036232635193,0.1016073449050769,0.09581766957450823,0.08863181325597601,0.08042730708303776,0.07255262778824322,0.06502487768874661,0.056357719649658314,0.04623574897037723,0.036332397483161735,0.02845126237431901,0.022941850934051947,0.01855216287871371,0.014089771200022957,0.009807581308719795,0.0063372206887941235,0.0035930806776780927,0.0011193345346312417,-0.001408904251775353,-0.003810731929887498,-0.005514318704934615,-0.006379620995075316,-0.00678837639928602,-0.007124981770341307,-0.007807526601611034,-0.008840806800100173,-0.009643409941487949,-0.010430362982355654,-0.012631436759693235,-0.016149058405678277",2
