id,heartbeat_signals,label
247,"-2.3905392533384244,-2.444776548729166,-2.4991171304252973,-2.5601166926810137,-2.615160814497763,-2.631195223929538,-2.584896300189939,-2.4967898923866727,-2.42203881002105,-2.401873789211791,-2.4324913769382235,-2.483912939549114,-2.5423864839112156,-2.629067597128852,-2.767869338625765,-2.9290204299029625,-3.0236097025618562,-2.9698469128562834,-2.751644985963182,-2.416374826536945,-2.045241415905359,-1.7221276537427244,-1.4966354493452414,-1.3588088713544266,-1.2571102213901284,-1.1528945303948461,-1.0520056314852724,-0.9780927870914127,-0.9340174502265981,-0.9012668895265961,-0.8584329929102736,-0.7879086185571396,-0.6770178756393506,-0.525576957957,-0.35436849691371464,-0.20257041605668036,-0.10890136430758446,-0.08758969656980753,-0.12182379823998701,-0.17610503077087003,-0.19354769887019074,-0.0716625729320981,0.3208010441842504,1.050245699933221,2.035343009463915,3.0884908549294963,4.037311247548459,4.787339738240313,5.317751101221077,5.67655014381247,5.952793272314551,6.208471629543119,6.4354990849427764,6.583669909782515,6.629436257384043,6.608651834946386,6.5723893551928185,6.528710710016767,6.445506348259215,6.293315979550968,6.075962289412587,5.8381009865248785,5.642941586404888,5.519204364530054,5.42774981422334,5.292991967293595,5.059644639955813,4.7189336036073755,4.308269767403495,3.888840697756457,3.495258825419512,3.103673925742676,2.6607127085788846,2.1389860438753416,1.5657565965668567,1.009973302647282,0.5381403470134671,0.17546954240003743,-0.08931038357590637,-0.27595539526083,-0.40804431832444266,-0.5253523996454561,-0.6831670772405758,-0.9388418904192974,-1.345091101355571,-1.9364389747128428,-2.680731178763395,-3.4560854343919516,-4.129877346078139,-4.660887418429532,-5.106307069715015,-5.546483635973132,-6.0047903413979355,-6.4305569268247424,-6.766561180600178,-7.017530655178589,-7.230310244826185,-7.428475332485775,-7.596968877130799,-7.718685578726891",0
79,"1.1592793450066734,1.1090024502515041,1.0421597560714855,0.9645541585132098,0.8780683821802743,0.7857118205062213,0.6931364524350827,0.6033346207249288,0.5141484751895022,0.42212110790187074,0.3267577999485889,0.2321930813220059,0.1462581500504957,0.07611954205320026,0.023481516109271516,-0.015865586131791898,-0.04789625595938263,-0.07566685081382729,-0.09887137042030603,-0.11931316306529827,-0.1461413085648956,-0.19115433871505283,-0.2562297487899424,-0.32920558206537365,-0.39447416028702453,-0.4428036631149965,-0.4685243498371505,-0.46378033364961513,-0.4210461042777066,-0.3412949361576203,-0.24026353290162183,-0.1463177183065255,-0.0871012509097685,-0.07378267174259112,-0.09677236826777968,-0.13534695181443712,-0.17120784121266952,-0.19691119279082248,-0.21734421800132508,-0.24531997980720965,-0.29148167667762337,-0.35444189720259756,-0.42242945506232343,-0.485284447264862,-0.5411872119582178,-0.5923373762403081,-0.6387252394049747,-0.6767302766883492,-0.7014434258331095,-0.7100183780992106,-0.7033533943304121,-0.6846348585697253,-0.656912778012966,-0.6233123262718083,-0.5882510845240568,-0.5545561871843655,-0.5183459346724716,-0.47135215546520726,-0.41180713634482324,-0.3499648224187709,-0.2993080980245214,-0.26456358845306577,-0.24022902317584782,-0.21754913636536916,-0.19058449947407677,-0.15798953274340177,-0.12143182096997446,-0.08274889547069808,-0.04246052994915317,0.00010278911294392401,0.04664101130382836,0.09871882896978801,0.15481467436036034,0.2089980869399879,0.25435476993111816,0.28814521610704436,0.31284230965777926,0.33241128308415435,0.3495757031803892,0.3665955522008446,0.385780299279735,0.4080438420643564,0.43239547454888183,0.4570032994898545,0.4800510013861521,0.4996837386231927,0.5137804327822992,0.5200651045146123,0.5162495830310994,0.4998909106785203,0.4690967108791244,0.42435721438207397,0.36906678566303275,0.306888323955542,0.23926970296038808,0.16669052188052302,0.09101384633087206,0.01544474303799026,-0.05525730312871313,-0.11297045101941605",1
35,"3.1320841239651003,2.9727545432499305,2.66183374906225,2.250025750328035,1.78343736577847,1.292871397668108,0.7974182312704166,0.3148628570006622,-0.13114498640403838,-0.5130182763610556,-0.8081457219013366,-1.0082224554195314,-1.1223822428463421,-1.1722012112209406,-1.1826123393822243,-1.1743123791324201,-1.160587500308555,-1.1484366440746747,-1.141476700906221,-1.1422140329821495,-1.1524651968855295,-1.172312529195473,-1.199103522174962,-1.227395774306455,-1.2494888979909113,-1.2557617442628022,-1.2351094933129723,-1.1760007689765573,-1.0685256890833834,-0.9067319959092295,-0.6907415393604701,-0.4282555858886745,-0.1351132379774178,0.16602844747866996,0.44988731618703426,0.6950041500130801,0.8897477554771829,1.0346479972669211,1.1394569477832466,1.217169314629583,1.2788482730598858,1.331818365930884,1.3802453795647267,1.4252210506888083,1.4631902942863917,1.4844764402413428,1.4746750131589188,1.419315495539088,1.3097088471491212,1.1467529863013404,0.9404916643320753,0.7055192333249245,0.45512110774658154,0.19783024446643438,-0.06164822507914991,-0.3187273284854193,-0.5657680028284169,-0.7915978681531648,-0.9832081340324024,-1.128304388512941,-1.2181930555012954,-1.2509033562459315,-1.233287068261788,-1.1801700995159656,-1.1102149090567863,-1.041022799563887,-0.9861008139505181,-0.9537995277321905,-0.9462641859496337,-0.9581158792824773,-0.9770642558238798,-0.9879841294552385,-0.9786239429141439,-0.9430368911504381,-0.8811290850302314,-0.7960458108652908,-0.6924280379341745,-0.5768507700893899,-0.45925030899583064,-0.3530562933026786,-0.27185822494545775,-0.22386905054670692,-0.20798646298980472,-0.21464808728297058,-0.23070986362932544,-0.2442057603690877,-0.24591257815195178,-0.22750055033603545,-0.1787585656650741,-0.08716918193513834,0.05863021824904635,0.26291269047795396,0.5189493509931538,0.8103991222673486,1.117014613807033,1.419999553710678,1.7036480454953171,1.9538025662888145,2.155924040597167,2.295449414992529",1
48,"0.7591384111247912,0.8173086296261198,0.845750140099419,0.8584581885906051,0.8672500630197764,0.8745055572436495,0.8696382242338121,0.8333441339674863,0.7509746359474576,0.628594743821254,0.4990933021776902,0.4090942052164577,0.39224615861138545,0.44733173123372794,0.5374140184971696,0.6104883040095244,0.626522549837436,0.5746230027471073,0.4730292926668733,0.3565142125797296,0.2612488357716378,0.21386398193991818,0.22448791641872212,0.28195352596733203,0.3528645826643504,0.3910722376090052,0.35798927617692833,0.24317534675431984,0.07021576562616083,-0.11694522780358296,-0.27764975996058716,-0.39267569948913206,-0.46718464378122704,-0.520274348497189,-0.5710589622727134,-0.6301418153818985,-0.6985377125312926,-0.7711553572847496,-0.8417129408789235,-0.9079073901425625,-0.9753351916294211,-1.0569967101826792,-1.1673285839600527,-1.314272681940154,-1.4941024038806017,-1.6907366681689089,-1.877878157650696,-2.0228384785770954,-2.0926384578497315,-2.0629290283977735,-1.927134744784202,-1.7016695234441022,-1.4232775737587167,-1.13829930979992,-0.8870108458320098,-0.6902744155513316,-0.545126333921309,-0.4316110182412105,-0.32557710541036133,-0.20909140782477476,-0.07328484164856963,0.08471091997955238,0.26531505899339347,0.4661610461615151,0.6786292148989022,0.8854184296474026,1.062881280499159,1.1883275387296468,1.248371224206207,1.2440185255671166,1.18902325774578,1.1023476867486055,0.9982772427387969,0.8802180932722008,0.7417798346758184,0.5737197250452706,0.3714488429565632,0.13842472697227937,-0.11500786040134958,-0.3744300085242722,-0.6229987392519405,-0.8408617388069741,-1.0036232087481265,-1.0836016481001804,-1.057202754003387,-0.9174198165228438,-0.6837980644504773,-0.4001306440014476,-0.11761967661837858,0.1269324392911635,0.32351052520385704,0.4849437013351352,0.6319907019584745,0.7791672608793734,0.9294365492368177,1.077891551552824,1.2186647166586804,1.3491275841481967,1.4696002901884881,1.580822556443091",1
299,"0.36755106357995615,0.7701009723751078,1.0997699341057938,1.4068153206198808,1.6750436428807731,1.8813848601454701,2.0428707573773224,2.1864667857012066,2.3171662900581254,2.4203991230000526,2.4556209258427906,2.358798234815275,2.097192967178149,1.7204641334629898,1.3364382903238123,1.0476519187305904,0.9215820963849879,0.9946910906894502,1.2684079048213093,1.6966337932836062,2.188789232077987,2.619995782114092,2.860957670012839,2.871732870939139,2.784134245354121,2.8284264115241964,3.1481424066742143,3.690091881259505,4.259434899248502,4.680040540209005,4.911378229153884,5.030220020723016,5.139678928287131,5.304545231307857,5.540762522748674,5.834256505889018,6.156378426566958,6.473650113674305,6.765426170187338,7.0387000115453215,7.318658909400581,7.625089691864799,7.96272699872212,8.325246908072073,8.698594734011122,9.069068154097694,9.436273996954403,9.813639795500698,10.215555539131733,10.63970839424127,11.033383826005299,11.231347165434395,10.873247028518424,9.364986078050078,6.091889277478392,0.9946930093196804,-5.036451877205213,-10.679028307890903,-15.148607149227818,-18.435352140412675,-20.79483851522066,-22.422865310514695,-23.52316415015997,-24.353345822001252,-25.135429527561193,-25.93773512145836,-26.62356355061837,-26.981969012417153,-26.9666029791816,-26.748777515613263,-26.48309693131371,-26.111884204898402,-25.514587781476152,-24.750847631126014,-24.010477596555084,-23.421950725648855,-22.998659987294324,-22.646308994791035,-22.18290939753944,-21.42692733280215,-20.239864094333925,-18.452670611878055,-15.822813778159784,-12.142640047684395,-7.440278979157917,-2.063419292374327,3.48294964449304,8.757731183030723,13.452875173151671,17.40283946523863,20.629139039280595,23.324204799800466,25.738286017634213,28.048425661660232,30.296673954489208,32.45503667304588,34.5425770635515,36.61918062827105,38.62027975103872,40.24096760015476",0
514,"-0.13792980458099402,-0.13728439944403958,-0.137763180718959,-0.1385452458662786,-0.13948059585557027,-0.13897385891563374,-0.13344276046619075,-0.11960230989711151,-0.09699515441242135,-0.06845922488228784,-0.03858060158291465,-0.011192946454118613,0.012583915507339394,0.034374436839154865,0.05701536434198318,0.08246596767573389,0.11006704621541319,0.13631475336998122,0.15713810401418382,0.1710516674906143,0.17944230832502328,0.18404975392853606,0.1861511507325342,0.18790665150235542,0.19191217955101203,0.19840903150956757,0.20417456264537248,0.20481362742594678,0.1977005132729105,0.1833898910179229,0.16560837606773404,0.14917779184656255,0.13649878955148642,0.12612579003878732,0.11493773117960149,0.10093818464556392,0.08377765009557192,0.06354478678820408,0.040750581923865936,0.017502139768182712,-0.0036675085958456366,-0.022742081751464083,-0.04199707092794758,-0.06274954176586212,-0.08415674685973795,-0.10480281144327264,-0.12317652217157371,-0.13692009448285392,-0.144013941970623,-0.14500791128592394,-0.14290389936717607,-0.1405027548128408,-0.13798881913972072,-0.13354189037881103,-0.126167810922714,-0.11682912273446866,-0.10674875187901178,-0.09622823426060312,-0.08580659164427096,-0.07697365395889011,-0.07054611987713533,-0.06577116589825605,-0.06183892600627905,-0.058747085408600075,-0.056324467973326575,-0.05426110965190811,-0.05338422880267868,-0.05542225692177749,-0.061104059500161734,-0.06914585396557826,-0.07714652129912536,-0.08312805786432476,-0.08613943330497387,-0.08611544427373796,-0.08379360881975662,-0.08050591368930715,-0.07810991224566899,-0.07893653307271475,-0.08402556498676961,-0.09112595523371336,-0.09624381262859472,-0.0973951427702624,-0.09555827055790811,-0.09222434042436478,-0.08778159542197783,-0.08248876324667642,-0.07710051257029304,-0.07163969791618707,-0.06431686643712609,-0.05230818741548382,-0.033269948711453834,-0.0056419006561094776,0.0318654446643154,0.07981100339514646,0.1372487158976614,0.20227820538084285,0.2728838418949585,0.3457446855152173,0.4132001341068352,0.46186232285615614",0
433,"1.3107216548919445,1.1827160469527735,0.9656282226987385,0.7207151778263925,0.4841263051432234,0.26734074643309436,0.07414794589946427,-0.09055065788245442,-0.22383500289144775,-0.3294145584329171,-0.414756549094752,-0.4830434488099127,-0.5306497319924506,-0.5537903387265393,-0.5555759359488961,-0.5445900364075535,-0.5276963453070278,-0.5072860620118411,-0.48484374863688506,-0.46297117896391304,-0.4432518376095931,-0.42451303300720755,-0.4043937500992665,-0.3823689698035613,-0.3600049424448317,-0.33825828134372693,-0.31655372865623277,-0.29447302356624006,-0.2726836973297886,-0.2529309844375587,-0.23812926652445165,-0.2311653277676231,-0.23279867031200063,-0.24105281180920857,-0.25257092949752535,-0.2641319437100649,-0.27275536774239884,-0.2750550001932299,-0.26762700541901085,-0.2485624195905518,-0.21819378675307766,-0.17791362904783514,-0.12883902230851452,-0.07224912563744224,-0.01090644881824887,0.05143251247992042,0.11299271044526593,0.1765436403799574,0.2481969740355685,0.3325057053847611,0.4280424060454684,0.5281692311816626,0.625722222953049,0.7158602357030868,0.7951296392712304,0.860012563245509,0.9075899631338588,0.937274968522286,0.9511049441423606,0.9516761051506065,0.9388278596780649,0.9079439301913058,0.8522832921266233,0.7669180978972752,0.6496702260679785,0.5009724906257718,0.32793773999714504,0.14942717415610152,-0.007439805165553759,-0.12072950031268981,-0.18593699019028698,-0.21614266753616063,-0.23150132961139347,-0.24761906228140695,-0.2701149107340157,-0.2963022293048523,-0.32005727593756417,-0.33546245649543405,-0.33840519738258834,-0.328247993135383,-0.30910531511066086,-0.28745463112323044,-0.26763233127181163,-0.2503308660122441,-0.234271588180607,-0.21806964300129383,-0.20138548534687528,-0.18523039526811225,-0.1715877569038815,-0.1626700803076715,-0.1595503523626287,-0.1610328037128994,-0.1639046974693703,-0.1638887811530032,-0.15679274617942784,-0.14003605945349928,-0.11383622951932892,-0.08119517795933007,-0.047128753773372445,-0.01818102192863691",2
63,"-0.8612694418712004,-0.8423473219177144,-0.8139087835114871,-0.7764969086408671,-0.7286290162428908,-0.6706054640837915,-0.6029650190623557,-0.523509461563116,-0.4293122521740288,-0.3204922648816781,-0.2013319708662969,-0.07827178080565511,0.043151664046565064,0.15801427653372763,0.25934075473534396,0.34006489826342445,0.3985294196851443,0.4391076041930688,0.4678573118948526,0.48852980920458355,0.49971513188891437,0.49357164192813663,0.4591936445507683,0.3906563880230496,0.29355773136294055,0.18250574628051558,0.07220961219857841,-0.026277566185062773,-0.10181061438010058,-0.1410167574269559,-0.13360431733379158,-0.08174280997951944,-0.00342356791686782,0.07662725939139947,0.14100107784870902,0.18621253857756265,0.21902301300306243,0.24798291993978377,0.27747182720895364,0.3078737179659971,0.33864562323675035,0.36962769308903004,0.40081414048154335,0.43194074417497036,0.4621999618544331,0.49073338399114985,0.5169085210919011,0.5385496346805687,0.5503891769707014,0.5459095938846459,0.5212034344470997,0.4763181885731674,0.41274347507307224,0.33104539315770937,0.23183927499124496,0.1183582707660441,-0.0023893527340042575,-0.12124143015772665,-0.22969336068462232,-0.32185991894344634,-0.3955940242846477,-0.45222190108347804,-0.4931965590325986,-0.5157197203688527,-0.5126568314348972,-0.47868239697291437,-0.417327578915644,-0.34186369774324177,-0.26871020942959856,-0.20829756458475318,-0.1599060620000548,-0.11515599250162756,-0.0674977053981628,-0.017447902499737572,0.0315851469626271,0.0787879112009589,0.12484977463900096,0.16773263506503477,0.20150015642980307,0.21904090064755144,0.21701597203904693,0.199520671691235,0.17633574018983222,0.1565188661946504,0.14370211593612295,0.13671741739366075,0.1306556398322277,0.11484060035219343,0.07514822947676508,0.004290540194420878,-0.09079075616474774,-0.19339473882860325,-0.2870920455551027,-0.36086584866394844,-0.40789329971522914,-0.4220626838148708,-0.39669388656772253,-0.3312071140968631,-0.24305363431900395,-0.16813528209374007",1
437,"0.22580619341327646,0.10067448870482276,-0.08497644887810796,-0.26287612995368725,-0.41924344447689366,-0.5736428670484083,-0.7383194411836382,-0.8808056946914881,-0.9321710790997756,-0.8450483051852548,-0.6425202880116129,-0.3927340691056238,-0.14246711422154368,0.09048996772749429,0.2783859290847288,0.3920106529981857,0.4413970127261506,0.4661735773008291,0.4861801400451924,0.49162770091537866,0.480106480471612,0.4698222882226426,0.46463530337575387,0.4430276624473589,0.40223129413923076,0.3667527082003379,0.3465795747941087,0.33186381842142965,0.3192216729401365,0.3170719059682918,0.3286831928317706,0.34411624586212985,0.3546254736997798,0.3651033050570027,0.38229898219076563,0.3966057327246133,0.39073388175577384,0.359544924849452,0.30594627863023227,0.22718573537867315,0.12435701218314643,0.011577043624321326,-0.10116099428513703,-0.21604081965356803,-0.32568183848749566,-0.40667893379350384,-0.44100198855867123,-0.42545451214806385,-0.3694298477926924,-0.2938000114475182,-0.22198099260977633,-0.16681138306831722,-0.12790974496776564,-0.10004339180566302,-0.079934720766495,-0.06889922588231034,-0.07250082606729802,-0.09166536003588888,-0.11750490672383862,-0.13281163227985993,-0.11697315377200879,-0.05956988608767466,0.03767255773156053,0.168594572129818,0.3206015162118515,0.4746105898694536,0.6107762096714221,0.7055341299837036,0.7199516022471907,0.6126081710887231,0.38473245615147633,0.09264806021337291,-0.1935613715594916,-0.4225234815096698,-0.5702309340050616,-0.6466334976125245,-0.6854706737074965,-0.7166385950899596,-0.7488883465356531,-0.7749298329412917,-0.7854846910954447,-0.7764343304322026,-0.7481477645540249,-0.7019517942095739,-0.6355169051291591,-0.5440894100033122,-0.42422523926881484,-0.275944107367026,-0.10596387441427135,0.07361876804920742,0.24262840747614833,0.36511935118411254,0.4147430895247356,0.41433857720412204,0.4158809139195493,0.44993384805285574,0.516478216363993,0.6047686674994058,0.7000068205454374,0.7772111957229894",2
366,"-22.12671510414856,-19.893168253740978,-16.37043210734467,-12.417581077088812,-8.776954107468017,-6.031262078941825,-4.210923419817075,-2.998600019222523,-2.183042034977743,-1.630811169086293,-1.2263995104958045,-0.9132327574815609,-0.6521438255350098,-0.404440986693273,-0.15522575368596758,0.11082376587898679,0.42628062911632014,0.7988386430286596,1.2013262589396287,1.5975793609234321,1.9293144823739814,2.157492345794438,2.3175554649299297,2.443538597986718,2.530533146279163,2.6047719924164463,2.713538204319094,2.8838295131609044,3.1597058161461486,3.5677360763612285,4.023095660661024,4.378916429081657,4.5502465448646365,4.556842226208813,4.4258985806482425,4.123789036832493,6.4392685584743665,6.119529683636424,5.911259113743052,5.688250647286351,5.405732255024168,5.117358521296613,4.854602360279025,4.594033554631087,4.331490167742746,4.110338701354657,3.9547339642087804,3.8474125121296643,3.7665154510264918,3.687221137694076,3.546577389844199,3.196671268532528,2.4656122524746538,1.4510732211388442,0.5887610317283718,0.13158089118411542,-0.06579221824856507,-0.12214521818626611,0.02739416367843628,3.0275586367696503,3.2675888389721033,3.3249295406282195,3.2813319925079343,3.2415825223257846,3.2401899412866344,3.2579298698181463,3.2659545140133064,3.2556900729283553,3.2424367875309548,3.2402632805936067,3.2427813504234395,3.2441606225024335,3.2528895961634055,3.2695785394221373,3.2913209787159543,3.32244105880143,3.3564181710899375,3.37690073850822,3.3678877260353532,3.316757755285056,3.216124344561204,3.0440603844154426,2.736904254340165,2.1836181704230677,1.244114854880098,-0.1862227832796437,-2.2301259113862857,-5.245993338876768,-9.191839062548745,-12.573681628520713,-14.07719929439346,-14.338353327685155,-14.108579479250768,-13.064306147127343,-10.834961615501843,-7.8615182132707675,-5.168053378550126,-3.3915887940253215,-2.4319114122155687,-1.9652801372069417",0
