id,heartbeat_signals,label
771,"0.14437077980391771,0.14582606174511778,0.147617691822233,0.14764393275040189,0.14598917428205646,0.1436564349038162,0.14139956287803074,0.13947663748436226,0.13757566440652674,0.1347085357045366,0.1294040287995731,0.12043867757337554,0.10763184875148302,0.09194798957379036,0.07475667222219787,0.05691114138065624,0.03843591266272687,0.018864669252459346,-0.002177991321413629,-0.024317929048941492,-0.04617028735523429,-0.06604762379915044,-0.08295433214059786,-0.09670786565099648,-0.10741709068292091,-0.1153481685020602,-0.1212154528851497,-0.1260483609735607,-0.1304888996021113,-0.134385623977888,-0.1371971704514553,-0.13865995893445654,-0.1389666758760254,-0.13844258282964872,-0.1372907057145215,-0.1356679645813722,-0.1337665753260178,-0.1317083629299854,-0.12953808678183518,-0.1274207409556752,-0.12564558873175102,-0.12431766752012932,-0.12324144377649307,-0.12219908319819689,-0.12108775634283026,-0.11972331957598353,-0.11776464456915522,-0.11482757743396685,-0.1104520456627987,-0.10400089449627231,-0.09477798770619417,-0.08234085398133723,-0.06680544281255718,-0.048891012151311655,-0.029580215559270297,-0.00973834273268414,0.009888084980775091,0.02836540015302507,0.044432040455418785,0.05696315053495957,0.06581771713745332,0.0721317769226871,0.07753925297040085,0.08299829094662889,0.08830456051046154,0.09252049441619664,0.09475692618408701,0.09477177131682546,0.09301358544734925,0.09006728950576998,0.08615567971998478,0.08127442833368864,0.07559148114549458,0.06950369439119525,0.06345567694443693,0.05787829410812201,0.05311886595865534,0.04919363988727629,0.0457271270611917,0.04231446158792443,0.038901313013403965,0.03579054898665715,0.03332196438624546,0.031518058222969214,0.030021477270866737,0.02834586542791856,0.026118179437685213,0.023180908968193442,0.01967624623267844,0.016003511607045023,0.012514311997723043,0.009249861234785162,0.006035727505758703,0.002710459520358449,-0.0008455605388145992,-0.00475458627967737,-0.009225446825872868,-0.014688374511222124,-0.021319116300423067,-0.027662129401626108",4
677,"0.130632390548573,0.1305803962687908,0.13114122140595247,0.13099627707588324,0.12963037019934465,0.12725667402903446,0.1243418251490816,0.1211156977427435,0.1171856507557214,0.11154727008278087,0.10312598269945195,0.09135277068532233,0.07622537862706202,0.05801346737291935,0.03717271463168237,0.014736057544212589,-0.00734877885969798,-0.026757891274091117,-0.04196687664121879,-0.05290763930541953,-0.060606244148967314,-0.0663309692496139,-0.07091996097173248,-0.07456953184159099,-0.07711454920148009,-0.07854346063932077,-0.07917233079243435,-0.07935534215494466,-0.07928536012343501,-0.07909247851551615,-0.07891442874720067,-0.07881056526039654,-0.07867900543447526,-0.07837642902405018,-0.07795760131723173,-0.0776439886339711,-0.07758118610061976,-0.07777780360499886,-0.07814064989793135,-0.0784522552476643,-0.07853056084448073,-0.07846098997549028,-0.0784384021941294,-0.07842699513371515,-0.07817909057613026,-0.07747260504297027,-0.07619988848681458,-0.07429571485404951,-0.07167212443593846,-0.06830884462796105,-0.06435085769616844,-0.05995598207603675,-0.05514707406832431,-0.05001516201034628,-0.04488204264009932,-0.03996403449494801,-0.035032374215006434,-0.02965206284332844,-0.023634161059268577,-0.01717696005256608,-0.01070568620223289,-0.004601776167380889,0.000991780945471088,0.006192380209662396,0.011253769698206684,0.016308118358546536,0.02112176092067336,0.025200906266252016,0.028282399516794926,0.03070100846870291,0.033205318409538276,0.0364812105331864,0.04091670275063333,0.04668961338912811,0.05372408745209109,0.061291833405560964,0.06793046553216667,0.0721937763279221,0.07343902425937246,0.07187630199170494,0.06825385950025517,0.06352374154407861,0.05841582554012384,0.05321997075002266,0.04803659787759024,0.04308380696793229,0.038615562751203786,0.034672679417762364,0.03108079441219419,0.027611021060348878,0.02406180324818838,0.020321498717229186,0.01644082459870469,0.01252873138918506,0.00852629778647615,0.004234919838350587,-0.0004795918419258638,-0.005702626263652005,-0.011363809516340584,-0.016527794346547803",4
37,"-0.06695422867452583,-0.06889970632676556,-0.07040351142895485,-0.07025856870272507,-0.06894985074277915,-0.067221759712493,-0.0658371611166284,-0.06485697604680174,-0.06345518061480182,-0.060783492374322345,-0.05728712201705355,-0.05457229046431411,-0.05350023572847207,-0.05331936965519657,-0.05296427661167835,-0.0517899126239908,-0.048609860404112526,-0.04183619593015464,-0.031363946562906864,-0.018961312173726208,-0.006707298124701944,0.004051057005145631,0.013214023941245046,0.02154049715431028,0.02950101649798864,0.03719871010452824,0.044360130962137645,0.05096023551942508,0.05768457468570842,0.06464353343170137,0.07124932447868038,0.07716636140867916,0.08222691872243704,0.0862081490841079,0.08889674251446511,0.09024195441743854,0.09070009761903586,0.09073493272348532,0.09028797228898877,0.08876266294476676,0.08571560341209372,0.08150350253930339,0.07661479723193632,0.07106819928780972,0.06505421733621974,0.059095185888597634,0.053266698118239586,0.047440611743247874,0.04187502679513011,0.03687920020864499,0.03226937105226002,0.027691944607702967,0.023164468130104976,0.01893930553893608,0.015144792661697104,0.011620068049103982,0.00850290075898974,0.006329748796665036,0.005170911916170362,0.004377151438122229,0.0029940221163478054,0.00042907802132885475,-0.0032137189729034565,-0.007451579367027006,-0.01187105516275666,-0.016447728208752732,-0.021380849686896686,-0.026464463493869772,-0.03094520339396223,-0.0342881503146909,-0.03649607873351968,-0.03738891582688686,-0.03679613598461973,-0.03510472437781875,-0.03272394869208872,-0.030195277416301347,-0.028098712673489956,-0.026338214815800343,-0.024924810724036628,-0.024200987332993473,-0.02388313629796135,-0.023634224300738582,-0.0234337391135363,-0.02334746349180672,-0.023376895389765395,-0.023491070621767363,-0.023615844698575028,-0.023365355015005695,-0.022517301210029372,-0.021259965527458125,-0.01959209988403854,-0.017549902079475932,-0.015529522304317811,-0.013820352053131146,-0.012389753273671311,-0.010923596450821749,-0.009409746517751283,-0.008294787423085315,-0.007136504433909008,-0.005341629850588059",0
510,"0.00046711391672776825,-0.0006272775925123264,-0.0015257225763967985,-0.002438179993924927,-0.0034838155869103826,-0.0046567565782834885,-0.005878757212804814,-0.007064658234332694,-0.00816014544673499,-0.009155015045206993,-0.01008444607506137,-0.01101844204615185,-0.012031721928865535,-0.013167451576943073,-0.014421628930954694,-0.01574732712187324,-0.017089551273427567,-0.01840993432949556,-0.01970673918262314,-0.021009325255468864,-0.02237213046043987,-0.02385235587427284,-0.02549313824306748,-0.02729829546875384,-0.029224980057982936,-0.03118679912349201,-0.03308710133759954,-0.034852853259558086,-0.036458266798343325,-0.037907927303535954,-0.03920842245312142,-0.040343391754520924,-0.041290311520770645,-0.042052470360323474,-0.04268438646659503,-0.043261367102143705,-0.04381249907905796,-0.04425140821403237,-0.04437728376204206,-0.043934477991414506,-0.04269981383892535,-0.040530868862398706,-0.037379272103538044,-0.033270609862831035,-0.02828645869056494,-0.02253839812899451,-0.016153217737200215,-0.009249113337931741,-0.0019113591290733783,0.005852532050418913,0.01414559638721391,0.023197878280432058,0.03331623441738597,0.044769192527022564,0.05761493050732301,0.07157268878278898,0.08600731695408853,0.10007011368827802,0.11290309934228723,0.12381900926588696,0.13237354318566355,0.13836119485900733,0.14175992754608327,0.14268327203652698,0.14132583753463956,0.13792340269781145,0.13271775457471646,0.12595701659727931,0.1179103670235756,0.10888893529174251,0.09923196039803914,0.08926137292596036,0.07921166944512831,0.0691837486255262,0.059147777033005236,0.0490114106727033,0.038708455445567405,0.02826668778251193,0.017818802555864557,0.00756344973709782,-0.0023067757589433496,-0.01166958025847556,-0.020502987473623877,-0.02886324601332478,-0.036834253615931484,-0.044481011956501615,-0.051835415255596776,-0.058908471865502826,-0.06571041322610488,-0.07225534991152144,-0.07854980623829785,-0.08456999565049575,-0.09027119585622598,-0.09553251595502085,-0.10018020605492645,-0.10391870779464507,-0.10645580807699866,-0.10766476022606122,-0.10790154200672988,-0.10798437458300508",3
226,"-0.19183133447608386,-0.19399523799352753,-0.19487918058118653,-0.1933016036997997,-0.19124758997747243,-0.1892479224703229,-0.1871479044596724,-0.18529760846614546,-0.18383974099772643,-0.1825247142572594,-0.18105091652021515,-0.17924830320880786,-0.17715476941549596,-0.17487562074784163,-0.1724389197921557,-0.16965622776115125,-0.16660454181611412,-0.16399525138842302,-0.1622170553818449,-0.16030837067418097,-0.1569317015069615,-0.15190848077720293,-0.14542205336585995,-0.13551154077111177,-0.11700965133390956,-0.08392083781359833,-0.033916050357548966,0.029033304997854004,0.09637230284270609,0.15935632660809268,0.21175074946123862,0.2502856684759352,0.27491828895541265,0.2885640460788374,0.2952575332218387,0.2976883216269278,0.2967830294077624,0.293004871794684,0.28725098283730705,0.2808935419590022,0.2748218815362564,0.2688072964640179,0.26260446466335774,0.2564528146711337,0.2503092938859468,0.24441358457029339,0.23954160561398147,0.23580235472797606,0.23284012950544258,0.2305655857290452,0.2289470790679426,0.22792895613739242,0.22749658026149494,0.22764800750118627,0.22811166271495656,0.22814071914483397,0.22702946943455543,0.2242371991829078,0.2190202089459965,0.2095632213382751,0.1924289689642112,0.1648529342666467,0.1272140807329306,0.08246651879689432,0.03483688242465138,-0.011171080630704877,-0.05185975608588972,-0.08483469338205635,-0.10928113576471071,-0.1257808344306533,-0.1354161346268284,-0.13955312638185774,-0.14037981228507262,-0.14043561581427472,-0.14156295247615475,-0.14437815309742724,-0.14827560028047887,-0.15185751270923403,-0.15372957971562556,-0.1536806239199256,-0.15268646775511968,-0.15115958073342167,-0.14825518250861486,-0.1435770747680118,-0.13812757520150604,-0.1329060740459052,-0.12783902215260962,-0.12242671241388597,-0.11662849281230997,-0.11068829924173568,-0.10483671515414955,-0.09923369567722623,-0.09346960919710495,-0.08744518132937368,-0.08191335868313993,-0.07696487259496781,-0.07185473409498871,-0.06656114024478293,-0.06250750362810326,-0.06047943470038958",1
732,"0.13677545675676445,0.13249618225042054,0.12816463555294993,0.12581902509229226,0.12552666637883753,0.12637499548785802,0.12749599431517114,0.12837808835636197,0.12883304234622714,0.12857207571619117,0.12640560153028357,0.11973030374135002,0.10535660872065686,0.08172386139983707,0.050675737959920863,0.016792738402988852,-0.015167384122978092,-0.042277772073530714,-0.06370472693763275,-0.0799541407962111,-0.09209593594578197,-0.10123163194740487,-0.10807615604563509,-0.11287841302277146,-0.11585955022915806,-0.11761183440035866,-0.11898974905467269,-0.12073665767130964,-0.12311445382865566,-0.12567635118480713,-0.1275202509207416,-0.12797777095591611,-0.12702954487649526,-0.12503163342048845,-0.12222627294798644,-0.1186741438186924,-0.11452712214221944,-0.1100697679862837,-0.10546053567835624,-0.10064169497647953,-0.09549843541215645,-0.08992581544219609,-0.08374065437863777,-0.07661814985371986,-0.0681930159398559,-0.058360561417074866,-0.04745137338115972,-0.036048839822363926,-0.02481233680931702,-0.014419050704191,-0.005313119008590592,0.0025502307099192073,0.00955659266301729,0.01604691108465063,0.022126414303576022,0.027732896752974648,0.03274861763319904,0.03707109068637314,0.040719854283478484,0.04389929117084693,0.04683001937634958,0.04953959542864056,0.051928568140060374,0.05396976529214749,0.055742815679965474,0.05732267579292706,0.058715994743497105,0.05992580737226988,0.0609833275170614,0.06183071196369261,0.062211424864296566,0.061817077474271565,0.06061820359368955,0.058919185050089876,0.05699917724208273,0.05485933533638157,0.05240185198764813,0.049670572087832404,0.04679870083481236,0.043800816685251584,0.04046510331727124,0.03647214874415787,0.031713002376002886,0.026455562491755485,0.021087821288368405,0.015766247873524444,0.010414605455925319,0.004995676041186337,-0.0003279033850235036,-0.00527967137370057,-0.00959997380481769,-0.013110895799639068,-0.015792531844826506,-0.017810323507286188,-0.019398052218684167,-0.020754244861888538,-0.022018873500895,-0.023212161740067162,-0.024272130138525944,-0.025337098018257002",4
193,"-0.1118128201926743,-0.11284820088143088,-0.11350198819243956,-0.11287748824479577,-0.11183647866121738,-0.11092528483407887,-0.10980319436713859,-0.10845987584707112,-0.10738279693190644,-0.10666305972846174,-0.10598002980026894,-0.10525622908771148,-0.10401890090444588,-0.10128364717793037,-0.09718775176456157,-0.09285176737329615,-0.0886259111092223,-0.08412919646253364,-0.07923544947300487,-0.07394628255577324,-0.06847128828611992,-0.06329012309846327,-0.05807273195996143,-0.05178405682129955,-0.043962108697688296,-0.03456448131335249,-0.023448169099440475,-0.010413718370359759,0.004683240698213353,0.02142763644979595,0.03912750589597669,0.05769059889436623,0.07709306771372565,0.09692046344062494,0.1166016442712921,0.13523002983142568,0.15156588332515364,0.16432261083430227,0.17290587673124813,0.17777356127981125,0.17952062038007366,0.1792543518473912,0.17891740325165717,0.1799090692829548,0.18218525881549202,0.18449369501805918,0.18624495607544003,0.18793701430832008,0.18910972095483952,0.18817542046715544,0.1838803137662991,0.17573237080543508,0.1641811249790533,0.15059438477918807,0.13663258648090576,0.1239390482864014,0.11361353614003655,0.10543309637525233,0.09822018528877885,0.09098247370179752,0.08321043168898551,0.07424251163417916,0.06270758635346607,0.04754665224724386,0.02937877890708296,0.009711981839754802,-0.010078834200661857,-0.028573295935912957,-0.04384335115044563,-0.05429793688605583,-0.060437047785757925,-0.06461563691079436,-0.06888784636655992,-0.07404513523256373,-0.07984346243126655,-0.08510231638631033,-0.08867492375543606,-0.09082327163211507,-0.0923747411491797,-0.09343276054945748,-0.09386336709747695,-0.09356658443617949,-0.09220388724261913,-0.08974310757281656,-0.08681827561088856,-0.08383779133356922,-0.08077264948069152,-0.07755204897078183,-0.07408293804685673,-0.07045325754636506,-0.06686476724064772,-0.06325221875034442,-0.059586799826664816,-0.05592224768140325,-0.05242333635092239,-0.04942652893968286,-0.0469007672022998,-0.04508070270682868,-0.04491505580681543,-0.04616676958816185",1
584,"0.05416774641692687,0.05371182609014215,0.05326659955337032,0.05278863734007942,0.05244297446309926,0.052344201915763,0.0522930215647405,0.05193743964707506,0.051117288872095545,0.04998278488395874,0.04891694836344283,0.048426721907343026,0.04891566883612114,0.05035692647383687,0.05216661584338292,0.05330957219093302,0.052403401299170746,0.04790778579654645,0.03872535351408754,0.024881010164778145,0.007456331195544938,-0.012056415028820586,-0.03209077612980636,-0.050953124838100064,-0.06686677715541377,-0.07835647472397415,-0.08487636925265478,-0.08712089934486185,-0.08651905857019167,-0.08436446077057146,-0.08139115080625585,-0.07789732823791413,-0.07400448553754986,-0.06979615044202069,-0.0653821520496997,-0.06093950305983424,-0.056629540237401174,-0.05245554087588926,-0.04828573875832763,-0.0440182340355582,-0.039678219424251635,-0.03536583674622136,-0.03117928182204223,-0.02720765914880581,-0.02347150615004122,-0.01984700137289519,-0.016226312574699725,-0.01273916086704048,-0.009646289898661675,-0.007111428940771131,-0.005206577157764694,-0.0039407181811230985,-0.0031296742632663938,-0.002436995643792808,-0.0016865530301223841,-0.0009947268821714483,-0.0005041657493599361,-0.00012834798289676486,0.00032915988556718456,0.000925628817216112,0.0015890157232713448,0.002303330161194661,0.003130454880579378,0.0040221499013273765,0.004755641098396796,0.005184982189448045,0.005456135943008866,0.005853553468767633,0.006555139089843939,0.007593360593254925,0.008889646658310268,0.010281769926650225,0.011578738948923084,0.012592557666528281,0.013193162889853782,0.013417691551456307,0.013463971839226763,0.013523122461612969,0.013639921516287679,0.013758730800725441,0.013876293893996139,0.014046903727763016,0.014214327079754285,0.01421755144377411,0.014041801266155798,0.01389219226270827,0.013935560746123982,0.014089762050742222,0.01414302020856064,0.014025320590801207,0.013873032087138186,0.013831584919252224,0.013857799734961741,0.013749323686389689,0.013391304519685523,0.01293759402676898,0.012853303792544811,0.013902068798239811,0.01654182912125563,0.019527339390187234",4
849,"0.20755000499673595,0.2074279157513983,0.20738104020796005,0.20500466548270585,0.20042530741034895,0.19477134320254258,0.1889464426757534,0.18355859212000744,0.17908163900544233,0.1758788041305064,0.1740839433649205,0.1734642964926909,0.17341930179001544,0.17302158770828296,0.1706337710161181,0.16326433220308587,0.14697637729122204,0.11889631260031491,0.07913521602335517,0.030914740486509176,-0.020641826970806534,-0.06997761784902323,-0.11257077904149759,-0.14598749313652581,-0.16983652051966658,-0.1849297145096836,-0.19274287880041946,-0.1953726206439254,-0.19509993477646365,-0.19353300037438298,-0.19141094783942242,-0.18912733181689217,-0.18695841337211894,-0.1848989779914244,-0.18281497904834482,-0.18082602834924905,-0.17929339226686597,-0.17849934570983617,-0.17852366606326076,-0.1793182156082167,-0.18077188132049105,-0.18277423189298736,-0.18522411036601838,-0.1878932266616885,-0.19034639119140573,-0.19212979997867585,-0.1930537075164191,-0.19327996070384934,-0.19313521404483647,-0.192772145608547,-0.19201130350470608,-0.1905456597228289,-0.18811508470758198,-0.18430622472975833,-0.1781928507545606,-0.16806500076102315,-0.15136100037285743,-0.12516800386787008,-0.08768377647158553,-0.04016108785332926,0.012514418683497966,0.06381747304216634,0.10831028998561815,0.14279540493433074,0.1665106580731207,0.18127783595469266,0.19049087805039344,0.19686485532813963,0.20102256760009102,0.20210526521863448,0.1993351874986552,0.19284386308727114,0.1833397249252227,0.17147586526317693,0.15766671307219077,0.14241792407749954,0.12672684927938416,0.11190748925085253,0.09892973684828704,0.08808839639784,0.07915591963181412,0.07158932338952645,0.06477318036964952,0.05830510562106528,0.05203685489032467,0.04593840566906615,0.04002198818920033,0.03425558908248594,0.028520912190362957,0.022765800217912913,0.017105966150642138,0.011628916081331181,0.006146651235755196,0.000325707799226721,-0.005864938537651326,-0.012006120597526426,-0.017611132449017075,-0.022508365295471067,-0.026811995936174227,-0.030690451515333922",4
728,"0.13759425922526453,0.13714991712659533,0.13705507112447649,0.13603027310875443,0.1342065490603076,0.1321388082383716,0.13012512938960258,0.12827834821238304,0.12668215937678778,0.12544846087646971,0.12467714891027801,0.1243416458094723,0.1242690664901931,0.12428566859950023,0.1242877248615797,0.12417561625300574,0.12388086994258969,0.1233501148199435,0.12214579342048776,0.11893081720590903,0.11142127847210015,0.09703378522600142,0.0740407099901529,0.0425909458084142,0.004898395179148626,-0.03533971649048363,-0.0738914579510998,-0.10709991521612999,-0.1326457635011381,-0.14972697472661317,-0.1591602260963153,-0.16320033603882245,-0.1643970591150949,-0.1643053489922548,-0.16344383086643488,-0.16211271249392184,-0.1607035853641849,-0.15942926960314358,-0.15832045145435175,-0.1574831147763534,-0.1570363557149435,-0.15686825449223757,-0.15671141749151635,-0.15640161381232515,-0.15592980348656232,-0.15528795564069953,-0.15440142061078177,-0.15331308550071715,-0.15226910891429057,-0.15143404806740196,-0.15069902562688076,-0.14988466779079374,-0.14893713570984135,-0.14786110750097825,-0.14656553644022552,-0.1448735543479645,-0.14273297993458106,-0.1402773580891984,-0.13753506621260886,-0.13419781229444677,-0.12968970949376224,-0.12311987153071187,-0.1129486673396982,-0.0971208173124792,-0.07419901745319439,-0.04463544386512866,-0.010876264999206645,0.023724816947933505,0.056024010059684395,0.0836105669949409,0.1051821156739558,0.12083785392251509,0.13169587175637804,0.1389681586997996,0.14338216971581003,0.14531356439922002,0.1451277475069156,0.1432149497847465,0.13990066675184124,0.1355209352668717,0.1304144092400683,0.12476038260541111,0.11865884910452179,0.11234952873899356,0.10608068444052854,0.09982188523120825,0.09337543982656657,0.08671547107708172,0.07996588931643947,0.07305379345274732,0.0656203471437122,0.05739714352715075,0.048577334620053036,0.0396549301183175,0.03094927367766595,0.02246203854796222,0.01403993319874855,0.005464222654547851,-0.003187370559483871,-0.010649307811224085",4
