id,heartbeat_signals,label
542,"-0.13692940253232866,-0.13101590859059886,-0.1251766915119723,-0.12098904781782505,-0.11731618432867696,-0.11353107090839165,-0.1097633358980481,-0.10595867741144627,-0.10207812713951858,-0.09873369797673082,-0.09670370372673531,-0.09582544009686567,-0.09488624553274727,-0.09242145649079969,-0.08714101804735641,-0.0781354540824375,-0.06458640178051533,-0.04507608923301465,-0.019150215747191,0.0100130957643505,0.03785681913819383,0.06235480343800681,0.0832190125065142,0.09957731289762917,0.11054200044335438,0.1169993546472754,0.12104761067155057,0.12374628530217491,0.12514341996633505,0.12553581220469345,0.12505133337504004,0.1233887240114222,0.12048327743076603,0.11655813730490605,0.1119850603183008,0.10717735079597412,0.10247931908774399,0.09842307910634318,0.0957658314672365,0.09467394376623117,0.09416778318719388,0.09330507596190163,0.09212525029096863,0.09080303349323637,0.08898051059982892,0.08626075414316148,0.08266245009772444,0.07836168330882964,0.0735623627920261,0.06829256092612646,0.06216080476872676,0.054926811517478136,0.04695147196623539,0.038242813510806606,0.028250035634960202,0.01714628975159105,0.006064299554117358,-0.004085184829844213,-0.012922774330845765,-0.0202451584162171,-0.02644221531038715,-0.03212713523360433,-0.03736871064532288,-0.042009086161906684,-0.04598556341291227,-0.04930236094481577,-0.05201435407111754,-0.05415436644202076,-0.05574386908081186,-0.056710981337043886,-0.05684954591433611,-0.056405250590256806,-0.05613873166247396,-0.05640836299877661,-0.056793379816768574,-0.05686914650034547,-0.05630289785654696,-0.054714129820554014,-0.052340434597755614,-0.049968525095470895,-0.048070794553420004,-0.04636536796022961,-0.04433181841825151,-0.04224887378058195,-0.040783937406300375,-0.03964559184043548,-0.037803117977922795,-0.03480657040166024,-0.03112976183733318,-0.02707818133899398,-0.02208665082192285,-0.01567016049472958,-0.008402822377414854,-0.0014098300075313652,0.004787987984493203,0.010501218489667785,0.01608878943979386,0.021062257836815146,0.02439375723267423,0.02603422700777447",1
873,"-0.1886493425880137,-0.18919843856932206,-0.1892379026268599,-0.18803534509089814,-0.186081393769843,-0.18385228843816404,-0.18188201209606036,-0.1804407028046634,-0.1794873504098372,-0.1788271875632389,-0.1778330115899519,-0.17580171035745729,-0.17314425586455917,-0.17134790061240912,-0.17078729263507098,-0.170056615471185,-0.1684848407720979,-0.16689299542906755,-0.1658986715119536,-0.16516726090930034,-0.16373808840716675,-0.1608344101765714,-0.1564485961271863,-0.15126940415422208,-0.14590421077496185,-0.13923265941576202,-0.12773534196967484,-0.10712882966726867,-0.07444284886214303,-0.029565396499842023,0.024300311028821908,0.08186448120075807,0.13775489236002858,0.18907546383561435,0.23597284216353187,0.2788443701318496,0.3172368824203663,0.35073730537600956,0.3790919858113918,0.40190252903919294,0.4182762342251072,0.42755616753310677,0.42991716743875696,0.42600403187770286,0.4170536506864192,0.4047866504336712,0.3903747860357335,0.3736551507838599,0.35397445702586927,0.33153395345235226,0.3074997425893322,0.2829157131054739,0.2580758449469194,0.23271554280822948,0.20675615788494517,0.18133356051657945,0.157565514157737,0.13481645565989864,0.11189396199939206,0.08863620458116028,0.06574043514309869,0.04439310448755529,0.025704575740277513,0.009821119247442667,-0.003850244396855218,-0.015690671833451852,-0.025333374427548017,-0.03257076705260997,-0.03826046072997358,-0.04319584560351852,-0.047713380981125875,-0.05284303258005463,-0.0595879903104769,-0.06787073399180243,-0.07688748200017492,-0.0858326175061096,-0.0944607814861872,-0.10277006296981661,-0.1104245203201698,-0.11694577750544843,-0.12220294002721166,-0.12637020272310118,-0.12977323584803002,-0.13269260760831358,-0.13519627723198602,-0.13743952101110757,-0.13950247515070846,-0.1409867884668018,-0.14159531427610472,-0.14171848542036314,-0.1419871194428307,-0.1423076144546177,-0.1418741564793219,-0.1405094760616853,-0.13868892176545977,-0.13644348339636492,-0.13333857346960232,-0.12911005587335567,-0.12429366882931625,-0.12010627933189533",1
516,"0.04262312593478241,0.0403117767779876,0.03749922942342537,0.03555665859761707,0.034747797800063054,0.034841027760237786,0.03558279548778149,0.03674509315451403,0.038066953688223305,0.03926468727662452,0.04018469194944924,0.04083905908180798,0.04125592314793677,0.04143919318913559,0.0414582104442084,0.041441684946457655,0.04151451608046122,0.04180031489317819,0.04240772175695433,0.043343265707352696,0.044509705363158805,0.04582736722776415,0.04728084776107362,0.048804450052899656,0.05007488920295275,0.05035520314640869,0.04860746058160513,0.04386899683855104,0.03565775065681775,0.024094747206993075,0.009673707314313294,-0.006925629960363375,-0.02476332246426055,-0.04266167366521838,-0.05947851499340574,-0.0742887350908948,-0.08639950156668384,-0.09544850663253888,-0.10145966901932048,-0.10468875571341911,-0.10549181936626238,-0.10429460870821843,-0.10148001393381371,-0.09727092394237467,-0.0917818152982879,-0.08514780143283691,-0.07762482365454022,-0.06968934247816251,-0.0620238503967291,-0.05526607352651945,-0.049733457228784916,-0.04536250409032094,-0.04183883093855627,-0.03885087142917876,-0.03631512159302386,-0.03432506685796226,-0.03286550408331182,-0.0316320482018525,-0.03017231943968532,-0.028191322901192903,-0.0257227159301604,-0.023101510893513075,-0.020789735683075405,-0.019087264393277764,-0.01792530910690314,-0.01696623341082132,-0.015963009593827238,-0.01503534178511115,-0.01450139180994095,-0.014436162407321262,-0.014554589191239586,-0.014554122125976537,-0.014425713841349053,-0.014331036287022494,-0.01421032765923283,-0.01366109305616961,-0.012273647509391,-0.009950423650267562,-0.006830230610067073,-0.003072629662723758,0.001244569761044985,0.006179714508307309,0.01184668910341418,0.018177642390157768,0.024842730335176963,0.031435563138649716,0.03765805849365969,0.043305984406562,0.04815426528041752,0.051974935521191104,0.054719154652037624,0.056623380762128764,0.058074739963080324,0.059396517727610745,0.06077885319264653,0.062259184533881476,0.06351385030835412,0.06378630845870284,0.06256435706281072,0.06064956516453929",4
299,"0.09882641123172425,0.09385508162994222,0.08817435358300396,0.08475180501114205,0.0836636623242002,0.08365470993046847,0.08358775191626783,0.08250339696196235,0.07944910183967774,0.07362630407324927,0.06462008390899521,0.052560005759812956,0.038119775770531605,0.022135516060156457,0.005082110575463483,-0.012969840529106824,-0.03184447979544597,-0.050829576675723576,-0.06880165270666777,-0.08474041696949114,-0.09813073438721637,-0.10895125217932622,-0.11734754285700877,-0.12334943560845579,-0.12693377017116278,-0.12827291233852503,-0.12776018522191154,-0.12579513248946753,-0.12265409426574356,-0.11853865448879053,-0.1135935405467467,-0.10784552357179772,-0.1012474155782534,-0.09377844679232983,-0.08541064315191882,-0.07605288177511377,-0.06560815633289907,-0.05401040779065519,-0.041273973313539325,-0.027719296610364874,-0.014137170738723781,-0.0015161890642921283,0.009444957537585397,0.018516893860417438,0.025788501972429878,0.03147467314493452,0.03581435094393992,0.03914025753027939,0.04202124848240629,0.04513276087749846,0.04889113142328122,0.053274898991998665,0.05796710180838194,0.06262410441786109,0.0670550850164594,0.0712121485334245,0.0750304347165694,0.07823269082288148,0.08030082475044026,0.08070868640392886,0.07923057825014074,0.07607564887454954,0.07175911311642441,0.06683533104704048,0.061723667764128076,0.05669471156179923,0.0518874614031834,0.04727445627234045,0.042720612599131014,0.038169007048290016,0.03367379860504144,0.029255119781301686,0.024857475942152263,0.020417128326668033,0.015942282611965453,0.011599790150971956,0.0076310774502100776,0.004088200103182726,0.0007350095950248714,-0.0027207860023249486,-0.006344375504038657,-0.009994805564152165,-0.013519737055855685,-0.016753386012307248,-0.019472642097329962,-0.021543891903332668,-0.023019790553064856,-0.024063689709031166,-0.02487862945168945,-0.0256505995307173,-0.026452849170277404,-0.027216155830921573,-0.027825047892376498,-0.028244672283039285,-0.028545117909070772,-0.028788693365985052,-0.028908011858404303,-0.0287396240592514,-0.028242369827016556,-0.027773090784029453",4
142,"-0.0524308190967685,-0.05123910344966309,-0.05019035313523812,-0.049176446812801644,-0.04818073086226937,-0.048013419165901516,-0.04898957612530974,-0.050227096930469006,-0.05087576528250004,-0.05083748160932544,-0.050679054844611326,-0.05137425673762086,-0.05299015117387329,-0.054600697359049266,-0.055960077849542156,-0.05765147810286675,-0.05974553138726568,-0.06149633145331046,-0.062041592541655644,-0.06087652477169525,-0.058176667676194116,-0.05463668037014524,-0.050757843997840446,-0.04649650763238711,-0.04157638158967247,-0.03623686690721961,-0.03110804833967118,-0.026031331702575655,-0.02032231867305445,-0.013805034698336938,-0.006055022607414529,0.003994266798529544,0.01656258270599309,0.030575907061955787,0.04471624915985806,0.05810238829528014,0.07039361361332763,0.08141733340034185,0.09066276966414288,0.0981078652124251,0.10412280178397038,0.10825355382846968,0.11060730385167794,0.11239793727642433,0.11382050735451732,0.11323830431818371,0.10876055948225716,0.09956049852016224,0.08609983219464801,0.07109274822296718,0.05912316333760992,0.053287101637270684,0.05383250047375154,0.05976846571251093,0.06940112126703346,0.08014919358930928,0.08929911581068462,0.09514647430150758,0.09752289551448867,0.09713200813099321,0.09432168395928797,0.08880717355308942,0.080519020221679,0.06997629328530819,0.0576916792071851,0.0442248278076951,0.03107919302102169,0.020210466303179797,0.012208783524716438,0.005849665033207607,-0.0002951524132276395,-0.006757874397222308,-0.013151841667289443,-0.01859759186751908,-0.022732011915086003,-0.02607303238841463,-0.02905791342140096,-0.031911242027619524,-0.03487747160809174,-0.03750649319282173,-0.03938442403563658,-0.04099876302881322,-0.04273334720514932,-0.04428465979181195,-0.045278663698820276,-0.04614804043368703,-0.0476596784532658,-0.04964021294090992,-0.05160296078409088,-0.05370681207852279,-0.05613912726681458,-0.05890636494987722,-0.06178057944211279,-0.06392423349550291,-0.06485122656843267,-0.06536235861762141,-0.06630209326173475,-0.06773117108258597,-0.06977080452804552,-0.07209250898826414",2
535,"-0.05752671103838514,-0.054667063087756596,-0.05178010471990251,-0.049842776853856914,-0.04845076790327234,-0.047458681036216935,-0.04678450910584961,-0.046053943143415765,-0.04508006847984775,-0.04417244670846425,-0.043569729437914165,-0.043017682099037446,-0.04217356121110057,-0.041532121670777036,-0.04165313475784705,-0.04187658732166606,-0.041525428218212465,-0.040628520046494324,-0.039173445627795005,-0.037219870903475324,-0.03518847945724016,-0.03336575181454479,-0.03187204353296455,-0.030846409589821693,-0.03012783313716951,-0.029308681281058492,-0.028138386821156592,-0.026976355189181848,-0.02630722639727105,-0.025945378082010653,-0.02537359514332834,-0.02446934483706999,-0.02342361202460463,-0.022397303268010323,-0.02152369522724102,-0.020455499808343113,-0.01806646266118539,-0.011710406764743601,0.00281290500774857,0.027211684564137067,0.05787215630260846,0.08926369771793978,0.11744451451607688,0.14004721156738198,0.1557403470466629,0.16457380456753792,0.1684312146549479,0.16998887660246878,0.1705351015852638,0.17007241697404682,0.16861024992743806,0.16631972008199772,0.16354525529295547,0.16043306636478316,0.1563768972968831,0.1507999834623665,0.14360633646994325,0.13372112328891125,0.11866940231724976,0.09688856349352473,0.0694780698062988,0.03933552825205637,0.009866193926721705,-0.01573213654617122,-0.03536478865423843,-0.04886817358693207,-0.05749840520791546,-0.062297212786115316,-0.06397616136969547,-0.06367087080102674,-0.06246905578506069,-0.06089459658125087,-0.059242384954513214,-0.05767137973056285,-0.0559871863228692,-0.053993592819449654,-0.05185104932232931,-0.05002912669076309,-0.04895538589951988,-0.048362667830196375,-0.04749892496374484,-0.046336292372048324,-0.04535842860334604,-0.04445330256766677,-0.043518499594813194,-0.04271314184585028,-0.041608848998246115,-0.03979253937522569,-0.03787064091424482,-0.036675889298789455,-0.03612770564781921,-0.03551735242048643,-0.034504961698475625,-0.03332203758766895,-0.032216996576481874,-0.031123930275279797,-0.029902579108020542,-0.028844633095155163,-0.028572377470491774,-0.029137445377253185",0
4,"-0.018007981384458804,-0.017859397316629333,-0.017940534904915206,-0.018350319157298123,-0.018937703227476788,-0.019191149094829885,-0.019002557140667564,-0.018744561091552203,-0.018691438985228848,-0.01875444938304205,-0.01877438689301858,-0.01880352174804989,-0.018886549058725444,-0.01903350831183659,-0.01925306066174781,-0.019277832150091045,-0.018675983500976212,-0.01771750086465107,-0.01711964697457602,-0.01705066351233997,-0.017347805795544846,-0.017816978761218683,-0.01820467543047133,-0.01841265600968811,-0.01850152316672571,-0.018282902128360368,-0.017545293781957016,-0.016730486218591745,-0.016164290081270405,-0.015540784733700352,-0.014717642033486023,-0.013843475825590645,-0.013082478027911626,-0.012156730239463509,-0.010529637618937326,-0.00800361200620514,-0.0043891817469448036,0.0013119061465001192,0.010669590974634824,0.023914029567547623,0.03963190768738534,0.056446750769434506,0.07315060952692287,0.08830634210361954,0.10069985407990278,0.10934120514443224,0.11377855716468588,0.11419647136408262,0.11056654890913031,0.102571485459517,0.08993251175437667,0.07255830005621955,0.051607915756362366,0.030358421557394544,0.012847920468124108,0.0013048947336257166,-0.004648356490414507,-0.006499516046049703,-0.006168798886771576,-0.005734497874052558,-0.006474519165157178,-0.008342236637088996,-0.010436334531264468,-0.012185075825381309,-0.013564901917566985,-0.014202615259159224,-0.013920086325265757,-0.013514349484488042,-0.013651984007194473,-0.01404159752649714,-0.014132306871145639,-0.014110291249034068,-0.01465419889483488,-0.016159557784062195,-0.017991983387938393,-0.018945452533761786,-0.018732206790863626,-0.01807830200288363,-0.017894700977323375,-0.018477411987181336,-0.019101996478539496,-0.019184076083480828,-0.01885211525690267,-0.01816737382472644,-0.017024429039322775,-0.01568041215612792,-0.014804616032974893,-0.014540051343092442,-0.014482340739928823,-0.014468736208670507,-0.01432373958877442,-0.013662993132171342,-0.012583177338779561,-0.011615453213133287,-0.010974481916845247,-0.010478566200208372,-0.009857948411302053,-0.008829750640403145,-0.0067744695368321395,-0.0038843146581297727",0
427,"-0.032876629722932205,-0.034429502298422635,-0.035099516423463845,-0.0343952395762208,-0.03345251520427317,-0.033001524366503165,-0.033219145646786435,-0.033586860527495196,-0.0330274030408379,-0.031512440949415924,-0.030058381844932466,-0.028839485602316514,-0.02735651179043995,-0.02594067063911487,-0.02538046500106296,-0.025479110609742436,-0.025089141645766644,-0.02345050974207004,-0.020984954981258033,-0.01858910216289053,-0.0166088318812848,-0.014864062297355277,-0.01293477244654842,-0.010722829058895253,-0.008787705259381592,-0.007737343982918976,-0.007621842935468595,-0.008009120645781381,-0.008405249308877302,-0.008498853649976046,-0.007943045472758495,-0.006529923739303861,-0.004868221444145157,-0.003776434397255668,-0.0032456372559151597,-0.0024291906563844584,-0.000736328463148625,0.0016011845087584575,0.004185359279640699,0.006826632042290046,0.00940001127847652,0.012109569800138054,0.016271511661048385,0.023712516446790982,0.03543115690096002,0.051035896273178186,0.06942126905805977,0.08931146574167123,0.10848162293917514,0.12427920969168965,0.13510281235485982,0.140324154750132,0.13956346551716128,0.13276429679125434,0.11967882982784805,0.09983141945256378,0.07484681409612366,0.04958539451903672,0.029188327441745987,0.015549083597756239,0.007478604985925688,0.003130533301301322,0.0013418349615716973,0.0014836100581082645,0.002801325483780412,0.003943643506087405,0.00376029040427589,0.0020660912957497918,-0.0005649856653487662,-0.003190956522322916,-0.005224002853975271,-0.006806538495971251,-0.008332216532100395,-0.01005077736074593,-0.012264956336887234,-0.015304281127148059,-0.019030400057046884,-0.022760712741126315,-0.02595427600163934,-0.028655441553030125,-0.031120550435157948,-0.03326690309392914,-0.03484074781229568,-0.03619701768151712,-0.03762737866996886,-0.0383734187825515,-0.03785778201320565,-0.03648682213180132,-0.03484893348456754,-0.03325938018545284,-0.03206617832253038,-0.0313517233560639,-0.0308210521474563,-0.030285155945714987,-0.02947262715844222,-0.028414905023838366,-0.027362720321381998,-0.026074992241003875,-0.024379002669525238,-0.02277259657207148",0
659,"-0.045869587334268824,-0.043739333439722194,-0.04207539834609486,-0.041481270145682037,-0.04119561706775493,-0.04095576701001957,-0.040721000590525025,-0.04031333054676811,-0.03972021994112923,-0.038771307219418516,-0.03717824337586262,-0.03524267382970442,-0.033691458661428364,-0.0327700511378185,-0.03195461775018804,-0.030618825979333852,-0.02890194401842977,-0.027480915454365484,-0.02644278666445188,-0.025182740770879397,-0.02318792877350384,-0.02093526642090282,-0.019489975241191893,-0.01890701967817915,-0.018475554323796828,-0.018080711984611586,-0.01834790045635809,-0.01965282023793241,-0.021335878476899328,-0.022386665338394007,-0.022472486817312898,-0.021960340418643642,-0.021310231071949293,-0.02058585526869694,-0.0197624408594112,-0.0188473459377545,-0.01741568270892635,-0.014538573183425718,-0.009088513769623496,5.909651235275204e-05,0.013663862955094808,0.030859476010816345,0.04896952488228229,0.06550958053739853,0.07969593039505557,0.09212093018732354,0.1035700887842933,0.11467488194229214,0.12565256624094046,0.13567639862679454,0.14358486412814508,0.1489814642895504,0.15179995374955174,0.1515005084936164,0.14765629142860104,0.14057452119083796,0.1301419291816885,0.11578180970195479,0.09796100488320691,0.07848087018001987,0.0595355451441591,0.042734831898789905,0.028915754308784736,0.018190236869206233,0.009812173196877494,0.0025478750612759615,-0.0047342798501958105,-0.012285522539709548,-0.019116679907015044,-0.024139962882795518,-0.027622974292486446,-0.03067814868279961,-0.03352241908948589,-0.03515077316145099,-0.034923132308190385,-0.033555953526462734,-0.0321811787708598,-0.031362931864610866,-0.031230299947315132,-0.03179423383279112,-0.032490874113663526,-0.03248191882845153,-0.031821092772349735,-0.03114993159798407,-0.030916472979212628,-0.031489892417661036,-0.03290729082960586,-0.034870852823371656,-0.037147312734964466,-0.03951949293685392,-0.04177864290936889,-0.04356305565773977,-0.04449863556972328,-0.04479336530049144,-0.04516249703134756,-0.046040861907943154,-0.04740323324652812,-0.04936659832156426,-0.052322774125768134,-0.05554040376876801",0
523,"0.18919931700301543,0.191457754572859,0.1920683486814005,0.18424013879357526,0.1654074610804067,0.13665949427601393,0.10102049568959584,0.062396336054408245,0.024732238488277755,-0.008795690144708337,-0.036301602088704865,-0.057369030085657524,-0.07293569744779432,-0.08464061949785168,-0.09392552133000187,-0.10161355129740335,-0.10794851075424272,-0.11280188905369565,-0.11608551030470476,-0.11803730604763646,-0.11900867115518055,-0.1191617773735788,-0.11855338934087556,-0.11740545757601684,-0.11611911589996232,-0.11500179604626531,-0.11409571772865867,-0.11326126050214902,-0.11230710843900438,-0.11107727712448223,-0.10947453078933317,-0.10734683745360174,-0.10440676030957172,-0.10032060333630571,-0.09466022689378153,-0.08663697233752077,-0.07519629698220548,-0.059786014676022126,-0.04118647323230899,-0.02142166945586721,-0.002591336417840942,0.014231659523163562,0.028989729574961723,0.04192225404772108,0.053108405140357834,0.06251663145719669,0.07027032911269995,0.07683280884693086,0.08288138479986437,0.08894758076611745,0.09514653385461341,0.10111399103393143,0.10615230848029242,0.10958657751976181,0.11103315908283043,0.11029945933209326,0.10721582998095941,0.10182257743968612,0.09466363113949525,0.08664765607296757,0.07857951610275513,0.07089682664366012,0.0637403920770915,0.05714737543487278,0.05119436421758064,0.045979645324710355,0.041561499756743475,0.03801751188653149,0.035505474779442936,0.03420241212534783,0.03416754426736493,0.035196641704029,0.036786368608362624,0.038217831753847326,0.03865333108606733,0.037368522601572696,0.03414062833558931,0.029353409113030943,0.02364331994429278,0.01751698123180742,0.011254353822467478,0.004975553875752825,-0.001258375931372513,-0.007343584962613586,-0.013166506500009112,-0.01875332796225257,-0.024213418661955727,-0.029529144348389297,-0.034611691555867574,-0.039487583149288547,-0.0442250347961089,-0.04878309941375983,-0.053070586332665065,-0.05708825067631587,-0.06092208208134908,-0.06453160123329155,-0.06760952926609667,-0.06987182303888276,-0.07151171194189088,-0.07321202356364706",4
