heartbeat_signals,label
"0.033237021195685834,0.024476184311043148,0.013846968700395701,0.00035078317275261117,-0.016335469134226455,-0.035629557825961555,-0.0557814382049997,-0.07421618699857457,-0.08969116866091875,-0.10251820536125922,-0.11431948803480119,-0.1270788010653634,-0.1417433920935619,-0.1578762861802897,-0.172869079787758,-0.18434250407555997,-0.19346003378802412,-0.2011756411567226,-0.20825840223772396,-0.215259474340035,-0.22079306220349382,-0.22352787168863597,-0.22277565069839345,-0.21780090648188732,-0.2070357946206961,-0.18838003394575387,-0.16563368808736922,-0.14437375244591266,-0.12263297168775056,-0.09901831006758433,-0.07672495553709818,-0.05717296162173163,-0.03721285420738668,-0.013944539884372331,0.017432468192571327,0.06050242109494369,0.10739454044532257,0.1462601925407118,0.17350261309082163,0.19229079110435704,0.20487720310107843,0.2132282098378332,0.22074154538342294,0.22796292820581418,0.2346466685249854,0.24188896779064165,0.2490328094441917,0.2540059335076609,0.256562401834595,0.25552683103453216,0.2505604858860372,0.24379751214453624,0.2369917070580103,0.23078270028842196,0.2247631640643472,0.2183785057003979,0.21233702319042627,0.2075860416838195,0.20465070870996552,0.20155164102041742,0.19173727795031079,0.16987370259954604,0.14773691507341807,0.1392952591381268,0.14091815480269432,0.1441761594868706,0.1430378686277764,0.13349858153256527,0.11711431506390746,0.09955397827465079,0.08418742607062113,0.07143297548739652,0.06020962479660774,0.047888506268535413,0.03416810333822817,0.021980046620227955,0.012490356107936362,0.005832454116216579,0.0012528531400120557,-0.002946872444379689,-0.0056376724030486325,-0.006821913168491678,-0.008532788686794024,-0.013182749764107826,-0.022369053855851972,-0.035947667712450115,-0.05440843914363269,-0.07634236912928175,-0.09768802298008827,-0.1174762138923835,-0.13371899016729255,-0.1457519786666788,-0.15514820814343858,-0.16197471575541078,-0.16708155562561713,-0.17196185854512092,-0.17737914528915968,-0.18227768461401272,-0.18706459625491467,-0.19048134385413676",1
"0.11839776545887655,0.1165974947356343,0.118841240065701,0.13282464401804772,0.1612838103260988,0.18937536440631125,0.2011888011388998,0.2028974121049379,0.20093207905194083,0.1963106559228568,0.18290414460552873,0.15326598528251467,0.11002497136138507,0.06159625127132183,0.02204912269833398,4.007187635617776e-05,-0.006036249820502618,-0.004286081927455117,0.00028583883160571144,0.003896473663849251,0.0008683959867637689,-0.010109130669825155,-0.029849992085192067,-0.055469662077388474,-0.08286084815217087,-0.11320358155205118,-0.13866201631027075,-0.15113230570128744,-0.14822117367333493,-0.13513958114031535,-0.12108858584491455,-0.11166205215044578,-0.10784219788875166,-0.10601532264853814,-0.10593895746022172,-0.10939098338556702,-0.11817161125633596,-0.12706734568608147,-0.12741440156273337,-0.12058316823643811,-0.10838324007574696,-0.0974603436012989,-0.09136914589396566,-0.08455121939842816,-0.07854783013133192,-0.07962381060868404,-0.09291213673877075,-0.11186469728420836,-0.12368010041907235,-0.12149467838205902,-0.10776654184065378,-0.0925143257818861,-0.07887150182267855,-0.06526718449654444,-0.05041107886656169,-0.03546265721993289,-0.027135183512731635,-0.026009009427746782,-0.029272089054922096,-0.03366896188271615,-0.03497621264151597,-0.0334576630289156,-0.027394374322990814,-0.014083922204939273,0.0007111748995982797,0.011709477058831214,0.020460409055505238,0.025576230558307392,0.026202912505717352,0.023242892641598803,0.015374789850917156,0.0073325223701151965,0.0038599562948869043,0.007532770661264912,0.015907796704642346,0.025694107201833377,0.03606206144220052,0.04698363254668743,0.0556778173896464,0.06006652045827622,0.057670263709781136,0.05150583100332694,0.046728591711561865,0.045893665290293775,0.04846620773264977,0.05237567019357202,0.05501038097707357,0.058308671472527426,0.06541286318013066,0.07510323728898527,0.07999729230068398,0.07662530257477856,0.06747586405907402,0.058639760266532684,0.05079139845692794,0.04301672683899331,0.03544332646448596,0.03057034690772513,0.0297521503487735,0.032930935534019504",1
"0.10617863115500553,0.10560583639746482,0.1040469326509644,0.10165470167476667,0.09859555978964767,0.09502885590897305,0.09110646857141255,0.08697206029582105,0.08274882776266465,0.07851926648576403,0.0743073115985371,0.07007383063251957,0.06573084867626881,0.06116992064162173,0.05629558808212955,0.0510512637932362,0.0454286878698085,0.03945694895792004,0.03317668631776105,0.026618887045969458,0.01980593497725089,0.012782395756812864,0.005655614289912819,-0.0013925448378797889,-0.008146692468587208,-0.014432508529451188,-0.02017054000820584,-0.025373722637843793,-0.030101641909018623,-0.03442253548468291,-0.0384015918466559,-0.042100606723108475,-0.04556434862967651,-0.0487990660143611,-0.0517729226240525,-0.054442846987155596,-0.05678420824726829,-0.05879925629995722,-0.06050301392142354,-0.06191154561200454,-0.06303878738829663,-0.06390010072753977,-0.06451425645708095,-0.06490401501104379,-0.06509831309400782,-0.06513548677403835,-0.06506223605027198,-0.06492204960517406,-0.06474016658397452,-0.06451834478645621,-0.0642561664877592,-0.0639818319833308,-0.06375843850786742,-0.06365251485413495,-0.06369080569553892,-0.06384636510520073,-0.06405659409819972,-0.06425226325391423,-0.06437830667319058,-0.06440510152662482,-0.06433616283990196,-0.06420470501538492,-0.064053675046986,-0.06390924128395695,-0.06376391882222462,-0.06357573453225507,-0.06327634645465016,-0.06278169325913877,-0.062006549293328245,-0.06089120583094129,-0.059427986599970756,-0.057660589960433134,-0.05564435167269863,-0.05339577972206891,-0.050872672842550815,-0.04799534645985962,-0.04468059398833302,-0.040850092211282635,-0.03641694542225182,-0.031279853625089504,-0.025347259774839953,-0.018577626478895354,-0.01100628317034777,-0.0027450916796772085,0.006033909619305028,0.015119523417159886,0.024288277109216633,0.033341312493132186,0.04213332966602204,0.05057567710607938,0.05861359140166238,0.06619945410311262,0.0732784365475024,0.0797913399093784,0.08569078911349026,0.09096394519444306,0.09564361023209994,0.09979203794916397,0.10346122118580345,0.1066617864413919",1
"0.024814871882319026,0.021273504485798275,0.014770245750944933,0.005884069396200897,-0.003759999829128516,-0.01210600174896325,-0.018205184172519512,-0.02293088803548534,-0.027571955933751502,-0.032412966223933956,-0.03702204128275263,-0.041268390103118724,-0.04528965637755815,-0.04893999050046824,-0.052206190523377716,-0.05548291614130063,-0.05849355448937191,-0.05997550735329239,-0.05949637864363841,-0.05797401281614291,-0.05582954718489852,-0.05277458796221485,-0.04875314779115093,-0.043868360151469304,-0.03869265579904661,-0.03390379498428589,-0.029273627209812983,-0.024462961749273628,-0.019756382137685595,-0.015448322260791555,-0.011525797919669723,-0.008165408694227501,-0.006081558104478548,-0.00582207928473218,-0.006867708550455761,-0.008246597135550829,-0.009468972063129705,-0.010225897974679744,-0.010114318208286545,-0.009264952736304542,-0.008399716752568048,-0.00803016903714764,-0.007854141220409772,-0.007191919512920496,-0.005984786008468215,-0.0046391739350736955,-0.00306448663413628,-0.00086858249477368,0.0016989493300251443,0.003887181669169411,0.00551455088176768,0.006853552901385125,0.007945821477138744,0.009116645581076471,0.011596404783209939,0.016909149632427838,0.026045905423780567,0.03897488198323621,0.054571024736614966,0.07072444057210867,0.08525295569973051,0.0965602090745794,0.10322595618315855,0.10513234614383177,0.1045246274870903,0.10453582249196222,0.10703626371214409,0.11161747096219199,0.11674514191711341,0.12128608310222824,0.12476451234421054,0.12725036792496375,0.12902197924539266,0.13029733803727694,0.13118843885526726,0.13181063244933994,0.13234848952014852,0.13282211764934412,0.13243390872297695,0.1295967591306264,0.12275627525558133,0.11114905126674599,0.09518839681863037,0.07605597892021371,0.054598046485412166,0.031075501959245223,0.0060457254416420095,-0.019370739009687714,-0.044099790120173156,-0.06692736664264222,-0.08590688755763703,-0.09981137629300596,-0.10956636208196996,-0.11667881859470258,-0.12189313026404959,-0.12583840557209436,-0.12922581842872027,-0.1323542409346827,-0.13550149628223596,-0.13885729424694582",1
"-0.10867644435639343,-0.10550819862091998,-0.10034338429549973,-0.09353952815969802,-0.08554444487706726,-0.07681603321335036,-0.06774540694451966,-0.058601918171644715,-0.0495198431108784,-0.040537346367644514,-0.03166810182940964,-0.022968137746459116,-0.014564359955803338,-0.006639704314908221,0.0006108616892191304,0.007032298209508389,0.01254670145443619,0.017160548897036873,0.02094462488963357,0.024002081635515912,0.026445530983390128,0.028390289278638306,0.029953522241952454,0.03124785523631883,0.03236778130752484,0.03337712119942242,0.034307254730954376,0.03516905565586627,0.035975162013101344,0.03675853768245739,0.037569393396993764,0.03844431930759827,0.039369187114727575,0.040270220027968526,0.04104120393487325,0.04158495324219551,0.041844070293649296,0.04181643544217155,0.04155901838189978,0.04117283359904138,0.040757383400411115,0.040350489902392386,0.03989575129221655,0.03927181248836452,0.03836519295787326,0.03713816120719125,0.03564707546469646,0.03401056090390851,0.03235230150905456,0.030755301372946117,0.029240161065074724,0.027768665446219795,0.02626377683617641,0.024641475937663623,0.022851389054660567,0.02090779830222428,0.018892293009091857,0.016920374732302942,0.015094560651632047,0.013467913189773209,0.012029614027841848,0.010711048111197427,0.00940724712333231,0.008012736902691012,0.0064641211710967095,0.0047674392406800575,0.0029923800936683814,0.0012324683148225851,-0.0004438629031550956,-0.0020214136580538195,-0.0035296844206454125,-0.005016194051257791,-0.006524045891514493,-0.008087015568684616,-0.009736343143309636,-0.011504011180384355,-0.013413107034092694,-0.01545568578214044,-0.017572578293466742,-0.019648488572939306,-0.02153850342507385,-0.023119377573296976,-0.024338363066494575,-0.025225757013034214,-0.02585875090849641,-0.02630139214879873,-0.026565604410476895,-0.026616623196323713,-0.0264101172767248,-0.02592318717609865,-0.025158917702051253,-0.024133984352609786,-0.022874753510984593,-0.02142361122673899,-0.0198357434854758,-0.018158921558222962,-0.016420659226264574,-0.014639458130685797,-0.01285320640471,-0.011135515965977102",1
"0.04902735451291952,0.044613267401674664,0.03798206102865513,0.03185501278736701,0.02780600328011927,0.025831069822173133,0.025918867416217458,0.02821040282168652,0.03227193684618089,0.036893262712354276,0.040705266219972044,0.043049350275505605,0.04379947060612985,0.04336875185085681,0.042628556033150314,0.04191927445699721,0.04067766541430512,0.0383755004753341,0.03580579943588067,0.0343553865150963,0.033945597199462836,0.033817412871660645,0.03398306282690232,0.0341567634552372,0.03357214529398223,0.03211836734945059,0.030147452163932522,0.027839372348339574,0.025215372488372946,0.022701167829592892,0.02127855679771662,0.021105996495665736,0.021072675040217526,0.020348305925942035,0.019110781045549335,0.017764992300077307,0.015866196323914467,0.012340865676338051,0.006498783083590289,-0.0018886747635334855,-0.012695307978019123,-0.024962311056873826,-0.03689625953179526,-0.047077737284574615,-0.055138566003107105,-0.06106908422183589,-0.06515431356841114,-0.06805804907043299,-0.07040899485404979,-0.0726490518927877,-0.07502565589744076,-0.07756647158509741,-0.080337903227992,-0.08338406846736023,-0.08620748412931056,-0.08803991171635754,-0.08841466307457592,-0.08729396780836261,-0.08499623778324843,-0.08222295850089502,-0.07958178834325273,-0.07720440439853693,-0.0752071422935304,-0.07381793684293021,-0.07323707931839368,-0.07332999506344078,-0.07337767226253691,-0.07245337862416154,-0.07023691454081027,-0.06738231770437894,-0.06475759145711019,-0.0623949540912091,-0.05952521900517171,-0.055292982874355176,-0.04936359966978105,-0.04239139017442721,-0.035884626646084834,-0.03119350655878832,-0.028207721634333285,-0.025607692323462994,-0.022209288230781016,-0.017593344694178382,-0.01195688734626075,-0.00548840111369775,0.0018214791915383555,0.009995280258797586,0.018940656787237716,0.028222281634948866,0.037223224221607176,0.0452955669846813,0.05199331755665955,0.05741778578918452,0.061882516310180435,0.06573614709447785,0.06936297344934378,0.07282510889958684,0.07627384458319107,0.08046600911127057,0.08607065811253528,0.09287035796468895",1
"0.07962199565407813,0.07511962892351132,0.068937245725467,0.05867266673837701,0.04627085386264784,0.03388754919262438,0.02457049568242986,0.02098718634743435,0.022809197586333374,0.02837044827699342,0.032781029276227724,0.02963418421306474,0.017005910881486286,-0.00515902747650665,-0.03468613889177785,-0.07011617469400233,-0.11179652263123074,-0.148941907337777,-0.1727487907549562,-0.18864907752687154,-0.19843365132298385,-0.19978826917880377,-0.19620740785369084,-0.18852261213646315,-0.17128671246227478,-0.14903942882866272,-0.12843223244362612,-0.11164857866587319,-0.0995967542935765,-0.09045477433002491,-0.0787468159031286,-0.057387697432646045,-0.029524492342086095,-0.005307415259401205,0.011148969335147418,0.022793250527084752,0.03355725397208037,0.04536477637857367,0.054921668850148986,0.06078394634191853,0.06622177498999876,0.07141828370268172,0.07855028700807382,0.08844081115449154,0.09632219771942124,0.10119839434682004,0.10321644967354887,0.10170245296040303,0.09909227319467973,0.09832479210639467,0.09980095086347363,0.10307466671635368,0.10716287536066688,0.11070488287753089,0.11308993299650155,0.11453450948645602,0.11424344215926985,0.11199695309264485,0.10832653653470195,0.10442716174010189,0.10052774959797944,0.09587193583989079,0.09190548366780546,0.08971480508246937,0.0877245463686008,0.08463293614816889,0.07937172549269322,0.07178112929567657,0.06303066427583731,0.0543900185400768,0.04609022342266664,0.03952901097222533,0.03373598764486932,0.026923068535306738,0.01878973099754369,0.009774219724894562,0.0006253387044346526,-0.008816396269943433,-0.01741410275944294,-0.024756534991679624,-0.031248798016703605,-0.03693881289620676,-0.041517256999526186,-0.04476706777960038,-0.04578364596067261,-0.04635666122661586,-0.047158402362807855,-0.0475045654151785,-0.0478637871232582,-0.04929575220158319,-0.05165479634173206,-0.0540363751285739,-0.05663431920985823,-0.05842478283336308,-0.058634397102869495,-0.05822361361398923,-0.056459493285424184,-0.05320738749196993,-0.05092941434323445,-0.050576157906835645",1
"-0.4141635003115749,-0.3896227074062044,-0.35357242238007497,-0.3137475738595827,-0.27377500639195707,-0.23420264698509552,-0.19438842591284267,-0.15262747194751475,-0.10757995946728344,-0.06079534116114721,-0.015739953249407412,0.025663877676723346,0.06413235878813023,0.10070601810706842,0.13529525476155851,0.1682175408325824,0.19971960735732402,0.2270174046114018,0.24480009793087715,0.24994920111831603,0.2449249347317905,0.23516537579629065,0.2239805678492805,0.21163183605037778,0.19795536238097028,0.18356265983470227,0.16908438226750283,0.15447026654367108,0.13961083505179178,0.12488025694636634,0.11086502567245854,0.09822327503170386,0.08713454547800575,0.07674806306852383,0.06624568313317664,0.05595758011122981,0.046194189906443806,0.036462832215752694,0.02695422708709755,0.018833937324016004,0.013079838336293947,0.009970163138750765,0.008468325363924,0.006584425655153436,0.003267524284008283,-0.0013774867881976016,-0.00801664376808986,-0.017934695599952255,-0.030972576253370243,-0.045568651987510866,-0.059528552276269575,-0.07044466199220717,-0.07726154180362793,-0.08098838516285156,-0.08238905119904688,-0.08083666683083524,-0.0763989596903536,-0.07055716335895229,-0.06491709676581037,-0.060852692375662765,-0.05906561665732496,-0.05888515268606653,-0.05916925480712737,-0.058770301058654495,-0.0563175295781021,-0.051209278514400935,-0.04415631350539545,-0.036625385270798005,-0.030004898005158875,-0.025205133267438617,-0.02263402515349161,-0.021727015866651322,-0.021136918341425504,-0.020136786841780607,-0.01922910912060871,-0.01936018961649838,-0.020733225583953185,-0.022597415360524453,-0.023911249033468696,-0.024241548683480857,-0.02443940304340461,-0.02504921717106265,-0.0247217944566982,-0.02199133472880649,-0.017334751346502697,-0.012348981182264213,-0.007898111349852854,-0.004026078289735113,-0.0009266201627592674,0.0013852579944203802,0.0032301742927101362,0.004735907609311196,0.006303316569881201,0.008703899297002216,0.012110005731181733,0.01602516757756639,0.0196077547031743,0.021696450076683943,0.02153832494020383,0.01941231468838711",1
"0.21179443636489004,0.20043653512515264,0.18003655591077222,0.15493255918871707,0.13089225045452801,0.11004780650016623,0.09139399666517181,0.07567870333227834,0.06461411650580742,0.057075607568306624,0.051244258561433664,0.04535547881923313,0.037755523085508697,0.024742547579324647,0.002745446327965806,-0.02512214883511346,-0.05195950039673117,-0.07117287901572941,-0.08095634636525165,-0.08424320801448107,-0.0829963509251189,-0.07879396414824472,-0.0751994610410347,-0.07436609779304551,-0.07411519780109888,-0.07183301679328197,-0.06736746467467461,-0.06075075669366009,-0.05282232992608618,-0.04619316440181878,-0.041161973742835756,-0.03706510474185043,-0.035250428519052524,-0.03554038325199074,-0.03553310445013938,-0.034352555287708225,-0.03207687712714294,-0.029458856208313178,-0.026995293957803923,-0.02621038042580895,-0.027194063488383963,-0.02809895599427195,-0.028104125525166862,-0.027718770989363595,-0.027805671793464076,-0.02816926894987351,-0.028676647735372457,-0.02838041412387246,-0.02858611461718824,-0.03076417859829167,-0.03417305881148147,-0.03636370547881154,-0.037029428555995586,-0.03619535844771199,-0.03348735296520794,-0.03038011144932623,-0.02856879681146146,-0.028532707628453696,-0.030435983098122704,-0.03293848390271095,-0.03453891922924715,-0.034493167428403665,-0.03188920323966771,-0.02821847830385346,-0.025983027652089596,-0.024519244528424577,-0.02413484482356057,-0.02517186057836529,-0.0259963008875862,-0.024899839880577396,-0.02208360273314254,-0.018221697973861042,-0.013409154329602005,-0.008274548098977624,-0.003346961070334567,-9.035486599688614e-05,0.0015094303504005063,0.002429203872475652,0.003794403091739715,0.005533304327542371,0.007795776011061503,0.010818466252375286,0.013947823118962074,0.01816211772838272,0.022657713403150703,0.02516230016190496,0.02504636597530535,0.02400712655777723,0.023292474458302764,0.02440524553114598,0.027828380932539032,0.032016743090918745,0.035986563793247814,0.03875418836782145,0.03950167000663489,0.04015052878784653,0.040794784881229715,0.040410349111692195,0.04102184378950295,0.04358796313659226",1
"-0.09365961211472132,-0.09187343313162462,-0.08867662365868272,-0.0843571978933871,-0.07912233705916924,-0.07311388264479118,-0.0665086838688461,-0.0595427134602317,-0.05231584716020918,-0.04462715643525337,-0.036160525150255356,-0.026836228776304042,-0.016930850886583575,-0.006918893421434744,0.0027224391024042033,0.01156815630912763,0.019199575106725035,0.025228856563875073,0.029439986238227002,0.03189180429078997,0.032887793840220045,0.03287092101822335,0.03230845591500961,0.03160712957868469,0.03108953335098226,0.03099438256285171,0.03137351119100694,0.03193577015851234,0.032174270121668826,0.03182707004713303,0.031159743999059998,0.030716551030082508,0.030807639156780038,0.03121639653421248,0.03141140789961156,0.03110645357277631,0.030554042858974416,0.03021165269265374,0.030248157984193155,0.030485463787251567,0.03067402895983922,0.0307075132595062,0.030699490092200195,0.030905859053243452,0.031493413184300094,0.03242395288219561,0.0335779088071286,0.034866919909100715,0.03621195252550358,0.03747744069329767,0.03840445773072544,0.03864776214075227,0.03798012163471849,0.03636056234113191,0.03380292838200429,0.03044446813432159,0.026681718463204183,0.022916598131567094,0.01922978082278303,0.015493073385030844,0.011698749187500974,0.008063503998263853,0.004838644351350566,0.002058408233373759,-0.0004954814863408659,-0.003045382075722025,-0.005589472820728799,-0.007986529185769486,-0.010122145347311718,-0.011873984303989615,-0.013134884381142931,-0.014008811876950786,-0.014823799991673547,-0.015879786167820042,-0.017264384765732086,-0.018864973333967364,-0.020429954870363167,-0.021646747440847297,-0.022273904274155862,-0.022239581381935165,-0.02167021249267001,-0.020825077954778604,-0.019916813878831426,-0.019024809276832703,-0.01822068028442181,-0.017608497066198613,-0.017144228926944453,-0.016568812673541412,-0.015625245512214475,-0.01429440836645016,-0.012781746208473804,-0.011314137491830065,-0.010025107892987451,-0.009017351123642674,-0.008403147979794775,-0.008256409037691842,-0.008606314872747855,-0.009447098849548535,-0.010682335588985264,-0.012120478539914381",1
